COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST BLANK,"REP United States Representative, District 32","REP United States Representative, District 32","REP United States Representative, District 32","REP United States Representative, District 32",REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Commissioner of the General Land Office,REP Commissioner of the General Land Office,REP Commissioner of the General Land Office,REP Commissioner of the General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP State Representative, District 61","REP State Representative, District 61","REP State Representative, District 61","REP State Representative, District 61","REP State Representative, District 70","REP State Representative, District 70","REP State Representative, District 70","REP State Representative, District 70","REP Judge, County Court at Law No. 5","REP Judge, County Court at Law No. 5","REP Judge, County Court at Law No. 5","REP Judge, County Court at Law No. 5",REP District Clerk,REP District Clerk,REP District Clerk,REP District Clerk,"REP Constable, Precinct 1","REP Constable, Precinct 1","REP Constable, Precinct 1","REP Constable, Precinct 1","REP Precinct Chair, Precinct 21","REP Precinct Chair, Precinct 21","REP Precinct Chair, Precinct 21","REP Precinct Chair, Precinct 21","REP Precinct Chair, Precinct 30","REP Precinct Chair, Precinct 30","REP Precinct Chair, Precinct 30","REP Precinct Chair, Precinct 30","REP Precinct Chair, Precinct 36","REP Precinct Chair, Precinct 36","REP Precinct Chair, Precinct 36","REP Precinct Chair, Precinct 36","REP Precinct Chair, Precinct 75","REP Precinct Chair, Precinct 75","REP Precinct Chair, Precinct 75","REP Precinct Chair, Precinct 75","REP Precinct Chair, Precinct 81","REP Precinct Chair, Precinct 81","REP Precinct Chair, Precinct 81","REP Precinct Chair, Precinct 81","REP Precinct Chair, Precinct 92","REP Precinct Chair, Precinct 92","REP Precinct Chair, Precinct 92","REP Precinct Chair, Precinct 92","REP Precinct Chair, Precinct 95","REP Precinct Chair, Precinct 95","REP Precinct Chair, Precinct 95","REP Precinct Chair, Precinct 95","REP Precinct Chair, Precinct 126","REP Precinct Chair, Precinct 126","REP Precinct Chair, Precinct 126","REP Precinct Chair, Precinct 126","REP Precinct Chair, Precinct 128","REP Precinct Chair, Precinct 128","REP Precinct Chair, Precinct 128","REP Precinct Chair, Precinct 128","REP Precinct Chair, Precinct 128","REP Precinct Chair, Precinct 132","REP Precinct Chair, Precinct 132","REP Precinct Chair, Precinct 132","REP Precinct Chair, Precinct 132","REP Precinct Chair, Precinct 140","REP Precinct Chair, Precinct 140","REP Precinct Chair, Precinct 140","REP Precinct Chair, Precinct 140","REP Precinct Chair, Precinct 142","REP Precinct Chair, Precinct 142","REP Precinct Chair, Precinct 142","REP Precinct Chair, Precinct 142","REP Precinct Chair, Precinct 168","REP Precinct Chair, Precinct 168","REP Precinct Chair, Precinct 168","REP Precinct Chair, Precinct 168","REP Precinct Chair, Precinct 177","REP Precinct Chair, Precinct 177","REP Precinct Chair, Precinct 177","REP Precinct Chair, Precinct 177","REP Precinct Chair, Precinct 177","REP Precinct Chair, Precinct 207","REP Precinct Chair, Precinct 207","REP Precinct Chair, Precinct 207","REP Precinct Chair, Precinct 207","REP Precinct Chair, Precinct 207","REP Precinct Chair, Precinct 211","REP Precinct Chair, Precinct 211","REP Precinct Chair, Precinct 211","REP Precinct Chair, Precinct 211",
,,,,,REP,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Justin Webb,Antonio Swad,OVER VOTES,UNDER VOTES,George P. Bush,Ken Paxton,OVER VOTES,UNDER VOTES,Tim Westley,Dawn Buckingham,OVER VOTES,UNDER VOTES,Sarah Stogner,Wayne Christian,OVER VOTES,UNDER VOTES,Frederick Frazier,Paul Chabot,OVER VOTES,UNDER VOTES,Jamee Jolly,Eric J. Bowlin,OVER VOTES,UNDER VOTES,Randy Johnson,Jimmy Angelino,OVER VOTES,UNDER VOTES,Mike Gould,Lynne Finley,OVER VOTES,UNDER VOTES,Cris Trevino,Matt Carpenter,OVER VOTES,UNDER VOTES,Maria M. Garcia,Beth Cline,OVER VOTES,UNDER VOTES,Anna Brook Fulks,Heather Tanner,OVER VOTES,UNDER VOTES,Michelle O'Neil,Gina O'Briant,OVER VOTES,UNDER VOTES,Larry Anderson,Matthew Dixon,OVER VOTES,UNDER VOTES,Justin Adcock,Ron Ardt,OVER VOTES,UNDER VOTES,Eric Hall,Cassidy Johnston,OVER VOTES,UNDER VOTES,Curtis D. Carrey,Glen W. Fulce,OVER VOTES,UNDER VOTES,Rachel Elliott,Stephanie Oliver,OVER VOTES,UNDER VOTES,Suzanne Silva,Sonia Vigen,Dana Christian Palmer,OVER VOTES,UNDER VOTES,Stacy Hansard,Sandy Ribbens,OVER VOTES,UNDER VOTES,Ed Rowen,Tom Klein,OVER VOTES,UNDER VOTES,Desiree Dawn Brown,Joseph (Joe) Levy,OVER VOTES,UNDER VOTES,David C. Burson,Karla Gant,OVER VOTES,UNDER VOTES,Ginny Webb,Magnolia Lee,Roger Barone,OVER VOTES,UNDER VOTES,Lailani R. Rumfield,Jeff Sawyer,Aaron S. Pratt,OVER VOTES,UNDER VOTES,Stacey Watts,Theresa Brittain,OVER VOTES,UNDER VOTES,
COLN,0001,PCT 001,2678,142,108,0,0,0,0,0,33,75,0,0,30,56,0,22,39,58,0,11,0,0,0,0,0,0,0,0,56,37,0,15,50,39,0,19,47,48,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,158,102,0,0,0,0,0,51,49,0,2,30,55,0,17,41,47,0,14,0,0,0,0,0,0,0,0,53,33,0,16,52,33,0,17,51,39,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,25,12,0,0,0,0,0,4,8,0,0,3,8,0,1,3,8,0,1,0,0,0,0,0,0,0,0,6,5,0,1,4,7,0,1,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,3,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,112,87,0,0,0,0,0,29,57,0,1,26,51,0,10,35,46,0,6,0,0,0,0,0,0,0,0,54,25,0,8,52,29,0,6,41,41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,191,132,0,0,0,0,0,45,85,0,2,39,79,0,14,41,81,0,10,0,0,0,0,0,0,0,0,71,43,0,18,50,62,0,20,49,62,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,22,14,0,0,0,0,0,6,8,0,0,3,7,0,4,4,8,0,2,0,0,0,0,0,0,0,0,8,1,0,5,3,7,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
