COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic Party,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,DEM,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,Michelle Beckley,Mike Collier,Joe Jaworski,Rochelle Mercedes Garza,Janet T. Dudding,Angel Luis Vega,Jay Kleberg,Sandragrace Martinez,
CALDW,0001,Precinct 100,0,0,81,42,25,14,14,27,20,19,18,22,
CALDW,0002,Precinct 101,0,0,66,18,5,13,8,10,10,8,11,7,
CALDW,0003,Precinct 102,0,0,111,14,9,4,3,11,10,4,9,4,
CALDW,0004,Precinct 103,0,0,321,100,36,64,32,67,60,36,57,40,
CALDW,0005,Precinct 104,0,0,97,23,12,11,7,16,15,8,13,10,
CALDW,0006,Precinct 108,0,0,50,14,7,7,6,8,6,8,7,7,
CALDW,0007,Precinct 111,0,0,110,34,10,23,12,22,25,8,19,14,
CALDW,0008,Precinct 201,0,0,92,21,10,11,7,14,12,9,13,8,
CALDW,0009,Precinct 202,0,0,134,16,7,8,8,8,9,5,10,6,
CALDW,0010,Precinct 203,0,0,155,13,6,7,5,8,9,3,8,4,
CALDW,0011,Precinct 204,0,0,246,33,16,16,15,18,21,11,15,17,
CALDW,0012,Precinct 205,0,0,57,8,0,8,5,3,8,0,8,0,
CALDW,0013,Precinct 206,0,0,91,18,13,5,7,11,7,11,9,9,
CALDW,0014,Precinct 300,0,0,15,3,2,1,2,1,1,2,2,1,
CALDW,0015,Precinct 301,0,0,123,42,17,24,20,21,31,10,26,15,
CALDW,0016,Precinct 302,0,0,69,21,7,14,7,14,11,10,11,10,
CALDW,0017,Precinct 303,0,0,79,18,9,9,10,8,10,8,11,7,
CALDW,0018,Precinct 305,0,0,60,11,6,5,2,9,8,3,9,2,
CALDW,0019,Precinct 306,0,0,39,8,2,6,3,5,3,5,5,3,
CALDW,0020,Precinct 400,0,0,50,9,3,6,6,3,7,2,5,4,
CALDW,0021,Precinct 401,0,0,44,24,11,12,8,16,11,12,7,16,
CALDW,0022,Precinct 402,0,0,81,40,18,21,16,23,19,20,22,17,
CALDW,0023,Precinct 404,0,0,80,24,18,6,12,10,15,7,10,12,
CALDW,0024,Precinct 405,0,0,77,12,5,7,6,6,10,2,10,2,
CALDW,ZZZ,COUNTY TOTALS,0,0,2328,566,254,302,221,339,338,211,315,237,
