COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Mike Collier,Michelle Beckley,Joe Jaworski,Rochelle Mercedes Garza,Janet T. Dudding,Angel Luis Vega,Sandragrace Martinez,Jay Kleberg,
MIDLA,0001,101,1158,34,0,0,0,0,0,0,0,0,0,
MIDLA,0002,101A,0,0,0,0,0,0,0,0,0,0,0,
MIDLA,0003,102,3125,63,3,2,1,0,3,1,1,3,0,
MIDLA,0004,103,3968,219,22,10,11,6,15,16,5,10,10,
MIDLA,0005,104,1173,27,6,3,3,3,3,4,2,2,4,
MIDLA,0006,105,1995,63,13,7,6,3,10,5,8,10,3,
MIDLA,0007,106,3850,174,36,18,18,11,24,20,14,20,15,
MIDLA,0008,107,3047,267,18,13,5,7,10,10,7,12,5,
MIDLA,0009,108,651,24,2,2,0,1,1,1,1,1,1,
MIDLA,0010,108A,528,13,0,0,0,0,0,0,0,0,0,
MIDLA,0011,109,871,26,6,1,5,2,4,3,3,5,1,
MIDLA,0012,110,3113,282,8,5,3,1,7,3,5,4,4,
MIDLA,0013,201,2846,157,3,1,2,0,3,1,2,3,0,
MIDLA,0014,202,2790,104,2,2,0,2,0,2,0,2,0,
MIDLA,0015,202A,3681,154,12,8,4,4,8,4,5,8,2,
MIDLA,0016,203,800,53,0,0,0,0,0,0,0,0,0,
MIDLA,0017,204,4093,375,16,13,3,4,12,8,7,7,9,
MIDLA,0018,205,1658,207,6,5,1,4,2,2,4,2,4,
MIDLA,0019,206,1832,181,11,5,6,7,4,9,2,6,5,
MIDLA,0020,207,2834,304,25,18,6,11,13,19,5,11,12,
MIDLA,0021,208,919,38,7,3,4,2,5,4,3,6,1,
MIDLA,0022,210,1661,118,11,8,3,5,6,10,1,3,8,
MIDLA,0023,211,3833,96,8,7,1,4,4,3,5,4,4,
MIDLA,0024,302,3780,116,8,5,3,2,6,2,6,6,2,
MIDLA,0025,303,442,7,2,0,2,0,2,1,1,2,0,
MIDLA,0026,304,1947,17,4,2,2,0,4,0,4,4,0,
MIDLA,0027,305,1625,28,19,11,8,5,14,12,7,13,6,
MIDLA,0028,306,3608,66,43,24,18,15,28,21,20,23,19,
MIDLA,0029,307,1220,84,12,9,3,3,9,10,2,7,5,
MIDLA,0030,307A,1286,61,13,9,4,7,6,11,2,2,11,
MIDLA,0031,308,3306,102,59,21,37,17,38,28,27,37,18,
MIDLA,0032,309,413,5,3,3,0,1,2,3,0,1,2,
MIDLA,0033,309A,33,5,0,0,0,0,0,0,0,0,0,
MIDLA,0034,310,676,12,3,2,1,2,1,3,0,1,2,
MIDLA,0035,401,1263,68,2,0,2,1,1,1,1,2,0,
MIDLA,0036,402,1102,92,4,3,1,1,3,2,2,2,2,
MIDLA,0037,403,3308,366,17,8,8,6,10,11,5,5,11,
MIDLA,0038,404,2599,335,22,14,8,10,12,14,7,11,10,
MIDLA,0039,405,2756,237,14,10,4,4,10,10,4,4,10,
MIDLA,0040,406,2439,132,6,3,3,1,4,3,2,3,3,
MIDLA,0041,407,3105,170,16,12,4,7,9,9,7,5,11,
MIDLA,0042,408,2564,383,3,1,2,0,3,3,0,2,1,
MIDLA,0043,409,2500,195,6,4,2,2,4,4,2,4,2,
MIDLA,0044,410,1866,135,1,0,1,0,1,1,0,0,1,
MIDLA,0045,411,3206,330,10,6,4,3,6,8,2,4,6,
MIDLA,ZZZ,COUNTY TOTALS,95470,5925,482,278,199,164,307,282,181,257,210,
