political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
San Patricio County Republican Party,5/24/2022,Primary Runoff,1,0,101,491,ATTORNEY GENERAL,GEORGE P. BUSH,,1,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,101,491,ATTORNEY GENERAL,KEN PAXTON,,3,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,101,491,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,2,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,101,491,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,2,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,101,491,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,3,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,101,491,RAILROAD COMMISSIONER,SARAH STOGNER,,1,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,ATTORNEY GENERAL,GEORGE P. BUSH,,6,12
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,ATTORNEY GENERAL,KEN PAXTON,,11,37
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,5,14
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,11,32
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,10,31
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,102,2581,RAILROAD COMMISSIONER,SARAH STOGNER,,7,15
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,ATTORNEY GENERAL,GEORGE P. BUSH,,3,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,ATTORNEY GENERAL,KEN PAXTON,,6,17
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,2,9
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,7,10
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,5,14
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,103,447,RAILROAD COMMISSIONER,SARAH STOGNER,,4,5
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,ATTORNEY GENERAL,GEORGE P. BUSH,,0,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,ATTORNEY GENERAL,KEN PAXTON,,13,37
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,5,19
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,8,21
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,11,32
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,104,1662,RAILROAD COMMISSIONER,SARAH STOGNER,,2,7
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,ATTORNEY GENERAL,GEORGE P. BUSH,,0,1
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,ATTORNEY GENERAL,KEN PAXTON,,1,12
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,1,5
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,0,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,1,8
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,105,1811,RAILROAD COMMISSIONER,SARAH STOGNER,,0,4
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,ATTORNEY GENERAL,GEORGE P. BUSH,,0,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,ATTORNEY GENERAL,KEN PAXTON,,14,14
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,7,5
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,6,13
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,8,12
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,106,1063,RAILROAD COMMISSIONER,SARAH STOGNER,,5,6
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,ATTORNEY GENERAL,GEORGE P. BUSH,,1,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,ATTORNEY GENERAL,KEN PAXTON,,1,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,COMMISSIONER OF THE GENERAL LAND OFFICE,TIM WESTLEY,,1,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,COMMISSIONER OF THE GENERAL LAND OFFICE,DAWN BUCKINGHAM,,1,0
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,RAILROAD COMMISSIONER,WAYNE CHRISTIAN,,2,2
San Patricio County Republican Party,5/24/2022,Primary Runoff,,,107,274,RAILROAD COMMISSIONER,SARAH STOGNER,,0,0
