COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Republican Party,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,
,,,,REP,REP,REP,REP,REP,REP,REP,
,,,VOTERS,BALLOTS CAST,George P. Bush,Ken Paxton,Dawn Buckingham,Tim Westley,Sarah Stogner,Wayne Christian,
HUTCH,0001,Precinct 11,1765,19,8,11,7,12,4,15,
HUTCH,0001,Precinct 11,1765,46,11,34,29,15,8,37,
HUTCH,0001,Precinct 11,1765,68,21,47,37,29,11,53,
HUTCH,0002,Precinct 14,1767,18,6,12,7,9,2,15,
HUTCH,0002,Precinct 14,1767,39,12,27,23,16,10,29,
HUTCH,0002,Precinct 14,1767,88,21,67,53,31,33,52,
HUTCH,0003,Precinct 21,3313,10,4,6,4,5,2,7,
HUTCH,0003,Precinct 21,3313,71,15,56,33,35,15,53,
HUTCH,0003,Precinct 21,3313,108,13,95,73,32,34,72,
HUTCH,0004,Precinct 23,641,8,3,5,6,2,1,7,
HUTCH,0004,Precinct 23,641,9,0,9,5,4,3,6,
HUTCH,0004,Precinct 23,641,12,4,8,8,3,0,11,
HUTCH,0005,Precinct 31,1614,23,16,7,14,8,5,17,
HUTCH,0005,Precinct 31,1614,30,4,25,16,9,9,21,
HUTCH,0005,Precinct 31,1614,65,16,49,34,29,17,46,
HUTCH,0006,Precinct 33,1504,10,1,8,4,5,0,10,
HUTCH,0006,Precinct 33,1504,28,8,20,19,8,4,24,
HUTCH,0006,Precinct 33,1504,33,2,31,26,7,1,32,
HUTCH,0007,Precinct 41,69,0,0,0,0,0,0,0,
HUTCH,0007,Precinct 41,69,7,2,5,4,1,1,5,
HUTCH,0007,Precinct 41,69,5,0,5,5,0,0,5,
HUTCH,0008,Precinct 42,2580,18,6,12,7,7,4,13,
HUTCH,0008,Precinct 42,2580,26,11,14,20,5,8,17,
HUTCH,0008,Precinct 42,2580,44,3,41,25,19,13,31,
HUTCH,ZZZ,COUNTY TOTALS,13253,785,187,594,459,291,185,578,
