COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS - TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,BALLOTS CAST - TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST - BLANK,REP Attorney General,REP Attorney General,REP Commissioner of the General Land Office,REP Commissioner of the General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Commissioner of the General Land Office,DEM Commissioner of the General Land Office,"DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1",DEM County Clerk,DEM County Clerk,                                                                                                                                               
"                                                                                                  """"",,,,REP,DEM,,REP,DEM,,,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,                                                                                                                                                   
"                                                                                                  """"",,,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Ken Paxton,George P. Bush,Tim Westley,Dawn Buckingham,Sarah Stogner,Wayne Christian,Michelle Beckley,Mike Collier,Joe Jaworski,Rochelle Mercedes Garza,Janet T. Dudding,Angel Luis Vega,Sandragrace Martinez,Jay Kleberg,Melissa N Ortega,Laura Marquez,Diana Rodriguez,Yvonne Natividad Abila,                                                                                                                                                                      
195,1,2  3  10  11,4620,0,0,659,0,659,0,1,0,0,0,0,0,0,263,156,79,362,107,333,355,87,194,245,265,393,
195,2,7 & 8,2183,0,0,302,0,302,0,0,0,0,0,0,0,0,108,72,45,140,52,131,143,37,82,97,136,165,
195,3,5 & 6,591,0,0,43,0,43,0,0,0,0,0,0,0,0,17,16,12,20,13,20,17,16,21,13,30,13,
195,4,4,102,0,0,5,0,5,0,0,0,0,0,0,0,0,2,1,2,3,2,3,1,2,2,3,5,0,
195,5,2  3  7  8  10  11,6803,0,0,37,37,0,0,1,31,5,15,18,14,20,0,0,0,0,0,0,0,0,0,0,0,0,
195,6,Box 4,102,0,0,3,3,0,0,0,3,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
195,7,Box 5 & 6,591,0,0,23,23,0,0,0,19,4,7,12,8,13,0,0,0,0,0,0,0,0,0,0,0,0,
195,ZZZ,COUNTY TOTALS,14992,0,0,1072,63,1009,0,2,53,9,24,31,22,36,390,245,138,525,174,487,516,142,299,358,436,571,
                                                                                                                                                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
