#FormatVersion 1
#Precinct,Precinct ID,Precinct Reporting,"Registered Voters","REP Ballots Cast","DEM Ballots Cast","NON Ballots Cast","Turnout Percentage",Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,"Absentee Voting Votes","Absentee Voting Overvotes","Absentee Voting Undervotes","Absentee Voting Invalid Votes","Early Voting Votes","Early Voting Overvotes","Early Voting Undervotes","Early Voting Invalid Votes","Election Day Voting Votes","Election Day Voting Overvotes","Election Day Voting Undervotes","Election Day Voting Invalid Votes"
"101",1,Reporting         ,0,58,9,0,0.00,"Lieutenant Governor",25,"DEM","Mike Collier",2,"",5,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Lieutenant Governor",25,"DEM","Michelle Beckley",3,"",4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Attorney General",42,"DEM","Joe Jaworski",3,"",8,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Attorney General",42,"DEM","Rochelle Mercedes Garza",2,"",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Comptroller of Public Accounts",58,"DEM","Janet T. Dudding",3,"",8,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Comptroller of Public Accounts",58,"DEM","Angel Luis Vega",1,"",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Commissioner of the General Land Office",24,"DEM","Sandragrace Martinez",2,"",3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Commissioner of the General Land Office",24,"DEM","Jay Kleberg",4,"",6,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Attorney General",41,"REP","Ken Paxton",3,"",33,0,0,0,4,0,0,0,8,0,0,0,21,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Attorney General",41,"REP","George P. Bush",4,"",25,0,0,0,3,0,0,0,15,0,0,0,7,0,0,0
"101",1,Reporting         ,0,58,9,0,0.00,"Commissioner of the General Land Office",22,"REP","Tim Westley",3,"",11,0,3,0,1,0,0,0,6,0,2,0,4,0,1,0
"101",1,Reporting         ,0,58,9,0,0.00,"Commissioner of the General Land Office",22,"REP","Dawn Buckingham",2,"",44,0,3,0,6,0,0,0,15,0,2,0,23,0,1,0
"101",1,Reporting         ,0,58,9,0,0.00,"Railroad Commissioner",64,"REP","Sarah Stogner",2,"",12,0,2,0,2,0,0,0,3,0,0,0,7,0,2,0
"101",1,Reporting         ,0,58,9,0,0.00,"Railroad Commissioner",64,"REP","Wayne Christian",3,"",44,0,2,0,5,0,0,0,20,0,0,0,19,0,2,0
"101",1,Reporting         ,0,58,9,0,0.00,"State Senator, District No. 24",32,"REP","Raul Reyes",3,"",25,0,6,0,5,0,1,0,7,0,3,0,13,0,2,0
"101",1,Reporting         ,0,58,9,0,0.00,"State Senator, District No. 24",32,"REP","Pete Flores",2,"",27,0,6,0,1,0,1,0,13,0,3,0,13,0,2,0
"102",7,Reporting         ,0,136,17,0,0.00,"Lieutenant Governor",25,"DEM","Mike Collier",2,"",15,0,0,0,9,0,0,0,5,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Lieutenant Governor",25,"DEM","Michelle Beckley",3,"",2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Attorney General",42,"DEM","Joe Jaworski",3,"",13,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Attorney General",42,"DEM","Rochelle Mercedes Garza",2,"",4,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Comptroller of Public Accounts",58,"DEM","Janet T. Dudding",3,"",15,0,0,0,8,0,0,0,6,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Comptroller of Public Accounts",58,"DEM","Angel Luis Vega",1,"",2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Commissioner of the General Land Office",24,"DEM","Sandragrace Martinez",2,"",4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Commissioner of the General Land Office",24,"DEM","Jay Kleberg",4,"",13,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Attorney General",41,"REP","Ken Paxton",3,"",71,0,1,0,5,0,1,0,28,0,0,0,38,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Attorney General",41,"REP","George P. Bush",4,"",64,0,1,0,15,0,1,0,21,0,0,0,28,0,0,0
"102",7,Reporting         ,0,136,17,0,0.00,"Commissioner of the General Land Office",22,"REP","Tim Westley",3,"",30,0,3,0,5,0,0,0,11,0,1,0,14,0,2,0
"102",7,Reporting         ,0,136,17,0,0.00,"Commissioner of the General Land Office",22,"REP","Dawn Buckingham",2,"",103,0,3,0,16,0,0,0,37,0,1,0,50,0,2,0
"102",7,Reporting         ,0,136,17,0,0.00,"Railroad Commissioner",64,"REP","Sarah Stogner",2,"",35,0,9,0,5,0,2,0,15,0,3,0,15,0,4,0
"102",7,Reporting         ,0,136,17,0,0.00,"Railroad Commissioner",64,"REP","Wayne Christian",3,"",92,0,9,0,14,0,2,0,31,0,3,0,47,0,4,0
"102",7,Reporting         ,0,136,17,0,0.00,"State Senator, District No. 24",32,"REP","Raul Reyes",3,"",49,0,6,0,10,0,0,0,17,0,2,0,22,0,4,0
