COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Democratic Party,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,Mike Collier,Michelle Beckley,Rochelle Mercedes Garza,Joe Jaworski,Angel Luis Vega,Janet T. Dudding,Sandragrace Martinez,Jay Kleberg,
HUTCH,0001,Precinct 11,1765,2,2,0,0,2,0,2,0,2,
HUTCH,0001,Precinct 11,1765,0,0,0,0,0,0,0,0,0,
HUTCH,0001,Precinct 11,1765,4,1,3,3,1,0,4,1,3,
HUTCH,0002,Precinct 14,1767,5,4,1,2,2,1,3,2,3,
HUTCH,0002,Precinct 14,1767,0,0,0,0,0,0,0,0,0,
HUTCH,0002,Precinct 14,1767,2,1,1,2,0,0,2,1,1,
HUTCH,0003,Precinct 21,3313,0,0,0,0,0,0,0,0,0,
HUTCH,0003,Precinct 21,3313,1,1,0,0,1,0,1,0,1,
HUTCH,0003,Precinct 21,3313,7,5,2,3,4,3,4,2,5,
HUTCH,0004,Precinct 23,641,1,1,0,0,1,0,1,0,1,
HUTCH,0004,Precinct 23,641,0,0,0,0,0,0,0,0,0,
HUTCH,0004,Precinct 23,641,1,1,0,1,0,1,0,1,0,
HUTCH,0005,Precinct 31,1614,2,2,0,0,1,0,2,0,2,
HUTCH,0005,Precinct 31,1614,1,0,1,1,0,0,1,1,0,
HUTCH,0005,Precinct 31,1614,2,1,1,2,0,2,0,1,1,
HUTCH,0006,Precinct 33,1504,1,0,1,0,0,0,0,0,1,
HUTCH,0006,Precinct 33,1504,3,1,2,0,3,2,1,1,2,
HUTCH,0006,Precinct 33,1504,2,0,2,2,0,0,2,1,1,
HUTCH,0007,Precinct 41,69,0,0,0,0,0,0,0,0,0,
HUTCH,0007,Precinct 41,69,0,0,0,0,0,0,0,0,0,
HUTCH,0007,Precinct 41,69,0,0,0,0,0,0,0,0,0,
HUTCH,0008,Precinct 42,2580,7,6,1,4,3,3,4,5,2,
HUTCH,0008,Precinct 42,2580,5,2,3,2,3,0,5,2,3,
HUTCH,0008,Precinct 42,2580,4,4,0,3,1,2,2,3,1,
HUTCH,ZZZ,COUNTY TOTALS,13253,50,32,18,25,22,14,34,21,29,
