COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,"REP State Representative, Dist 17","REP State Representative, Dist 17","REP Dist Judge, 207th Judicial Dist","REP Dist Judge, 207th Judicial Dist",
,,,,REP,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,George P. Bush,Ken Paxton,Dawn Buckingham,Tim Westley,Sarah Stogner,Wayne Christian,Stan Gerdes,Paul Pape,Mark E. Cusack,Tracie Wright-Reneau,
CALDW,0001,Precinct 100,0,0,81,39,12,27,25,9,15,19,21,18,13,22,
CALDW,0002,Precinct 101,0,0,66,48,24,23,19,18,19,20,19,25,14,23,
CALDW,0003,Precinct 102,0,0,111,97,36,61,52,37,26,63,42,54,51,36,
CALDW,0004,Precinct 103,0,0,321,221,97,122,126,62,59,130,82,129,85,105,
CALDW,0005,Precinct 104,0,0,97,74,30,43,47,21,18,51,20,54,27,41,
CALDW,0006,Precinct 108,0,0,50,36,14,22,21,12,8,25,15,20,21,12,
CALDW,0007,Precinct 111,0,0,110,76,33,43,44,27,20,51,39,37,36,34,
CALDW,0008,Precinct 201,0,0,92,71,22,46,37,22,24,38,36,35,28,34,
CALDW,0009,Precinct 202,0,0,134,118,34,79,62,41,37,73,63,55,46,58,
CALDW,0010,Precinct 203,0,0,155,142,38,103,76,45,45,82,58,81,52,73,
CALDW,0011,Precinct 204,0,0,246,213,63,150,120,73,54,143,102,108,98,95,
CALDW,0012,Precinct 205,0,0,57,49,9,40,35,9,14,29,34,15,17,23,
CALDW,0013,Precinct 206,0,0,91,73,14,58,38,29,22,44,35,34,22,41,
CALDW,0014,Precinct 300,0,0,15,12,3,9,6,6,6,6,3,9,8,4,
CALDW,0015,Precinct 301,0,0,123,81,33,48,46,26,23,47,39,39,33,34,
CALDW,0016,Precinct 302,0,0,69,48,12,34,30,14,16,29,15,30,22,21,
CALDW,0017,Precinct 303,0,0,79,61,19,42,37,21,16,43,31,28,28,29,
CALDW,0018,Precinct 305,0,0,60,49,17,32,31,13,16,28,23,22,17,23,
CALDW,0019,Precinct 306,0,0,39,31,10,18,21,8,10,19,11,19,12,16,
CALDW,0020,Precinct 400,0,0,50,41,16,24,25,13,16,23,13,27,19,19,
CALDW,0021,Precinct 401,0,0,44,20,8,12,12,7,7,12,9,11,7,12,
CALDW,0022,Precinct 402,0,0,81,41,13,28,28,13,17,24,15,26,18,21,
CALDW,0023,Precinct 404,0,0,80,56,20,36,30,20,16,34,24,32,25,22,
CALDW,0024,Precinct 405,0,0,77,65,16,47,41,19,18,44,30,34,28,30,
CALDW,ZZZ,COUNTY TOTALS,0,0,2328,1762,593,1147,1009,565,522,1077,779,942,727,828,
