COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP County Commissioner Pct 4,REP County Commissioner Pct 4,REP Precinct Chair 302 302 REP,REP Precinct Chair 302 302 REP,
,,,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Ken Paxton,George P. Bush,Tim Westley,Dawn Buckingham,Sarah Stogner,Wayne Christian,Randy Prude,Dianne Anderson,Gary Covington,Kelli Kincaid Burkes,
MIDLA,0001,101,1158,34,34,32,2,18,14,8,25,0,0,0,0,
MIDLA,0002,101A,0,0,0,0,0,0,0,0,0,0,0,0,0,
MIDLA,0003,102,3125,63,60,40,20,20,37,16,42,0,0,0,0,
MIDLA,0004,103,3968,219,197,150,46,56,123,60,131,0,0,0,0,
MIDLA,0005,104,1173,27,21,15,6,7,14,7,14,0,0,0,0,
MIDLA,0006,105,1995,63,50,34,16,23,23,16,33,0,0,0,0,
MIDLA,0007,106,3850,174,138,114,24,42,83,42,88,0,0,0,0,
MIDLA,0008,107,3047,267,249,171,76,77,157,83,159,0,0,0,0,
MIDLA,0009,108,651,24,22,17,2,6,16,9,13,0,0,0,0,
MIDLA,0010,108A,528,13,13,12,1,4,8,3,10,0,0,0,0,
MIDLA,0011,109,871,26,20,13,7,7,13,9,11,0,0,0,0,
MIDLA,0012,110,3113,282,274,204,69,75,172,68,194,0,0,0,0,
MIDLA,0013,201,2846,157,154,127,27,60,83,47,101,0,0,0,0,
MIDLA,0014,202,2790,104,102,88,13,38,59,41,59,0,0,0,0,
MIDLA,0015,202A,3681,154,142,113,28,55,74,39,98,0,0,0,0,
MIDLA,0016,203,800,53,53,43,9,13,34,10,42,0,0,0,0,
MIDLA,0017,204,4093,375,359,241,116,101,222,92,254,0,0,0,0,
MIDLA,0018,205,1658,207,201,109,92,63,116,52,140,0,0,0,0,
MIDLA,0019,206,1832,181,170,122,47,50,103,52,110,0,0,0,0,
MIDLA,0020,207,2834,304,279,174,102,73,176,79,190,0,0,0,0,
MIDLA,0021,208,919,38,31,26,5,9,20,14,17,0,0,0,0,
MIDLA,0022,210,1661,118,107,72,33,34,64,38,65,0,0,0,0,
MIDLA,0023,211,3833,96,88,66,22,27,56,23,63,0,0,0,0,
MIDLA,0024,302,3780,116,108,94,14,34,71,35,72,0,0,54,38,
MIDLA,0025,303,442,7,5,4,1,2,2,1,4,0,0,0,0,
MIDLA,0026,304,1947,17,13,8,4,4,8,3,9,0,0,0,0,
MIDLA,0027,305,1625,28,9,2,7,1,6,6,1,0,0,0,0,
MIDLA,0028,306,3608,66,23,15,8,8,15,11,11,0,0,0,0,
MIDLA,0029,307,1220,84,72,55,16,19,46,17,52,0,0,0,0,
MIDLA,0030,307A,1286,61,48,37,11,16,30,21,26,0,0,0,0,
MIDLA,0031,308,3306,102,43,27,16,16,26,18,24,0,0,0,0,
MIDLA,0032,309,413,5,2,2,0,0,2,0,2,0,0,0,0,
MIDLA,0033,309A,33,5,5,5,0,2,3,1,4,0,0,0,0,
MIDLA,0034,310,676,12,9,7,2,2,6,0,9,0,0,0,0,
MIDLA,0035,401,1263,68,66,54,12,18,38,23,39,24,40,0,0,
MIDLA,0036,402,1102,92,88,64,22,30,49,32,53,36,48,0,0,
MIDLA,0037,403,3308,366,349,244,100,114,195,115,221,121,214,0,0,
MIDLA,0038,404,2599,335,313,220,89,94,189,97,200,110,197,0,0,
MIDLA,0039,405,2756,237,223,159,62,69,134,63,155,69,153,0,0,
MIDLA,0040,406,2439,132,126,100,26,43,69,34,83,40,76,0,0,
MIDLA,0041,407,3105,170,154,111,41,57,85,56,93,49,98,0,0,
MIDLA,0042,408,2564,383,380,263,110,91,240,87,275,108,258,0,0,
MIDLA,0043,409,2500,195,189,140,46,56,122,51,136,64,121,0,0,
MIDLA,0044,410,1866,135,134,98,35,48,73,46,80,36,91,0,0,
MIDLA,0045,411,3206,330,320,233,82,99,204,93,215,104,211,0,0,
MIDLA,ZZZ,COUNTY TOTALS,95470,5925,5443,3925,1467,1681,3280,1618,3623,761,1507,54,38,
