tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
Attorney General - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Ken Paxton,,27,58.70%,140,60.87%,94,67.14%,261,62.74%,46,100.00%,230,100.00%,140,100.00%,416,100.00%,0,7,8,15,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Attorney General - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,George P. Bush,,19,41.30%,90,39.13%,46,32.86%,155,37.26%,46,100.00%,230,100.00%,140,100.00%,416,100.00%,0,7,8,15,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Commissioner of the General Land Office - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Tim Westley,,6,13.04%,29,12.61%,18,13.24%,53,12.86%,46,100.00%,230,100.00%,136,100.00%,412,100.00%,0,7,12,19,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Commissioner of the General Land Office - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Dawn Buckingham,,40,86.96%,201,87.39%,118,86.76%,359,87.14%,46,100.00%,230,100.00%,136,100.00%,412,100.00%,0,7,12,19,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Sarah Stogner,,13,34.21%,62,30.39%,51,40.48%,126,34.24%,38,100.00%,204,100.00%,126,100.00%,368,100.00%,6,33,22,61,2,0,0,2,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Wayne Christian,,25,65.79%,142,69.61%,75,59.52%,242,65.76%,38,100.00%,204,100.00%,126,100.00%,368,100.00%,6,33,22,61,2,0,0,2,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
County Judge - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Shane Britton,,25,55.56%,174,74.04%,98,67.59%,297,69.88%,45,100.00%,235,100.00%,145,100.00%,425,100.00%,1,2,3,6,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
County Judge - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Paul Lilly,,20,44.44%,61,25.96%,47,32.41%,128,30.12%,45,100.00%,235,100.00%,145,100.00%,425,100.00%,1,2,3,6,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Attorney General - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Ken Paxton,,26,60.47%,88,54.66%,84,62.69%,198,58.58%,43,100.00%,161,100.00%,134,100.00%,338,100.00%,1,5,8,14,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Attorney General - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,George P. Bush,,17,39.53%,73,45.34%,50,37.31%,140,41.42%,43,100.00%,161,100.00%,134,100.00%,338,100.00%,1,5,8,14,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Commissioner of the General Land Office - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Tim Westley,,5,11.63%,24,15.00%,24,18.05%,53,15.77%,43,100.00%,160,100.00%,133,100.00%,336,100.00%,1,6,9,16,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Commissioner of the General Land Office - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Dawn Buckingham,,38,88.37%,136,85.00%,109,81.95%,283,84.23%,43,100.00%,160,100.00%,133,100.00%,336,100.00%,1,6,9,16,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Sarah Stogner,,8,20.00%,44,29.14%,48,39.02%,100,31.85%,40,100.00%,151,100.00%,123,100.00%,314,100.00%,4,15,19,38,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Wayne Christian,,32,80.00%,107,70.86%,75,60.98%,214,68.15%,40,100.00%,151,100.00%,123,100.00%,314,100.00%,4,15,19,38,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
County Judge - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Shane Britton,,24,57.14%,125,75.76%,105,75.00%,254,73.20%,42,100.00%,165,100.00%,140,100.00%,347,100.00%,2,1,2,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
County Judge - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Paul Lilly,,18,42.86%,40,24.24%,35,25.00%,93,26.80%,42,100.00%,165,100.00%,140,100.00%,347,100.00%,2,1,2,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Attorney General - REPUBLICAN PARTY,Absentee Voting,Early Voting,Election Day Voting,Ken Paxton,,4,100.00%,17,89.47%,13,56.52%,34,73.91%,4,100.00%,19,100.00%,23,100.00%,46,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
