,,,,#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Commissioner of the General Land Office,22,REP,Tim Westley,3,,12,0,1,0,0,0,0,0,4,0,1,0,8,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,14,0,1,0,2,0,0,0,5,0,1,0,7,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Railroad Commissioner,64,REP,Sarah Stogner,2,,9,0,2,0,2,0,0,0,1,0,2,0,6,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Railroad Commissioner,64,REP,Wayne Christian,3,,16,0,2,0,0,0,0,0,7,0,2,0,9,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Lieutenant Governor,25,DEM,Mike Collier,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Lieutenant Governor,25,DEM,Michelle Beckley,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Attorney General,42,DEM,Joe Jaworski,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Attorney General,41,REP,George P. Bush,4,,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Attorney General,41,REP,Ken Paxton,3,,24,0,0,0,1,0,0,0,3,0,0,0,20,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Commissioner of the General Land Office,22,REP,Tim Westley,3,,15,0,0,0,1,0,0,0,3,0,0,0,11,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,13,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Railroad Commissioner,64,REP,Sarah Stogner,2,,12,0,0,0,1,0,0,0,3,0,0,0,8,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,2,6,Reporting         ,751,28,0,0,3.73,Railroad Commissioner,64,REP,Wayne Christian,3,,16,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Lieutenant Governor,25,DEM,Mike Collier,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Lieutenant Governor,25,DEM,Michelle Beckley,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Attorney General,42,DEM,Joe Jaworski,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Attorney General,41,REP,George P. Bush,4,,13,0,0,0,1,0,0,0,8,0,0,0,4,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Attorney General,41,REP,Ken Paxton,3,,35,0,0,0,0,0,0,0,17,0,0,0,18,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Commissioner of the General Land Office,22,REP,Tim Westley,3,,21,0,1,0,1,0,0,0,9,0,0,0,11,0,1,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,26,0,1,0,0,0,0,0,16,0,0,0,10,0,1,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Railroad Commissioner,64,REP,Sarah Stogner,2,,16,0,3,0,0,0,0,0,11,0,1,0,5,0,2,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3,5,Reporting         ,653,48,1,0,7.5,Railroad Commissioner,64,REP,Wayne Christian,3,,29,0,3,0,1,0,0,0,13,0,1,0,15,0,2,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Lieutenant Governor,25,DEM,Mike Collier,2,,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Lieutenant Governor,25,DEM,Michelle Beckley,3,,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Attorney General,42,DEM,Joe Jaworski,3,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Attorney General,41,REP,George P. Bush,4,,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Attorney General,41,REP,Ken Paxton,3,,20,0,0,0,2,0,0,0,10,0,0,0,8,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Commissioner of the General Land Office,22,REP,Tim Westley,3,,8,0,2,0,0,0,1,0,4,0,1,0,4,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,17,0,2,0,1,0,1,0,8,0,1,0,8,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Railroad Commissioner,64,REP,Sarah Stogner,2,,14,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4,3,Reporting         ,594,27,5,0,5.39,Railroad Commissioner,64,REP,Wayne Christian,3,,13,0,0,0,2,0,0,0,5,0,0,0,6,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Lieutenant Governor,25,DEM,Mike Collier,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Lieutenant Governor,25,DEM,Michelle Beckley,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Attorney General,42,DEM,Joe Jaworski,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Attorney General,41,REP,George P. Bush,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Attorney General,41,REP,Ken Paxton,3,,11,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Commissioner of the General Land Office,22,REP,Tim Westley,3,,6,0,1,0,0,0,1,0,3,0,0,0,3,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,4,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Railroad Commissioner,64,REP,Sarah Stogner,2,,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,3A,2,Reporting         ,172,11,0,0,6.4,Railroad Commissioner,64,REP,Wayne Christian,3,,6,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Lieutenant Governor,25,DEM,Mike Collier,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Lieutenant Governor,25,DEM,Michelle Beckley,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Attorney General,42,DEM,Joe Jaworski,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Attorney General,41,REP,George P. Bush,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Attorney General,41,REP,Ken Paxton,3,,8,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Commissioner of the General Land Office,22,REP,Tim Westley,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Commissioner of the General Land Office,22,REP,Dawn Buckingham,2,,7,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Railroad Commissioner,64,REP,Sarah Stogner,2,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,4A,4,Reporting         ,187,8,0,0,4.28,Railroad Commissioner,64,REP,Wayne Christian,3,,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
