,,,,#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Subdivision,Date,Election Name,Prov Ballots,#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Lieutenant Governor,25,DEM,Mike Collier,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Lieutenant Governor,25,DEM,Michelle Beckley,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Attorney General,42,DEM,Rochelle Mercedes Garza,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Attorney General,42,DEM,Joe Jaworski,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Comptroller of Public Accounts,58,DEM,Angel Luis Vega,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Comptroller of Public Accounts,58,DEM,Janet T. Dudding,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Commissioner of the General Land Office,24,DEM,Sandragrace Martinez,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Dem Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Commissioner of the General Land Office,24,DEM,Jay Kleberg,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Attorney General,41,REP,George P. Bush,4,,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Martin Co,5/24/2022,Rep Prim Runoff,0,1,1,Reporting         ,983,27,0,0,2.75,Attorney General,41,REP,Ken Paxton,3,,22,0,0,0,2,0,0,0,10,0,0,0,10,0,0,0
