political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Lieutenant Governor,DEM,Mike Collier,15,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Lieutenant Governor,DEM,Michelle Beckley,11,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Attorney General,DEM,Joe Jaworski,8,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Attorney General,DEM,Rochelle Mercedes Garza,18,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Comptroller of Public Accounts,DEM,Janet T. Dudding,12,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Comptroller of Public Accounts,DEM,Angel Luis Vega,14,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Commissioner of the General Land Office,DEM,Jay Kleberg,11,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,1 - BS3,4534,Commissioner of the General Land Office,DEM,Sandragrace Martinez,14,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Lieutenant Governor,DEM,Mike Collier,15,11
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Lieutenant Governor,DEM,Michelle Beckley,15,13
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Attorney General,DEM,Joe Jaworski,18,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Attorney General,DEM,Rochelle Mercedes Garza,12,17
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Comptroller of Public Accounts,DEM,Janet T. Dudding,20,16
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Comptroller of Public Accounts,DEM,Angel Luis Vega,10,8
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Commissioner of the General Land Office,DEM,Jay Kleberg,19,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,2 - BS3,4090,Commissioner of the General Land Office,DEM,Sandragrace Martinez,11,15
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Lieutenant Governor,DEM,Mike Collier,16,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Lieutenant Governor,DEM,Michelle Beckley,23,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Attorney General,DEM,Joe Jaworski,24,11
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Attorney General,DEM,Rochelle Mercedes Garza,15,11
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Comptroller of Public Accounts,DEM,Janet T. Dudding,29,20
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Comptroller of Public Accounts,DEM,Angel Luis Vega,10,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Commissioner of the General Land Office,DEM,Jay Kleberg,21,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,3 - BS4,4669,Commissioner of the General Land Office,DEM,Sandragrace Martinez,18,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Lieutenant Governor,DEM,Mike Collier,22,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Lieutenant Governor,DEM,Michelle Beckley,10,12
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Attorney General,DEM,Joe Jaworski,18,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Attorney General,DEM,Rochelle Mercedes Garza,13,17
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Comptroller of Public Accounts,DEM,Janet T. Dudding,26,10
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Comptroller of Public Accounts,DEM,Angel Luis Vega,6,9
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Commissioner of the General Land Office,DEM,Jay Kleberg,22,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,4 - BS3,3260,Commissioner of the General Land Office,DEM,Sandragrace Martinez,10,16
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Lieutenant Governor,DEM,Mike Collier,10,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Lieutenant Governor,DEM,Michelle Beckley,6,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Attorney General,DEM,Joe Jaworski,7,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Attorney General,DEM,Rochelle Mercedes Garza,9,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Comptroller of Public Accounts,DEM,Janet T. Dudding,10,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Comptroller of Public Accounts,DEM,Angel Luis Vega,6,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Commissioner of the General Land Office,DEM,Jay Kleberg,9,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,5 - BS3,2243,Commissioner of the General Land Office,DEM,Sandragrace Martinez,7,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Lieutenant Governor,DEM,Mike Collier,1,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Lieutenant Governor,DEM,Michelle Beckley,2,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Attorney General,DEM,Joe Jaworski,2,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Attorney General,DEM,Rochelle Mercedes Garza,1,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Comptroller of Public Accounts,DEM,Janet T. Dudding,2,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Commissioner of the General Land Office,DEM,Jay Kleberg,2,0
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,6 - BS3,1643,Commissioner of the General Land Office,DEM,Sandragrace Martinez,1,1
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Lieutenant Governor,DEM,Mike Collier,16,8
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Lieutenant Governor,DEM,Michelle Beckley,9,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Attorney General,DEM,Joe Jaworski,10,6
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Attorney General,DEM,Rochelle Mercedes Garza,15,8
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Comptroller of Public Accounts,DEM,Janet T. Dudding,12,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Comptroller of Public Accounts,DEM,Angel Luis Vega,13,7
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Commissioner of the General Land Office,DEM,Jay Kleberg,9,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,7 - BS3,2857,Commissioner of the General Land Office,DEM,Sandragrace Martinez,15,11
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Lieutenant Governor,DEM,Mike Collier,0,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Lieutenant Governor,DEM,Michelle Beckley,0,2
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Attorney General,DEM,Joe Jaworski,0,3
BRAZORIA COUNTY,5/24/2022,Democratic Party Primary Runoff Election,,,8 - BS3,995,Attorney General,DEM,Rochelle Mercedes Garza,0,1
