Political_Subdivision,Precinct_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes,Provisional Votes
Castro County,101,1,5,1,1,614,0.04,3,3,Attorney General,,1,1,George P. Bush,C,1,Republican Party,24,2,0,0,0,0,0,0,5,1,0,0,19,1,0,0,0
Castro County,101,1,5,1,1,614,0.04,3,3,Attorney General,,1,2,Ken Paxton,C,2,Republican Party,24,14,0,0,0,0,0,0,5,1,0,0,19,13,0,0,0
Castro County,101,1,5,1,1,614,0.04,4,4,Commissioner Of The General Land Office,,1,1,Tim Westley,C,1,Republican Party,24,10,1,0,0,0,0,0,5,2,0,0,19,8,1,0,0
Castro County,101,1,5,1,1,614,0.04,4,4,Commissioner Of The General Land Office,,1,2,Dawn Buckingham,C,2,Republican Party,24,5,1,0,0,0,0,0,5,0,0,0,19,5,1,0,0
Castro County,101,1,5,1,1,614,0.04,5,5,Railroad Commissioner,,1,1,Wayne Christian,C,1,Republican Party,24,10,1,0,0,0,0,0,5,0,0,0,19,10,1,0,0
Castro County,101,1,5,1,1,614,0.04,5,5,Railroad Commissioner,,1,2,Sarah Stogner,C,2,Republican Party,24,5,1,0,0,0,0,0,5,2,0,0,19,3,1,0,0
Castro County,101,1,5,1,1,614,0.04,6,6,Justice Of The Peace,,1,1,Mary F. Ewing,C,1,Republican Party,24,10,0,0,0,0,0,0,5,2,0,0,19,8,0,0,0
Castro County,101,1,5,1,1,614,0.04,6,6,Justice Of The Peace,,1,2,"Stephen Y. ""Flip"" Taylor",C,2,Republican Party,24,6,0,0,0,0,0,0,5,0,0,0,19,6,0,0,0
Castro County,101,1,5,1,1,614,0.04,8,8,Lieutenant Governor,,1,1,Michelle Beckley,C,1,Democratic Party,24,3,0,0,0,0,0,0,5,0,0,0,19,3,0,0,0
Castro County,101,1,5,1,1,614,0.04,8,8,Lieutenant Governor,,1,2,Mike Collier,C,2,Democratic Party,24,5,0,0,0,0,0,0,5,3,0,0,19,2,0,0,0
