political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Attorney General,Ken Paxton,Republican,8,5,2,6
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Attorney General,George P. Bush,Republican,1,3,1,0
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Commissioner of the General Land Office,Tim Westley,Republican,1,1,0,1
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Commissioner of the General Land Office,Dawn Buckingham,Republican,7,6,2,5
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Railroad Commissioner,Wayne Christian,Republican,4,5,2,2
Roberts County,5/24/2022,Primary Runoff,0,0,1,166,Railroad Commissioner,Sarah Stogner,Republican,4,3,0,4
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Attorney General,Ken Paxton,Republican,4,12,2,2
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Attorney General,George P. Bush,Republican,2,4,0,2
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Commissioner of the General Land Office,Tim Westley,Republican,2,6,1,1
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Commissioner of the General Land Office,Dawn Buckingham,Republican,4,10,1,3
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Railroad Commissioner,Wayne Christian,Republican,4,12,1,3
Roberts County,5/24/2022,Primary Runoff,0,0,2,171,Railroad Commissioner,Sarah Stogner,Republican,2,4,1,1
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Attorney General,Ken Paxton,Republican,5,3,2,3
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Attorney General,George P. Bush,Republican,4,1,2,2
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Commissioner of the General Land Office,Tim Westley,Republican,4,2,1,3
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Commissioner of the General Land Office,Dawn Buckingham,Republican,3,2,1,2
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Railroad Commissioner,Wayne Christian,Republican,2,3,2,0
Roberts County,5/24/2022,Primary Runoff,0,0,3,161,Railroad Commissioner,Sarah Stogner,Republican,6,1,1,5
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Attorney General,Ken Paxton,Republican,1,10,1,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Attorney General,George P. Bush,Republican,0,4,0,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Commissioner of the General Land Office,Tim Westley,Republican,0,5,0,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Commissioner of the General Land Office,Dawn Buckingham,Republican,1,9,1,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Railroad Commissioner,Wayne Christian,Republican,1,11,1,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-1.,101,Railroad Commissioner,Sarah Stogner,Republican,0,3,0,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Attorney General,Ken Paxton,Republican,2,5,2,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Attorney General,George P. Bush,Republican,0,0,0,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Commissioner of the General Land Office,Tim Westley,Republican,0,1,0,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Commissioner of the General Land Office,Dawn Buckingham,Republican,2,4,2,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Railroad Commissioner,Wayne Christian,Republican,2,5,2,0
Roberts County,5/24/2022,Primary Runoff,0,0,4-2.,90,Railroad Commissioner,Sarah Stogner,Republican,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
