political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,REP Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Attorney General,George P. Bush,,0,9
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Attorney General,Ken Paxton,,5,25
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Commissioner of the General Land Office,Dawn Buckingham,,2,18
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Commissioner of the General Land Office,Tim Westley,,1,14
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Railroad Commissioner,Wayne Christian,,4,26
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,39,Railroad Commissioner,Sarah Stogner,,0,7
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Attorney General,George P. Bush,,20,13
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Attorney General,Ken Paxton,,61,54
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Commissioner of the General Land Office,Dawn Buckingham,,57,49
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Commissioner of the General Land Office,Tim Westley,,20,14
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Railroad Commissioner,Wayne Christian,,64,47
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,148,Railroad Commissioner,Sarah Stogner,,14,18
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Attorney General,George P. Bush,,1,4
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Attorney General,Ken Paxton,,0,13
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Commissioner of the General Land Office,Dawn Buckingham,,0,11
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Commissioner of the General Land Office,Tim Westley,,1,6
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Railroad Commissioner,Wayne Christian,,0,15
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,19,Railroad Commissioner,Sarah Stogner,,1,3
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Attorney General,George P. Bush,,3,3
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Attorney General,Ken Paxton,,14,27
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Commissioner of the General Land Office,Dawn Buckingham,,9,19
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Commissioner of the General Land Office,Tim Westley,,8,10
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Railroad Commissioner,Wayne Christian,,14,22
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,47,Railroad Commissioner,Sarah Stogner,,3,7
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Attorney General,George P. Bush,,27,16
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Attorney General,Ken Paxton,,105,81
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Commissioner of the General Land Office,Dawn Buckingham,,81,53
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Commissioner of the General Land Office,Tim Westley,,45,38
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Railroad Commissioner,Wayne Christian,,101,73
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,229,Railroad Commissioner,Sarah Stogner,,28,21
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Attorney General,George P. Bush,,25,16
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Attorney General,Ken Paxton,,99,80
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Commissioner of the General Land Office,Dawn Buckingham,,84,61
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Commissioner of the General Land Office,Tim Westley,,36,26
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Railroad Commissioner,Wayne Christian,,90,57
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,220,Railroad Commissioner,Sarah Stogner,,33,31
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Attorney General,George P. Bush,,8,9
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Attorney General,Ken Paxton,,42,42
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Commissioner of the General Land Office,Dawn Buckingham,,26,35
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Commissioner of the General Land Office,Tim Westley,,16,15
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Railroad Commissioner,Wayne Christian,,31,35
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,101,Railroad Commissioner,Sarah Stogner,,13,15
