political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Lieutenant Governor,DEM,Mike Collier,11,21
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Lieutenant Governor,DEM,Michelle Beckley,24,17
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Attorney General,DEM,Rochelle Mercedes Garza,27,34
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Attorney General,DEM,Joe Jaworski,8,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Comptroller of Public Accounts,DEM,Angel Luis Vega,13,16
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Comptroller of Public Accounts,DEM,Janet T. Dudding,22,22
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Commissioner of the General Land Office,DEM,Jay Kleberg,11,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Commissioner of the General Land Office,DEM,Sandragrace Martinez,24,30
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Attorney General,REP,George P. Bush,39,46
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Attorney General,REP,Ken Paxton,94,107
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Commissioner of the General Land Office,REP,Tim Westley,23,34
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Commissioner of the General Land Office,REP,Dawn Buckingham,109,117
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Railroad Commissioner,REP,Wayne Christian,82,91
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,Railroad Commissioner,REP,Sarah Stogner,48,57
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,"State Senator, District No. 24",REP,Raul Reyes,50,69
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,101,5987,"State Senator, District No. 24",REP,Pete Flores,82,84
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Lieutenant Governor,DEM,Mike Collier,5,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Lieutenant Governor,DEM,Michelle Beckley,2,2
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Attorney General,DEM,Rochelle Mercedes Garza,1,4
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Attorney General,DEM,Joe Jaworski,6,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,102,1483,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,0
