COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,George P. Bush,Ken Paxton,OVER VOTES,UNDER VOTES,Dawn Buckingham,Tim Westley,OVER VOTES,UNDER VOTES,Sarah Stogner,Wayne Christian,OVER VOTES,UNDER VOTES,Michelle Beckley,Mike Collier,OVER VOTES,UNDER VOTES,Rochelle Mercedes Garza,Joe Jaworski,OVER VOTES,UNDER VOTES,Angel Luis Vega,Janet T. Dudding,OVER VOTES,UNDER VOTES,Sandragrace Martinez,Jay Kleberg,OVER VOTES,UNDER VOTES,
YOAKU,0001,101,1140,0,0,1140,5,5,0,0,0,0,5,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0001,101,1140,0,0,1140,22,22,0,0,0,5,17,0,0,17,4,0,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0001,101,1140,0,0,1140,18,18,0,0,0,5,13,0,0,13,5,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0002,202,1086,0,0,1086,4,3,1,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
YOAKU,0002,202,1086,0,0,1086,16,16,0,0,0,3,12,0,1,12,3,0,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0002,202,1086,0,0,1086,33,33,0,0,0,8,25,0,0,21,9,0,3,17,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0003,303,541,0,0,541,6,5,1,0,0,0,5,0,0,4,1,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
YOAKU,0003,303,541,0,0,541,11,11,0,0,0,2,9,0,0,5,6,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0003,303,541,0,0,541,24,22,2,0,0,4,17,0,1,13,7,0,2,11,10,0,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
YOAKU,0004,305,433,0,0,433,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0004,305,433,0,0,433,4,2,2,0,0,1,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
YOAKU,0004,305,433,0,0,433,3,3,0,0,0,1,2,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0005,404,502,0,0,502,3,3,0,0,0,3,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0005,404,502,0,0,502,26,26,0,0,0,5,21,0,0,16,9,0,1,11,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0005,404,502,0,0,502,20,20,0,0,0,4,16,0,0,12,7,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0006,406,563,0,0,563,3,3,0,0,0,1,2,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0006,406,563,0,0,563,5,5,0,0,0,0,5,0,0,2,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,0006,406,563,0,0,563,4,4,0,0,0,2,2,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YOAKU,ZZZ,COUNTY TOTALS,4265,0,0,4265,208,202,6,0,0,44,156,0,2,127,62,0,13,94,102,0,6,4,2,0,0,5,1,0,0,4,2,0,0,4,2,0,0,
