Precinct,Choice,Votes,CastTotal,UnderVotes,OverVotes,InvalidVotes,RejectedCategoryName,RejectedWriteInVotes,UnresolvedCategoryName,UnresolvedWriteInVotes,VotingTypeName,PrecinctBallotsCast_VT1,VotingTypeName3,PrecinctBallotsCast_VT2,VotingTypeName4,PrecinctBallotsCast_VT3,VotingTypeName5,PrecinctBallotsCast_VT4,VotingTypeName6,PrecinctBallotsCast_VT5,TotalBallotsCast,RegisteredVotes,TurnoutPercentage
1,Mike Collier,8,19,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,6,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,7, Ballots Cast,0, Ballots Cast,0,20,0,0.00%
1,Michelle Beckley,11,19,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,6,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,7, Ballots Cast,0, Ballots Cast,0,20,0,0.00%
2,Mike Collier,13,28,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,Early Voting Ballots Cast,2,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,28,0,0.00%
2,Michelle Beckley,15,28,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,Early Voting Ballots Cast,2,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,28,0,0.00%
3,Mike Collier,4,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,6, Ballots Cast,0, Ballots Cast,0,6,0,0.00%
3,Michelle Beckley,2,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,6, Ballots Cast,0, Ballots Cast,0,6,0,0.00%
4,Mike Collier,3,5,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,5,0,0.00%
4,Michelle Beckley,2,5,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,5,0,0.00%
5,Mike Collier,16,26,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,26,0,0.00%
5,Michelle Beckley,10,26,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,26,0,0.00%
6,Mike Collier,1,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
6,Michelle Beckley,2,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
7,Mike Collier,2,7,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,3,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,7,0,0.00%
7,Michelle Beckley,5,7,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,3,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,7,0,0.00%
8,Mike Collier,17,34,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,22,Early Voting Ballots Cast,4,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,34,0,0.00%
8,Michelle Beckley,17,34,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,22,Early Voting Ballots Cast,4,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,34,0,0.00%
9,Mike Collier,33,53,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,30,Early Voting Ballots Cast,14,Election Day Voting Ballots Cast,9, Ballots Cast,0, Ballots Cast,0,53,0,0.00%
9,Michelle Beckley,20,53,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,30,Early Voting Ballots Cast,14,Election Day Voting Ballots Cast,9, Ballots Cast,0, Ballots Cast,0,53,0,0.00%
10,Mike Collier,22,60,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,Early Voting Ballots Cast,35,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,70,0,0.00%
10,Michelle Beckley,38,60,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,Early Voting Ballots Cast,35,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,70,0,0.00%
11,Mike Collier,5,8,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,4,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,5, Ballots Cast,0, Ballots Cast,0,9,0,0.00%
11,Michelle Beckley,3,8,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,4,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,5, Ballots Cast,0, Ballots Cast,0,9,0,0.00%
12,Mike Collier,38,55,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,18,Early Voting Ballots Cast,27,Election Day Voting Ballots Cast,11, Ballots Cast,0, Ballots Cast,0,56,0,0.00%
12,Michelle Beckley,17,55,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,18,Early Voting Ballots Cast,27,Election Day Voting Ballots Cast,11, Ballots Cast,0, Ballots Cast,0,56,0,0.00%
13,Mike Collier,104,183,70,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,38,Early Voting Ballots Cast,155,Election Day Voting Ballots Cast,60, Ballots Cast,0, Ballots Cast,0,253,0,0.00%
13,Michelle Beckley,79,183,70,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,38,Early Voting Ballots Cast,155,Election Day Voting Ballots Cast,60, Ballots Cast,0, Ballots Cast,0,253,0,0.00%
14,Mike Collier,2,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
14,Michelle Beckley,1,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
1,Joe Jaworski,3,19,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,6,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,7, Ballots Cast,0, Ballots Cast,0,20,0,0.00%
1,Rochelle Mercedes Garza,16,19,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,6,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,7, Ballots Cast,0, Ballots Cast,0,20,0,0.00%
2,Joe Jaworski,9,28,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,Early Voting Ballots Cast,2,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,28,0,0.00%
2,Rochelle Mercedes Garza,19,28,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,Early Voting Ballots Cast,2,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,28,0,0.00%
3,Joe Jaworski,2,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,6, Ballots Cast,0, Ballots Cast,0,6,0,0.00%
3,Rochelle Mercedes Garza,4,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,6, Ballots Cast,0, Ballots Cast,0,6,0,0.00%
4,Joe Jaworski,2,5,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,5,0,0.00%
4,Rochelle Mercedes Garza,3,5,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,5,0,0.00%
5,Joe Jaworski,11,26,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,26,0,0.00%
5,Rochelle Mercedes Garza,15,26,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,26,0,0.00%
6,Joe Jaworski,1,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
6,Rochelle Mercedes Garza,2,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,2, Ballots Cast,0, Ballots Cast,0,3,0,0.00%
7,Joe Jaworski,1,7,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,3,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,7,0,0.00%
7,Rochelle Mercedes Garza,6,7,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,3,Election Day Voting Ballots Cast,3, Ballots Cast,0, Ballots Cast,0,7,0,0.00%
8,Joe Jaworski,14,33,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,22,Early Voting Ballots Cast,4,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,34,0,0.00%
8,Rochelle Mercedes Garza,19,33,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,22,Early Voting Ballots Cast,4,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,34,0,0.00%
9,Joe Jaworski,18,52,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,30,Early Voting Ballots Cast,14,Election Day Voting Ballots Cast,9, Ballots Cast,0, Ballots Cast,0,53,0,0.00%
9,Rochelle Mercedes Garza,34,52,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,30,Early Voting Ballots Cast,14,Election Day Voting Ballots Cast,9, Ballots Cast,0, Ballots Cast,0,53,0,0.00%
10,Joe Jaworski,9,60,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,Early Voting Ballots Cast,35,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,70,0,0.00%
10,Rochelle Mercedes Garza,51,60,10,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,Early Voting Ballots Cast,35,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,70,0,0.00%
11,Joe Jaworski,5,8,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,4,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,5, Ballots Cast,0, Ballots Cast,0,9,0,0.00%
11,Rochelle Mercedes Garza,3,8,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,4,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,5, Ballots Cast,0, Ballots Cast,0,9,0,0.00%
