COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP County Judge,REP County Judge,REP JOP,REP JOP,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,George P. Bush,Ken Paxton,Dawn Buckingham,Tim Westley,Wayne Christian,Sarah Stogner,Tony Serbantez,Larry D. Gilbreath,David Cox,Angie P. Garza,Mike Collier,Michelle Beckley,Rochelle Mercedes Garza,Joe Jaworski,Angel Luis Vega,Janet T. Dudding,Sandragrace Martinez,Jay Kleberg,
TERRY,0001,101,0,0,0,0,513,503,10,0,1,185,291,227,175,238,193,337,161,172,327,4,5,7,2,3,6,6,3,
TERRY,0002,201,0,0,0,0,150,138,12,0,0,50,68,66,34,45,63,102,30,48,87,5,6,11,1,8,4,9,3,
TERRY,0003,202,0,0,0,0,84,82,2,0,0,29,45,34,25,28,39,46,36,22,59,1,1,2,0,2,0,1,1,
TERRY,0004,301,0,0,0,0,187,173,14,0,2,59,91,76,52,70,66,107,65,73,99,2,9,9,2,9,2,8,2,
TERRY,0005,401,0,0,0,0,227,221,6,0,0,91,107,107,63,86,89,165,53,80,136,2,3,4,1,1,3,4,1,
TERRY,0006,402,0,0,0,0,36,36,0,0,0,4,32,20,12,24,12,15,21,23,12,0,0,0,0,0,0,0,0,
TERRY,ZZZ,COUNTY TOTALS,0,0,0,0,1197,1153,44,0,3,418,634,530,361,491,462,772,366,418,720,14,24,33,6,23,15,28,10,
