political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,Early Voting Votes
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Attorney General,George P. Bush,,12,8
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Attorney General,Ken Paxton,,52,13
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Commissioner of the General Land Office,Tim Westley,,30,6
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Commissioner of the General Land Office,Dawn Buckingham,,30,15
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Railroad Commissioner,Wayne Christian,,46,17
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1-3-3A-4,2335,Railroad Commissioner,Sarah Stogner,,14,5
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Attorney General,George P. Bush,,15,6
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Attorney General,Ken Paxton,,56,6
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Commissioner of the General Land Office,Tim Westley,,28,4
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Commissioner of the General Land Office,Dawn Buckingham,,39,8
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Railroad Commissioner,Wayne Christian,,54,9
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,1A-2-2A,1650,Railroad Commissioner,Sarah Stogner,,16,3
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Attorney General,George P. Bush,,12,1
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Attorney General,Ken Paxton,,9,2
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Commissioner of the General Land Office,Tim Westley,,6,2
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Commissioner of the General Land Office,Dawn Buckingham,,13,1
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Railroad Commissioner,Wayne Christian,,13,1
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,2B,304,Railroad Commissioner,Sarah Stogner,,6,2
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Attorney General,George P. Bush,,4,0
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Attorney General,Ken Paxton,,26,2
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Commissioner of the General Land Office,Tim Westley,,10,1
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Commissioner of the General Land Office,Dawn Buckingham,,17,1
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Railroad Commissioner,Wayne Christian,,24,2
REPUBLICAN,5/24/2022,2022 MAY 24TH REPUBLICAN PRIMARY RUNOFF,0,0,4A-4B,573,Railroad Commissioner,Sarah Stogner,,5,0
