COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP Attorney General,REP Attorney General,REP Commissioner of the General Land Office,REP Commissioner of the General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP County Judge,REP County Judge,REP County Treasurer,REP County Treasurer,REP County Commissioner,REP County Commissioner,REP Justice of the Peace,REP Justice of the Peace,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Commissioner of the General Land Office,DEM Commissioner of the General Land Office,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,George P. Bush,Ken Paxton,Dawn Buckingham,Tim Westley,Wayne Christian,Sarah Stogner,Milton Powers,Melissa Riley,Leann Monk,Maegan Rains Odom,Stevan Sturrock,Doug Hughes,"Henry E. Sawyer, Jr.",Jim Moore,Mike Collier,Michelle Beckley,Joe Jaworski,Rochelle Mercedes Garza,Angel Luis Vega,Janet T. Dudding,Sandragrace Martinez,Jay Kleberg,
TYLER,0001,Precinct 1,483,0,0,483,134,129,5,0,0,31,96,81,36,82,35,74,53,56,70,0,0,0,0,3,2,2,3,5,0,3,2,
TYLER,0002,Precinct 2,1289,0,0,1289,272,256,16,0,0,83,164,126,82,170,51,121,131,101,151,145,105,0,0,5,9,7,8,6,9,9,7,
TYLER,0003,Precinct 3,1570,0,0,1570,301,280,21,0,0,107,168,155,92,170,79,122,156,162,117,0,0,0,0,13,8,5,15,7,13,8,12,
TYLER,0004,Precinct 4,1404,0,0,1404,231,226,5,0,0,71,147,103,89,150,41,114,110,136,88,0,0,0,0,2,3,1,4,1,4,3,2,
TYLER,0005,Precinct 5,274,0,0,274,44,38,6,0,0,9,26,17,14,25,7,23,15,18,17,0,0,0,0,2,4,3,3,1,5,5,1,
TYLER,0006,Precinct 6,400,0,0,400,63,56,7,0,0,16,40,37,13,44,8,21,31,35,17,0,0,0,0,6,1,4,3,4,3,3,4,
TYLER,0007,Precinct 7,635,0,0,635,233,230,3,0,0,78,140,100,92,162,37,107,120,109,118,68,161,0,0,2,1,3,0,1,2,1,2,
TYLER,0008,Precinct 8,210,0,0,210,84,84,0,0,0,29,51,38,33,60,18,45,39,42,42,47,37,0,0,0,0,0,0,0,0,0,0,
TYLER,0009,Precinct 9,472,0,0,472,98,93,5,0,0,21,69,37,39,63,18,39,52,55,36,0,0,0,0,2,3,2,3,1,4,4,1,
TYLER,0010,Precinct 10,1376,0,0,1376,347,334,13,0,0,102,215,125,136,224,50,212,115,151,173,0,0,0,0,8,5,8,5,6,7,6,7,
TYLER,0011,Precinct 11,124,0,0,124,35,34,1,0,0,2,29,7,19,24,4,25,9,12,21,0,0,0,0,0,1,1,0,1,0,1,0,
TYLER,0012,Precinct 13,779,0,0,779,127,121,6,0,0,41,79,58,56,87,28,53,67,66,54,0,0,0,0,3,3,4,2,3,3,3,3,
TYLER,0013,Precinct 14,1659,0,0,1659,407,398,9,0,0,134,247,182,150,267,74,143,252,203,181,0,0,254,135,8,1,9,0,1,6,2,7,
TYLER,0014,Precinct 15,1039,0,0,1039,220,216,4,0,0,67,137,103,83,138,48,120,89,127,78,0,0,40,172,3,1,1,3,2,2,2,2,
TYLER,0015,Precinct 16,685,0,0,685,109,102,7,0,0,34,67,46,48,67,27,50,50,49,51,0,0,47,55,7,0,4,3,1,5,1,6,
TYLER,0016,Precinct 17,699,0,0,699,192,177,15,0,0,62,109,87,61,117,38,110,66,88,87,0,0,0,0,8,7,6,9,5,10,7,7,
TYLER,0017,Precinct 18,1224,0,0,1224,333,318,15,0,2,128,180,159,118,211,76,161,154,166,148,152,158,0,0,4,9,5,8,6,6,10,2,
TYLER,ZZZ,COUNTY TOTALS,14322,0,0,14322,3230,3092,138,0,2,1015,1964,1461,1161,2061,639,1540,1509,1576,1449,412,461,341,362,76,58,65,69,51,79,68,65,
