political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,Candidate name,party code,early_votes,election_votes
Brazos County,5/24/2022,Primary Runoff,,,1,2145,LIEUTENANT GOVERNOR,Michelle Beckley,DEM,3,4
Brazos County,5/24/2022,Primary Runoff,,,1,2145,LIEUTENANT GOVERNOR,Mike Collier,DEM,7,3
Brazos County,5/24/2022,Primary Runoff,,,1,2145,ATTORNEY GENERAL,Ken Paxton,REP,87,81
Brazos County,5/24/2022,Primary Runoff,,,1,2145,ATTORNEY GENERAL,George P. Bush,REP,61,58
Brazos County,5/24/2022,Primary Runoff,,,1,2145,ATTORNEY GENERAL,Rochelle Mercedes Garza,DEM,5,4
Brazos County,5/24/2022,Primary Runoff,,,1,2145,ATTORNEY GENERAL,Joe Jaworski,DEM,5,2
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMPTROLLER OF PUBLIC ACCOUNTS,Janet T. Dudding,DEM,8,5
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMPTROLLER OF PUBLIC ACCOUNTS,Angel Luis Vega,DEM,2,2
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMMISSIONER OF THE GENERAL LAND OFFICE,Tim Westley,REP,44,46
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMMISSIONER OF THE GENERAL LAND OFFICE,Dawn Buckingham,REP,92,79
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMMISSIONER OF THE GENERAL LAND OFFICE,Sandragrace Martinez,DEM,4,3
Brazos County,5/24/2022,Primary Runoff,,,1,2145,COMMISSIONER OF THE GENERAL LAND OFFICE,Jay Kleberg,DEM,6,4
Brazos County,5/24/2022,Primary Runoff,,,1,2145,RAILROAD COMMISSIONER,Wayne Christian,REP,95,82
Brazos County,5/24/2022,Primary Runoff,,,1,2145,RAILROAD COMMISSIONER,Sarah Stogner,REP,45,49
Brazos County,5/24/2022,Primary Runoff,,,1,2145,"STATE REPRESENTATIVE, DISTRICT 12",Kyle Kacal,REP,96,86
Brazos County,5/24/2022,Primary Runoff,,,1,2145,"STATE REPRESENTATIVE, DISTRICT 12",Ben Bius,REP,52,51
Brazos County,5/24/2022,Primary Runoff,,,1,2145,DISTRICT CLERK,Gabriel Garcia,REP,86,60
Brazos County,5/24/2022,Primary Runoff,,,1,2145,DISTRICT CLERK,Margaret Meece,REP,54,70
Brazos County,5/24/2022,Primary Runoff,,,2,2561,LIEUTENANT GOVERNOR,Michelle Beckley,DEM,8,7
Brazos County,5/24/2022,Primary Runoff,,,2,2561,LIEUTENANT GOVERNOR,Mike Collier,DEM,15,6
Brazos County,5/24/2022,Primary Runoff,1,,2,2561,ATTORNEY GENERAL,Ken Paxton,REP,86,88
Brazos County,5/24/2022,Primary Runoff,1,,2,2561,ATTORNEY GENERAL,George P. Bush,REP,57,49
Brazos County,5/24/2022,Primary Runoff,,,2,2561,ATTORNEY GENERAL,Rochelle Mercedes Garza,DEM,9,9
Brazos County,5/24/2022,Primary Runoff,,,2,2561,ATTORNEY GENERAL,Joe Jaworski,DEM,14,4
Brazos County,5/24/2022,Primary Runoff,,,2,2561,COMPTROLLER OF PUBLIC ACCOUNTS,Janet T. Dudding,DEM,18,13
Brazos County,5/24/2022,Primary Runoff,,,2,2561,COMPTROLLER OF PUBLIC ACCOUNTS,Angel Luis Vega,DEM,5,0
Brazos County,5/24/2022,Primary Runoff,1,,2,2561,COMMISSIONER OF THE GENERAL LAND OFFICE,Tim Westley,REP,32,44
Brazos County,5/24/2022,Primary Runoff,1,,2,2561,COMMISSIONER OF THE GENERAL LAND OFFICE,Dawn Buckingham,REP,97,81
Brazos County,5/24/2022,Primary Runoff,,,2,2561,COMMISSIONER OF THE GENERAL LAND OFFICE,Sandragrace Martinez,DEM,8,6
