political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,U.S. REPRESENTATIVE DISTRICT 1,JRMAR (JJ) JEFFERSON,DEM,16,13
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,U.S. REPRESENTATIVE DISTRICT 1,VICTOR D. DUNN,DEM,1,2
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,LIEUTENANT GOVERNOR,MIKE COLLIER,DEM,8,9
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,DEM,9,7
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,DEM,11,9
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,ATTORNEY GENERAL,JOE JAWORSKI,DEM,6,7
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,COMPTROLLER OF PUBLIC ACCOUNTS,JANET T. DUDDING,DEM,10,13
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,COMPTROLLER OF PUBLIC ACCOUNTS,ANGEL LUIS VEGA,DEM,7,3
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,COMMISSIONER OF THE GENERAL LAND OFFICE,JAY KLEBERG,DEM,10,9
Gregg County,5/24/2022,Joint Primary Runoff,3,2,1,1696,COMMISSIONER OF THE GENERAL LAND OFFICE,SANDRAGRACE MARTINEZ,DEM,6,7
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,U.S. REPRESENTATIVE DISTRICT 1,JRMAR (JJ) JEFFERSON,DEM,41,18
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,U.S. REPRESENTATIVE DISTRICT 1,VICTOR D. DUNN,DEM,8,4
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,LIEUTENANT GOVERNOR,MIKE COLLIER,DEM,33,13
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,DEM,17,9
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,DEM,21,11
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,ATTORNEY GENERAL,JOE JAWORSKI,DEM,28,12
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,COMPTROLLER OF PUBLIC ACCOUNTS,JANET T. DUDDING,DEM,40,12
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,COMPTROLLER OF PUBLIC ACCOUNTS,ANGEL LUIS VEGA,DEM,8,10
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,COMMISSIONER OF THE GENERAL LAND OFFICE,JAY KLEBERG,DEM,35,10
Gregg County,5/24/2022,Joint Primary Runoff,3,2,2,3807,COMMISSIONER OF THE GENERAL LAND OFFICE,SANDRAGRACE MARTINEZ,DEM,14,12
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,U.S. REPRESENTATIVE DISTRICT 1,JRMAR (JJ) JEFFERSON,DEM,11,6
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,U.S. REPRESENTATIVE DISTRICT 1,VICTOR D. DUNN,DEM,5,2
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,LIEUTENANT GOVERNOR,MIKE COLLIER,DEM,11,4
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,DEM,5,4
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,DEM,5,5
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,ATTORNEY GENERAL,JOE JAWORSKI,DEM,11,3
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,COMPTROLLER OF PUBLIC ACCOUNTS,JANET T. DUDDING,DEM,10,5
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,COMPTROLLER OF PUBLIC ACCOUNTS,ANGEL LUIS VEGA,DEM,6,2
Gregg County,5/24/2022,Joint Primary Runoff,3,2,3,2262,COMMISSIONER OF THE GENERAL LAND OFFICE,JAY KLEBERG,DEM,14,5
