,,,,,#FormatVersion 1,,,,,
Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,#Precinct,Registered Voters,Contest Title,Choice Name,Early Vote Totals,Election Day Vote Totals
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Attorney General,George P. Bush,30,17
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Attorney General,Ken Paxton,85,58
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Commissioner of the General Land Office,Tim Westley,40,13
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Commissioner of the General Land Office,Dawn Buckingham,74,62
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Railroad Commissioner,Wayne Christian,59,38
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,Railroad Commissioner,Sarah Stogner,51,37
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,"State Senator, District No. 24",Pete Flores,63,42
Bandera County,24-May-22,Republican Runoff,2,2,101,1854,"State Senator, District No. 24",Raul Reyes,54,33
Bandera County,24-May-22,Republican Runoff,0,0,102,1854,Attorney General,George P. Bush,46,35
Bandera County,24-May-22,Republican Runoff,0,0,102,1854,Attorney General,Ken Paxton,147,163
Bandera County,24-May-22,Republican Runoff,0,0,102,1854,Commissioner of the General Land Office,Tim Westley,51,48
Bandera County,24-May-22,Republican Runoff,0,0,102,1854,Commissioner of the General Land Office,Dawn Buckingham,136,146
Bandera County,24-May-22,Republican Runoff,0,0,102,2812,Railroad Commissioner,Wayne Christian,121,118
Bandera County,24-May-22,Republican Runoff,0,0,102,2812,Railroad Commissioner,Sarah Stogner,63,75
Bandera County,24-May-22,Republican Runoff,0,0,102,2812,"State Senator, District No. 24",Pete Flores,127,130
Bandera County,24-May-22,Republican Runoff,0,0,102,2812,"State Senator, District No. 24",Raul Reyes,59,61
Bandera County,24-May-22,Republican Runoff,0,0,102,2812,"Precinct Chairman, Precinct 102",Kenneth P. Denney,87,95
