political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,DEM Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Lieutenant Governor,Michelle Beckley,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Lieutenant Governor,Mike Collier,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Attorney General,Rochelle Mercedes Garza,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Attorney General,Joe Jaworski,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Comptroller of Public Accounts,Janet T. Dudding,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Commissioner of the General Land Office,Jay Kleberg,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,1,401,1,Commissioner of the General Land Office,Sandragrace Martinez,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Lieutenant Governor,Michelle Beckley,,7,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Lieutenant Governor,Mike Collier,,4,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Attorney General,Rochelle Mercedes Garza,,7,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Attorney General,Joe Jaworski,,4,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Comptroller of Public Accounts,Angel Luis Vega,,4,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Comptroller of Public Accounts,Janet T. Dudding,,7,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Commissioner of the General Land Office,Jay Kleberg,,4,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,2,2682,12,Commissioner of the General Land Office,Sandragrace Martinez,,7,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Lieutenant Governor,Michelle Beckley,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Lieutenant Governor,Mike Collier,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Attorney General,Rochelle Mercedes Garza,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Attorney General,Joe Jaworski,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Comptroller of Public Accounts,Janet T. Dudding,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Commissioner of the General Land Office,Jay Kleberg,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,3,115,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Lieutenant Governor,Michelle Beckley,,0,2
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Lieutenant Governor,Mike Collier,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Attorney General,Rochelle Mercedes Garza,,0,2
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Attorney General,Joe Jaworski,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Comptroller of Public Accounts,Angel Luis Vega,,0,2
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Comptroller of Public Accounts,Janet T. Dudding,,0,0
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Commissioner of the General Land Office,Jay Kleberg,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,1,1,4,693,2,Commissioner of the General Land Office,Sandragrace Martinez,,0,1
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Lieutenant Governor,Michelle Beckley,,4,1
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Lieutenant Governor,Mike Collier,,2,4
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Attorney General,Rochelle Mercedes Garza,,4,5
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Attorney General,Joe Jaworski,,2,0
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Comptroller of Public Accounts,Angel Luis Vega,,1,2
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Comptroller of Public Accounts,Janet T. Dudding,,5,3
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Commissioner of the General Land Office,Jay Kleberg,,4,3
Gray County ,5/24/2022,Joint Primary Runoff,2,0,5,3192,11,Commissioner of the General Land Office,Sandragrace Martinez,,2,2
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Lieutenant Governor,Michelle Beckley,,4,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Lieutenant Governor,Mike Collier,,4,3
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Attorney General,Rochelle Mercedes Garza,,4,1
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Attorney General,Joe Jaworski,,4,2
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Comptroller of Public Accounts,Angel Luis Vega,,2,0
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Comptroller of Public Accounts,Janet T. Dudding,,6,3
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Commissioner of the General Land Office,Jay Kleberg,,7,3
Gray County ,5/24/2022,Joint Primary Runoff,0,0,6,2857,11,Commissioner of the General Land Office,Sandragrace Martinez,,1,0
Gray County ,5/24/2022,Joint Primary Runoff,3,3,7,2582,13,Lieutenant Governor,Michelle Beckley,,2,3
