political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted ,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes 
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,2,1395,0,Commissioner of the General Land Office,Dawn Buckingham,,20,32
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,2,1395,0,Commissioner of the General Land Office,Tim Westley,,16,13
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,2,1395,0,Railroad Commissioner,Wayne Christian,,22,29
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,2,1395,0,Railroad Commissioner,Sarah Stogner,,15,17
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,"United States Representative, District No. 1",Victor D. Dunn,,4,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,,12,10
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Lieutenant Governor,Michelle Beckley,,7,6
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Lieutenant Governor,Mike Collier,,8,7
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Attorney General,Rochelle Mercedes Garza,,8,8
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Attorney General,Joe Jaworski,,7,5
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Comptroller of Public Accounts,Janet T. Dudding,,9,10
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Comptroller of Public Accounts,Angel Luis Vega,,6,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Commissioner of the General Land Office,Jay Kleberg,,8,6
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3-1,1273,0,Commissioner of the General Land Office,Sandragrace Martinez,,7,7
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Lieutenant Governor,Michelle Beckley,,8,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Lieutenant Governor,Mike Collier,,4,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Attorney General,Rochelle Mercedes Garza,,6,4
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Attorney General,Joe Jaworski,,8,0
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Comptroller of Public Accounts,Janet T. Dudding,,6,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Comptroller of Public Accounts,Angel Luis Vega,,4,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Commissioner of the General Land Office,Jay Kleberg,,5,1
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Commissioner of the General Land Office,Sandragrace Martinez,,5,3
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Attorney General,Ken Paxton,,26,55
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Attorney General,George P. Bush,,11,8
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Commissioner of the General Land Office,Dawn Buckingham,,24,36
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Commissioner of the General Land Office,Tim Westley,,11,19
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Railroad Commissioner,Wayne Christian,,11,33
RED RIVER COUNTY,5/24/2022,PRIMARY RUN-OFF,1,0,3,1011,0,Railroad Commissioner,Sarah Stogner,,25,27
