political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Palo Pinto County,5/24/2022,"May 24, 2022 primary run off",15,12,1,0,Lieutenant Governor,Mike Collier,,1,4,0,1
Palo Pinto County,5/25/2022,"May 24, 2022 primary run off",,,1,0,Lieutenant Governor,Michelle Beckley,,5,3,2,3
Palo Pinto County,5/26/2022,"May 24, 2022 primary run off",,,1,0,Attorney General,Rochelle Mercedes Garza,,4,5,0,4
Palo Pinto County,5/27/2022,"May 24, 2022 primary run off",,,1,0,Attorney General,Joe Jaworski,,2,1,2,0
Palo Pinto County,5/28/2022,"May 24, 2022 primary run off",,,1,0,Comptroller of Public Accounts,Angel Luis Vega,,4,3,2,2
Palo Pinto County,5/29/2022,"May 24, 2022 primary run off",,,1,0,Comptroller of Public Accounts,Janet T. Dudding,,2,3,0,2
Palo Pinto County,5/30/2022,"May 24, 2022 primary run off",,,1,0,Commissioner of the General Land Office,Sandragrace Martinez,,2,4,0,2
Palo Pinto County,5/31/2022,"May 24, 2022 primary run off",,,1,0,Commissioner of the General Land Office,Jay Kleberg,,4,2,2,2
Palo Pinto County,6/1/2022,"May 24, 2022 primary run off",,,1,0,Attorney General,Ken Paxton,,54,24,10,44
Palo Pinto County,6/2/2022,"May 24, 2022 primary run off",,,1,0,Attorney General,George P. Bush,,22,18,3,19
Palo Pinto County,6/3/2022,"May 24, 2022 primary run off",,,1,0,Commissioner of the General Land Office,Tim Westley,,22,15,5,17
Palo Pinto County,6/4/2022,"May 24, 2022 primary run off",,,1,0,Commissioner of the General Land Office,Dawn Buckingham,,48,21,7,41
Palo Pinto County,6/5/2022,"May 24, 2022 primary run off",,,1,0,Railroad Commissioner,Sarah Stogner,,30,19,4,26
Palo Pinto County,6/6/2022,"May 24, 2022 primary run off",,,1,0,Railroad Commissioner,Wayne Christian,,42,16,9,33
Palo Pinto County,6/7/2022,"May 24, 2022 primary run off",,,1,0,"State Representative,  District No. 60",Glenn Rogers,,63,28,13,50
Palo Pinto County,6/8/2022,"May 24, 2022 primary run off",,,1,0,"State Representative,  District No. 60",Mike Olcott,,13,14,0,13
Palo Pinto County,6/9/2022,"May 24, 2022 primary run off",,,2,0,Lieutenant Governor,Mike Collier,,0,1,0,0
Palo Pinto County,6/10/2022,"May 24, 2022 primary run off",,,2,0,Lieutenant Governor,Michelle Beckley,,0,0,0,0
Palo Pinto County,6/11/2022,"May 24, 2022 primary run off",,,2,0,Attorney General,Rochelle Mercedes Garza,,0,1,0,0
Palo Pinto County,6/12/2022,"May 24, 2022 primary run off",,,2,0,Attorney General,Joe Jaworski,,0,0,0,0
Palo Pinto County,6/13/2022,"May 24, 2022 primary run off",,,2,0,Comptroller of Public Accounts,Angel Luis Vega,,0,1,0,0
Palo Pinto County,6/14/2022,"May 24, 2022 primary run off",,,2,0,Comptroller of Public Accounts,Janet T. Dudding,,0,0,0,0
Palo Pinto County,6/15/2022,"May 24, 2022 primary run off",,,2,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0,0,0
Palo Pinto County,6/16/2022,"May 24, 2022 primary run off",,,2,0,Commissioner of the General Land Office,Jay Kleberg,,0,1,0,0
Palo Pinto County,6/17/2022,"May 24, 2022 primary run off",,,2,0,Attorney General,Ken Paxton,,0,4,0,0
Palo Pinto County,6/18/2022,"May 24, 2022 primary run off",,,2,0,Attorney General,George P. Bush,,0,0,0,0
Palo Pinto County,6/19/2022,"May 24, 2022 primary run off",,,2,0,Commissioner of the General Land Office,Tim Westley,,0,2,0,0
Palo Pinto County,6/20/2022,"May 24, 2022 primary run off",,,2,0,Commissioner of the General Land Office,Dawn Buckingham,,0,2,0,0
Palo Pinto County,6/21/2022,"May 24, 2022 primary run off",,,2,0,Railroad Commissioner,Sarah Stogner,,0,1,0,0
Palo Pinto County,6/22/2022,"May 24, 2022 primary run off",,,2,0,Railroad Commissioner,Wayne Christian,,0,3,0,0
Palo Pinto County,6/23/2022,"May 24, 2022 primary run off",,,2,0,"State Representative,  District No. 60",Glenn Rogers,,0,4,0,0
Palo Pinto County,6/24/2022,"May 24, 2022 primary run off",,,2,0,"State Representative,  District No. 60",Mike Olcott,,0,0,0,0
Palo Pinto County,6/25/2022,"May 24, 2022 primary run off",,,2,0,"Justice of the Peace, Precinct No. 2",Jason Rhea Sheehy,,0,0,0,0
Palo Pinto County,6/26/2022,"May 24, 2022 primary run off",,,2,0,"Justice of the Peace, Precinct No. 2",Johnny McKee Jr,,0,4,0,0
Palo Pinto County,6/27/2022,"May 24, 2022 primary run off",,,3,0,Lieutenant Governor,Mike Collier,,3,4,2,1
Palo Pinto County,6/28/2022,"May 24, 2022 primary run off",,,3,0,Lieutenant Governor,Michelle Beckley,,1,0,0,1
Palo Pinto County,6/29/2022,"May 24, 2022 primary run off",,,3,0,Attorney General,Rochelle Mercedes Garza,,2,1,0,2
Palo Pinto County,6/30/2022,"May 24, 2022 primary run off",,,3,0,Attorney General,Joe Jaworski,,2,3,2,0
Palo Pinto County,7/1/2022,"May 24, 2022 primary run off",,,3,0,Comptroller of Public Accounts,Angel Luis Vega,,1,2,1,0
Palo Pinto County,7/2/2022,"May 24, 2022 primary run off",,,3,0,Comptroller of Public Accounts,Janet T. Dudding,,2,2,1,1
Palo Pinto County,7/3/2022,"May 24, 2022 primary run off",,,3,0,Commissioner of the General Land Office,Sandragrace Martinez,,1,1,0,1
Palo Pinto County,7/4/2022,"May 24, 2022 primary run off",,,3,0,Commissioner of the General Land Office,Jay Kleberg,,3,3,2,1
Palo Pinto County,7/5/2022,"May 24, 2022 primary run off",,,3,0,Attorney General,Ken Paxton,,45,66,19,26
Palo Pinto County,7/6/2022,"May 24, 2022 primary run off",,,3,0,Attorney General,George P. Bush,,37,45,15,22
Palo Pinto County,7/7/2022,"May 24, 2022 primary run off",,,3,0,Commissioner of the General Land Office,Tim Westley,,31,35,19,12
Palo Pinto County,7/8/2022,"May 24, 2022 primary run off",,,3,0,Commissioner of the General Land Office,Dawn Buckingham,,40,67,10,30
Palo Pinto County,7/9/2022,"May 24, 2022 primary run off",,,3,0,Railroad Commissioner,Sarah Stogner,,21,48,5,16
Palo Pinto County,7/10/2022,"May 24, 2022 primary run off",,,3,0,Railroad Commissioner,Wayne Christian,,54,55,26,28
Palo Pinto County,7/11/2022,"May 24, 2022 primary run off",,,3,0,"State Representative,  District No. 60",Glenn Rogers,,68,79,28,40
Palo Pinto County,7/12/2022,"May 24, 2022 primary run off",,,3,0,"State Representative,  District No. 60",Mike Olcott,,15,33,6,9
Palo Pinto County,7/13/2022,"May 24, 2022 primary run off",,,4,0,Lieutenant Governor,Mike Collier,,1,2,1,0
Palo Pinto County,7/14/2022,"May 24, 2022 primary run off",,,4,0,Lieutenant Governor,Michelle Beckley,,0,1,0,0
Palo Pinto County,7/15/2022,"May 24, 2022 primary run off",,,4,0,Attorney General,Rochelle Mercedes Garza,,0,2,0,0
Palo Pinto County,7/16/2022,"May 24, 2022 primary run off",,,4,0,Attorney General,Joe Jaworski,,1,1,1,0
Palo Pinto County,7/17/2022,"May 24, 2022 primary run off",,,4,0,Comptroller of Public Accounts,Angel Luis Vega,,0,1,0,0
Palo Pinto County,7/18/2022,"May 24, 2022 primary run off",,,4,0,Comptroller of Public Accounts,Janet T. Dudding,,1,2,1,0
Palo Pinto County,7/19/2022,"May 24, 2022 primary run off",,,4,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,3,0,0
Palo Pinto County,7/20/2022,"May 24, 2022 primary run off",,,4,0,Commissioner of the General Land Office,Jay Kleberg,,1,0,1,0
Palo Pinto County,7/21/2022,"May 24, 2022 primary run off",,,4,0,Attorney General,Ken Paxton,,22,19,1,21
Palo Pinto County,7/22/2022,"May 24, 2022 primary run off",,,4,0,Attorney General,George P. Bush,,13,17,0,13
Palo Pinto County,7/23/2022,"May 24, 2022 primary run off",,,4,0,Commissioner of the General Land Office,Tim Westley,,13,11,0,13
Palo Pinto County,7/24/2022,"May 24, 2022 primary run off",,,4,0,Commissioner of the General Land Office,Dawn Buckingham,,18,23,1,17
Palo Pinto County,7/25/2022,"May 24, 2022 primary run off",,,4,0,Railroad Commissioner,Sarah Stogner,,10,15,0,10
Palo Pinto County,7/26/2022,"May 24, 2022 primary run off",,,4,0,Railroad Commissioner,Wayne Christian,,23,19,1,22
Palo Pinto County,7/27/2022,"May 24, 2022 primary run off",,,4,0,"State Representative,  District No. 60",Glenn Rogers,,24,22,1,23
Palo Pinto County,7/28/2022,"May 24, 2022 primary run off",,,4,0,"State Representative,  District No. 60",Mike Olcott,,11,14,0,11
Palo Pinto County,7/29/2022,"May 24, 2022 primary run off",,,5,0,Lieutenant Governor,Mike Collier,,2,13,1,1
Palo Pinto County,7/30/2022,"May 24, 2022 primary run off",,,5,0,Lieutenant Governor,Michelle Beckley,,1,4,1,0
Palo Pinto County,7/31/2022,"May 24, 2022 primary run off",,,5,0,Attorney General,Rochelle Mercedes Garza,,2,11,1,1
Palo Pinto County,8/1/2022,"May 24, 2022 primary run off",,,5,0,Attorney General,Joe Jaworski,,1,6,1,0
Palo Pinto County,8/2/2022,"May 24, 2022 primary run off",,,5,0,Comptroller of Public Accounts,Angel Luis Vega,,1,12,0,1
Palo Pinto County,8/3/2022,"May 24, 2022 primary run off",,,5,0,Comptroller of Public Accounts,Janet T. Dudding,,2,5,2,0
Palo Pinto County,8/4/2022,"May 24, 2022 primary run off",,,5,0,Commissioner of the General Land Office,Sandragrace Martinez,,1,8,1,0
Palo Pinto County,8/5/2022,"May 24, 2022 primary run off",,,5,0,Commissioner of the General Land Office,Jay Kleberg,,2,9,1,1
Palo Pinto County,8/6/2022,"May 24, 2022 primary run off",,,5,0,Attorney General,Ken Paxton,,11,38,4,7
Palo Pinto County,8/7/2022,"May 24, 2022 primary run off",,,5,0,Attorney General,George P. Bush,,4,27,0,4
Palo Pinto County,8/8/2022,"May 24, 2022 primary run off",,,5,0,Commissioner of the General Land Office,Tim Westley,,5,25,4,1
Palo Pinto County,8/9/2022,"May 24, 2022 primary run off",,,5,0,Commissioner of the General Land Office,Dawn Buckingham,,9,37,0,9
Palo Pinto County,8/10/2022,"May 24, 2022 primary run off",,,5,0,Railroad Commissioner,Sarah Stogner,,10,30,2,8
Palo Pinto County,8/11/2022,"May 24, 2022 primary run off",,,5,0,Railroad Commissioner,Wayne Christian,,4,30,2,2
Palo Pinto County,8/12/2022,"May 24, 2022 primary run off",,,5,0,"State Representative,  District No. 60",Glenn Rogers,,12,52,4,8
Palo Pinto County,8/13/2022,"May 24, 2022 primary run off",,,5,0,"State Representative,  District No. 60",Mike Olcott,,3,13,0,3
Palo Pinto County,8/14/2022,"May 24, 2022 primary run off",,,6,0,Lieutenant Governor,Mike Collier,,4,5,3,1
Palo Pinto County,8/15/2022,"May 24, 2022 primary run off",,,6,0,Lieutenant Governor,Michelle Beckley,,4,1,3,1
Palo Pinto County,8/16/2022,"May 24, 2022 primary run off",,,6,0,Attorney General,Rochelle Mercedes Garza,,5,3,4,1
Palo Pinto County,8/17/2022,"May 24, 2022 primary run off",,,6,0,Attorney General,Joe Jaworski,,3,2,2,1
