political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,early_votes,election_votes
Bee County,5/24/2022,Primary Runoff,3,1,1,2202,Lieutenant Governor,Michelle Beckley,15,13
Bee County,5/24/2022,Primary Runoff,,,1,2202,Lieutenant Governor,Mike Collier,16,4
Bee County,5/24/2022,Primary Runoff,,,1,2202,Attorney General,Joe Jaworski,8,1
Bee County,5/24/2022,Primary Runoff,,,1,2202,Attorney General,Rochelle Mercedes Garza,24,16
Bee County,5/24/2022,Primary Runoff,,,1,2202,Comptroller of Public Accounts,Janet T. Dudding,6,7
Bee County,5/24/2022,Primary Runoff,,,1,2202,Comptroller of Public Accounts,Angel Luis Vega,26,10
Bee County,5/24/2022,Primary Runoff,,,1,2202,Commissioner of the General Land Office,Sandragrace Martinez,24,11
Bee County,5/24/2022,Primary Runoff,,,1,2202,Commissioner of the General Land Office,Jay Kleberg,8,6
Bee County,5/24/2022,Primary Runoff,,,1,2202,"State Senator, District No. 27",Morgan LaMantia,12,6
Bee County,5/24/2022,Primary Runoff,,,1,2202,"State Senator, District No. 27",Sara Stapleton-Barrera,20,11
Bee County,5/24/2022,Primary Runoff,,,1,2202,Attorney General,George P. Bush,5,14
Bee County,5/24/2022,Primary Runoff,,,1,2202,Attorney General,Ken Paxton,17,46
Bee County,5/24/2022,Primary Runoff,,,1,2202,Commissioner of the General Land Office,Dawn Buckingham,10,29
Bee County,5/24/2022,Primary Runoff,,,1,2202,Commissioner of the General Land Office,Tim Westley,11,26
Bee County,5/24/2022,Primary Runoff,,,1,2202,Railroad Commissioner,Sarah Stogner,2,17
Bee County,5/24/2022,Primary Runoff,,,1,2202,Railroad Commissioner,Wayne Christian,18,38
Bee County,5/24/2022,Primary Runoff,,,2,534,Lieutenant Governor,Michelle Beckley,4,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Lieutenant Governor,Mike Collier,1,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Attorney General,Joe Jaworski,2,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Attorney General,Rochelle Mercedes Garza,3,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Comptroller of Public Accounts,Janet T. Dudding,0,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Comptroller of Public Accounts,Angel Luis Vega,4,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Commissioner of the General Land Office,Sandragrace Martinez,2,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Commissioner of the General Land Office,Jay Kleberg,2,0
Bee County,5/24/2022,Primary Runoff,,,2,534,"State Senator, District No. 27",Morgan LaMantia,2,0
Bee County,5/24/2022,Primary Runoff,,,2,534,"State Senator, District No. 27",Sara Stapleton-Barrera,3,0
Bee County,5/24/2022,Primary Runoff,,,2,534,Attorney General,George P. Bush,2,4
Bee County,5/24/2022,Primary Runoff,,,2,534,Attorney General,Ken Paxton,7,27
Bee County,5/24/2022,Primary Runoff,,,2,534,Commissioner of the General Land Office,Dawn Buckingham,6,21
Bee County,5/24/2022,Primary Runoff,,,2,534,Commissioner of the General Land Office,Tim Westley,3,4
Bee County,5/24/2022,Primary Runoff,,,2,534,Railroad Commissioner,Sarah Stogner,2,6
Bee County,5/24/2022,Primary Runoff,,,2,534,Railroad Commissioner,Wayne Christian,7,19
Bee County,5/24/2022,Primary Runoff,,,3,1795,Lieutenant Governor,Michelle Beckley,7,11
Bee County,5/24/2022,Primary Runoff,,,3,1795,Lieutenant Governor,Mike Collier,9,1
Bee County,5/24/2022,Primary Runoff,,,3,1795,Attorney General,Joe Jaworski,7,0
Bee County,5/24/2022,Primary Runoff,,,3,1795,Attorney General,Rochelle Mercedes Garza,9,13
Bee County,5/24/2022,Primary Runoff,,,3,1795,Comptroller of Public Accounts,Janet T. Dudding,5,3
Bee County,5/24/2022,Primary Runoff,,,3,1795,Comptroller of Public Accounts,Angel Luis Vega,11,10
Bee County,5/24/2022,Primary Runoff,,,3,1795,Commissioner of the General Land Office,Sandragrace Martinez,10,10
Bee County,5/24/2022,Primary Runoff,,,3,1795,Commissioner of the General Land Office,Jay Kleberg,5,3
Bee County,5/24/2022,Primary Runoff,,,3,1795,"State Senator, District No. 27",Morgan LaMantia,4,7
Bee County,5/24/2022,Primary Runoff,,,3,1795,"State Senator, District No. 27",Sara Stapleton-Barrera,12,6
Bee County,5/24/2022,Primary Runoff,,,3,1795,Attorney General,George P. Bush,15,21
Bee County,5/24/2022,Primary Runoff,,,3,1795,Attorney General,Ken Paxton,27,23
Bee County,5/24/2022,Primary Runoff,,,3,1795,Commissioner of the General Land Office,Dawn Buckingham,26,23
Bee County,5/24/2022,Primary Runoff,,,3,1795,Commissioner of the General Land Office,Tim Westley,12,19
Bee County,5/24/2022,Primary Runoff,,,3,1795,Railroad Commissioner,Sarah Stogner,18,9
Bee County,5/24/2022,Primary Runoff,,,3,1795,Railroad Commissioner,Wayne Christian,20,34
Bee County,5/24/2022,Primary Runoff,,,3,1795,"County Commissioner, Precinct No. 4",Tino Olivares,34,27
Bee County,5/24/2022,Primary Runoff,,,3,1795,"County Commissioner, Precinct No. 4",Kenneth Haggard,8,17
Bee County,5/24/2022,Primary Runoff,,,4,624,Lieutenant Governor,Michelle Beckley,3,8
Bee County,5/24/2022,Primary Runoff,,,4,624,Lieutenant Governor,Mike Collier,2,1
Bee County,5/24/2022,Primary Runoff,,,4,624,Attorney General,Joe Jaworski,0,3
Bee County,5/24/2022,Primary Runoff,,,4,624,Attorney General,Rochelle Mercedes Garza,5,6
Bee County,5/24/2022,Primary Runoff,,,4,624,Comptroller of Public Accounts,Janet T. Dudding,0,3
Bee County,5/24/2022,Primary Runoff,,,4,624,Comptroller of Public Accounts,Angel Luis Vega,5,5
Bee County,5/24/2022,Primary Runoff,,,4,624,Commissioner of the General Land Office,Sandragrace Martinez,4,8
Bee County,5/24/2022,Primary Runoff,,,4,624,Commissioner of the General Land Office,Jay Kleberg,1,1
Bee County,5/24/2022,Primary Runoff,,,4,624,"State Senator, District No. 27",Morgan LaMantia,3,5
Bee County,5/24/2022,Primary Runoff,,,4,624,"State Senator, District No. 27",Sara Stapleton-Barrera,2,4
Bee County,5/24/2022,Primary Runoff,,,4,624,Attorney General,George P. Bush,4,17
Bee County,5/24/2022,Primary Runoff,,,4,624,Attorney General,Ken Paxton,11,41
Bee County,5/24/2022,Primary Runoff,,,4,624,Commissioner of the General Land Office,Dawn Buckingham,10,23
Bee County,5/24/2022,Primary Runoff,,,4,624,Commissioner of the General Land Office,Tim Westley,3,26
