political_subdivison,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,,,early_votes,election_votes,,
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Attorney General,KEN PAXTON,REP,,,79,103,33,46
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Attorney General,GEORGE P. BUSH,REP,,,16,11,9,7
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,70,70,33,37
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Commissioner of the General Land Office,TIM WESTLEY,REP,,,18,40,5,13
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Railroad Commissioner,SARAH STOGNER,REP,,,12,12,7,5
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,80,96,33,47
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Lieutenant Governor,MIKE COLLIER,DEM,,,12,1,10,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,3,2,3,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,8,2,8,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Attorney General,JOE JAWORSKI,DEM,,,6,1,4,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,3,0,2,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,12,3,11,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,9,2,8,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,6,1,5,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,"Precinct Chair, Precinct 1",Pam White,REP,,,71,76,32,39
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,"Precinct Chair, Precinct 1",Rhonda Erwin,REP,,,5,19,3,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,1-Eastland,2877,"Precinct Chair, Precinct 1",Paul Disner,REP,,,7,6,3,4
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Attorney General,KEN PAXTON,REP,,,10,24,3,7
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Attorney General,GEORGE P. BUSH,REP,,,1,2,0,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,11,18,3,8
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Commissioner of the General Land Office,TIM WESTLEY,REP,,,0,7,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Railroad Commissioner,SARAH STOGNER,REP,,,2,3,0,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,9,21,3,6
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Lieutenant Governor,MIKE COLLIER,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Attorney General,JOE JAWORSKI,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,2-Olden,364,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Attorney General,KEN PAXTON,REP,,,23,74,13,10
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Attorney General,GEORGE P. BUSH,REP,,,3,11,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,20,63,12,8
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Commissioner of the General Land Office,TIM WESTLEY,REP,,,6,18,2,4
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Railroad Commissioner,SARAH STOGNER,REP,,,3,18,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,23,62,13,10
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Lieutenant Governor,MIKE COLLIER,DEM,,,3,6,2,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,4,3,2,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,6,5,3,3
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Attorney General,JOE JAWORSKI,DEM,,,1,4,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,5,4,3,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,2,5,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,2,3,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,3-Ranger,1803,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,5,6,3,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Attorney General,KEN PAXTON,REP,,,3,10,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Attorney General,GEORGE P. BUSH,REP,,,3,5,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,4,9,1,3
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Commissioner of the General Land Office,TIM WESTLEY,REP,,,2,6,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Railroad Commissioner,SARAH STOGNER,REP,,,2,3,0,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,4,12,2,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Lieutenant Governor,MIKE COLLIER,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Attorney General,JOE JAWORSKI,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,4-Desdemona,329,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,0,0,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Attorney General,KEN PAXTON,REP,,,3,45,3,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Attorney General,GEORGE P. BUSH,REP,,,1,8,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,4,34,4,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Commissioner of the General Land Office,TIM WESTLEY,REP,,,0,19,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Railroad Commissioner,SARAH STOGNER,REP,,,1,14,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,1,38,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Lieutenant Governor,MIKE COLLIER,DEM,,,0,1,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,4,0,3,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Attorney General,ROCHELLE MERCEDES GARZA,DEM,,,3,0,3,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Attorney General,JOE JAWORSKI,DEM,,,1,1,0,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Comptroller of Public Accounts,ANGEL LUIS VEGA,DEM,,,1,0,1,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Comptroller of Public Accounts,JANET T. DUDDING,DEM,,,3,1,2,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Commissioner of the General Land Office,JAY KLEBERG,DEM,,,2,1,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,5-Gorman,705,Commissioner of the General Land Office,SANDRAGRACE MARTINEZ,DEM,,,2,0,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Attorney General,KEN PAXTON,REP,,,2,11,1,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Attorney General,GEORGE P. BUSH,REP,,,3,2,2,1
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,,,5,10,3,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Commissioner of the General Land Office,TIM WESTLEY,REP,,,0,3,0,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Railroad Commissioner,SARAH STOGNER,REP,,,2,3,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Railroad Commissioner,WAYNE CHRISTIAN,REP,,,3,10,1,2
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Lieutenant Governor,MIKE COLLIER,DEM,,,2,1,2,0
Eastland County,5/24/2022,2022 May 24th Joint Primary Runoff,2,2,6-Carbon,369,Lieutenant Governor,MICHELLE BECKLEY,DEM,,,0,1,0,0
