,,,,,#FormatVersion 1,,,,,,,
political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Lieutenant Governor,Mike Collier,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Lieutenant Governor,Michelle Beckley,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Attorney General,Joe Jaworski,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Attorney General,Rochelle Mercedes Garza,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Comptroller of Public Accounts,Janet T. Dudding,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Commissioner of the General Land Office,Jay Kleberg,,0,1
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Commissioner of the General Land Office,Sandragrace Martinez,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Attorney General,Ken Paxton,,1,3
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Attorney General,George P. Bush,,0,3
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Commissioner of the General Land Office,Tim Westley,,0,4
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Commissioner of the General Land Office,Dawn Buckingham,,1,2
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Railroad Commissioner,Wayne Christian,,1,3
Reagan,5/24/2022,Primary Runoff,0,0,1,0,0,Railroad Commissioner,Sarah Stogner,,0,3
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Lieutenant Governor,Mike Collier,,2,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Lieutenant Governor,Michelle Beckley,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Attorney General,Joe Jaworski,,1,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Attorney General,Rochelle Mercedes Garza,,1,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Comptroller of Public Accounts,Janet T. Dudding,,2,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Comptroller of Public Accounts,Angel Luis Vega,,0,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Commissioner of the General Land Office,Jay Kleberg,,1,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Commissioner of the General Land Office,Sandragrace Martinez,,1,0
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Attorney General,Ken Paxton,,6,14
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Attorney General,George P. Bush,,4,10
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Commissioner of the General Land Office,Tim Westley,,6,8
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Commissioner of the General Land Office,Dawn Buckingham,,4,15
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Railroad Commissioner,Wayne Christian,,8,14
Reagan,5/24/2022,Primary Runoff,0,0,2,0,0,Railroad Commissioner,Sarah Stogner,,2,8
Reagan,5/24/2022,Primary Runoff,0,0,3,0,0,Lieutenant Governor,Mike Collier,,0,0
