COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic,BALLOTS CAST BLANK,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Commissioner of the General Land Office,DEM Commissioner of the General Land Office,DEM Commissioner of the General Land Office,DEM Commissioner of the General Land Office,"DEM State Representative, District 70","DEM State Representative, District 70","DEM State Representative, District 70","DEM State Representative, District 70",DEM County Chair,DEM County Chair,DEM County Chair,DEM County Chair,"DEM Precinct Chair, Precinct 28","DEM Precinct Chair, Precinct 28","DEM Precinct Chair, Precinct 28","DEM Precinct Chair, Precinct 28",
,,,,,DEM,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Michelle Beckley,Mike Collier,OVER VOTES,UNDER VOTES,Rochelle Mercedes Garza,Joe Jaworski,OVER VOTES,UNDER VOTES,Angel Luis Vega,Janet T. Dudding,OVER VOTES,UNDER VOTES,Jay Kleberg,Sandragrace Martinez,OVER VOTES,UNDER VOTES,Mihaela Elizabeth Plesa,Cassandra Garcia Hernandez,OVER VOTES,UNDER VOTES,Caroline Werner,Mike Rawlins,OVER VOTES,UNDER VOTES,Mike Agan,Donald White,OVER VOTES,UNDER VOTES,
COLN,0001,PCT 001,2678,142,34,0,11,23,0,0,19,14,0,1,14,18,0,2,19,15,0,0,0,0,0,0,20,13,0,1,0,0,0,0,
COLN,0001,PCT 001,2678,158,56,0,15,40,0,1,24,32,0,0,15,40,0,1,42,14,0,0,0,0,0,0,38,18,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,25,13,0,4,9,0,0,5,8,0,0,4,9,0,0,9,4,0,0,0,0,0,0,9,4,0,0,0,0,0,0,
COLN,0001,PCT 001,2678,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
COLN,0001,PCT 001,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,112,25,0,11,13,0,1,15,10,0,0,11,14,0,0,13,11,0,1,0,0,0,0,16,9,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,191,59,0,15,44,0,0,32,27,0,0,17,40,0,2,36,20,0,3,0,0,0,0,33,26,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,22,8,0,6,1,0,1,1,7,0,0,6,1,0,1,2,5,0,1,0,0,0,0,3,5,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0002,PCT 002,4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COLN,0003,PCT 003,2777,63,30,0,17,11,0,2,24,6,0,0,11,17,0,2,14,14,0,2,0,0,0,0,21,7,0,2,0,0,0,0,
COLN,0003,PCT 003,2777,60,34,0,15,19,0,0,20,13,0,1,13,21,0,0,11,22,0,1,0,0,0,0,17,16,0,1,0,0,0,0,
COLN,0003,PCT 003,2777,6,3,0,2,1,0,0,1,2,0,0,1,1,0,1,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,
COLN,0003,PCT 003,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
