COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 27","US Representative, Dist 27",Governor,Governor,Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Member, State BoE, District 3","Member, State BoE, District 3","Member, State BoE, District 3","Member, State BoE, District 3","State Senator, District 18","State Senator, District 18","State Senator, District 18","State Senator, District 18","Justice, 13th Ct of Appeals Dist, Place 3","Justice, 13th Ct of Appeals Dist, Place 3","Justice, 13th Ct of Appeals Dist, Place 3","Justice, 13th Ct of Appeals Dist, Place 3",County Judge,County Judge,County Judge,County Judge,County Commissioner. Pct. 2,County Commissioner. Pct. 2,County Commissioner. Pct. 2,County Commissioner. Pct. 2,"Justice of the Peace, Pct. 1","Justice of the Peace, Pct. 1","Justice of the Peace, Pct. 1","Justice of the Peace, Pct. 1","GCGCD, Board of Directors, Pl 5","GCGCD, Board of Directors, Pl 5","GCGCD, Board of Directors, Pl 5","GCGCD, Board of Directors, Pl 5",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Michael Cloud,DEM Maclovio Perez Jr.,OVER VOTES,UNDER VOTES,REP Greg Abbott,DEM Beto O'Rourke,LIB Mark Tippetts,GRN Delilah Barrios,Write-in,OVER VOTES,UNDER VOTES,REP Dan Patrick,DEM Mike Collier,LIB Shanna Steele,OVER VOTES,UNDER VOTES,REP Ken Paxton,DEM Rochelle Mercedes Garza,LIB Mark Ash,OVER VOTES,UNDER VOTES,REP Glenn Hegar,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,OVER VOTES,UNDER VOTES,REP Dawn Buckingham,DEM Jay Kleberg,"GRN Alfred Molison, Jr.",Write-in,OVER VOTES,UNDER VOTES,REP Sid Miller,DEM Susan Hays,OVER VOTES,UNDER VOTES,REP Wayne Christian,DEM Luke Warford,LIB Jaime Andres Diez,GRN Hunter Wayne Crow,OVER VOTES,UNDER VOTES,REP Debra Lehrmann,DEM Erin A. Nowell,LIB Thomas Edward Oxford,OVER VOTES,UNDER VOTES,REP Rebeca Huddle,DEM Amanda Reichek,OVER VOTES,UNDER VOTES,REP Evan Young,DEM Julia Maldonado,OVER VOTES,UNDER VOTES,REP Scott Walker,DEM Dana Huffman,OVER VOTES,UNDER VOTES,"REP Jesse F. McClure, III",DEM Robert Johnson,OVER VOTES,UNDER VOTES,REP Ken Morrow,DEM Marisa B. Perez-Diaz,OVER VOTES,UNDER VOTES,REP Lois W. Kolkhorst,DEM Josh Tutt,OVER VOTES,UNDER VOTES,REP Aaron Pena,DEM Leticia Hinojosa,OVER VOTES,UNDER VOTES,REP Mike Bennett,"DEM Mary Ellen ""Princess"" Flores",OVER VOTES,UNDER VOTES,REP David Young,DEM Alonzo Morales Jr,OVER VOTES,UNDER VOTES,REP Herman Roe II,DEM Sylvia Valdez,OVER VOTES,UNDER VOTES,Reagan Sahadi,Carl Hummel,OVER VOTES,UNDER VOTES,
GOLIA,0001,Precinct 11,1026,11,0,3,8,0,0,6,5,0,0,0,0,0,4,7,0,0,0,3,8,0,0,0,3,8,0,0,0,3,8,0,0,0,0,3,8,0,0,3,8,0,0,0,0,3,8,0,0,0,3,8,0,0,3,8,0,0,3,8,0,0,3,8,0,0,3,8,0,0,3,8,0,0,3,8,0,0,3,8,0,0,0,0,0,0,3,7,0,1,6,2,0,3,
GOLIA,0001,Precinct 11,1026,350,0,188,129,0,33,209,129,0,2,0,0,10,186,121,5,0,38,181,134,4,0,31,188,113,10,0,39,181,125,3,0,0,41,181,127,0,42,183,115,12,3,0,37,187,125,1,0,37,180,131,0,39,182,130,0,38,182,130,0,38,186,127,0,37,185,131,0,34,186,124,0,40,179,135,0,36,132,212,0,6,0,0,0,0,174,166,0,10,176,106,0,68,
GOLIA,0001,Precinct 11,1026,207,0,118,67,0,22,134,61,3,1,0,0,8,120,61,6,0,20,122,60,4,0,21,117,55,9,0,26,121,57,2,0,0,27,118,62,0,27,114,53,7,3,0,30,116,59,5,0,27,119,61,0,27,115,66,0,26,116,62,0,29,115,63,0,29,118,66,0,23,120,65,0,22,116,71,0,20,79,128,0,0,0,0,0,0,111,93,0,3,90,60,0,57,
GOLIA,0002,Precinct 12,482,12,0,9,3,0,0,8,4,0,0,0,0,0,8,4,0,0,0,8,4,0,0,0,8,4,0,0,0,8,4,0,0,0,0,8,4,0,0,10,2,0,0,0,0,8,4,0,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,8,4,0,0,9,3,0,0,8,4,0,0,8,4,0,0,0,0,0,0,10,2,0,0,3,8,0,1,
GOLIA,0002,Precinct 12,482,162,0,151,6,0,5,151,5,3,1,0,0,2,149,8,2,0,3,148,7,4,1,2,151,8,0,0,3,148,10,0,0,0,4,149,9,0,4,148,7,2,2,0,3,149,8,2,0,3,151,8,0,3,150,9,0,3,148,10,0,4,150,8,0,4,150,8,0,4,151,7,0,4,150,9,0,3,129,29,0,4,0,0,0,0,143,13,0,6,56,64,0,42,
GOLIA,0002,Precinct 12,482,108,0,91,11,0,6,98,9,0,0,0,0,1,90,10,1,0,7,91,10,1,0,6,91,7,3,0,7,88,11,2,0,0,7,90,11,0,7,91,8,1,1,0,7,91,9,1,0,7,92,10,0,6,90,12,0,6,91,10,0,7,90,10,0,8,91,10,0,7,93,7,0,8,89,10,0,9,81,25,0,2,0,0,0,0,84,21,0,3,37,32,0,39,
GOLIA,0003,Precinct 21,1190,35,0,13,21,0,1,16,18,0,0,0,0,1,14,19,1,0,1,14,19,1,0,1,14,20,0,0,1,14,20,0,0,0,1,13,21,0,1,14,20,0,0,0,1,13,19,1,0,2,12,20,0,3,12,20,0,3,12,20,0,3,12,20,0,3,14,20,0,1,15,19,0,1,12,22,0,1,7,27,0,1,11,22,0,2,14,19,0,2,18,10,0,7,
GOLIA,0003,Precinct 21,1190,441,0,270,143,0,28,289,130,4,1,1,0,16,262,142,12,0,25,255,157,6,0,23,271,123,16,0,31,255,144,8,0,1,33,262,140,1,38,258,136,10,5,0,32,263,136,4,0,38,263,139,0,39,256,149,0,36,257,142,0,42,265,139,0,37,260,150,0,31,269,138,0,34,254,152,0,35,177,254,0,10,229,201,0,11,235,193,0,13,233,117,0,91,
GOLIA,0003,Precinct 21,1190,178,0,103,59,0,16,113,52,5,1,1,0,6,99,57,3,0,19,103,54,4,0,17,96,50,12,0,20,90,59,4,0,0,25,94,60,0,24,92,51,10,1,0,24,97,55,5,0,21,94,61,0,23,95,60,0,23,98,55,0,25,95,60,0,23,100,58,0,20,108,52,0,18,93,66,0,19,63,111,1,3,77,96,0,5,85,88,0,5,98,44,0,36,
GOLIA,0004,Precinct 22,274,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,
GOLIA,0004,Precinct 22,274,67,0,53,14,0,0,55,11,0,0,0,0,1,53,13,1,0,0,52,13,2,0,0,52,10,4,0,1,53,11,2,0,0,1,53,13,0,1,54,12,1,0,0,0,52,12,0,0,3,52,12,0,3,51,13,0,3,52,12,0,3,52,12,0,3,50,14,0,3,50,12,0,5,47,15,0,5,39,23,0,5,42,20,0,5,44,18,0,5,22,24,0,21,
GOLIA,0004,Precinct 22,274,85,0,46,24,0,15,53,24,1,0,0,0,7,46,24,1,0,14,48,22,2,0,13,44,22,4,0,15,44,22,3,0,0,16,44,27,0,14,47,21,2,0,0,15,47,19,2,0,17,46,22,0,17,45,25,0,15,46,21,0,18,45,24,0,16,49,21,0,15,47,21,0,17,50,19,0,16,35,50,0,0,48,35,0,2,48,37,0,0,32,29,0,24,
GOLIA,0005,Precinct 31,626,7,0,4,3,0,0,4,3,0,0,0,0,0,4,3,0,0,0,4,3,0,0,0,4,3,0,0,0,2,5,0,0,0,0,4,3,0,0,3,3,1,0,0,0,3,3,1,0,0,4,3,0,0,4,3,0,0,4,3,0,0,3,4,0,0,3,4,0,0,4,3,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,
GOLIA,0005,Precinct 31,626,242,0,188,49,0,5,192,47,0,1,0,0,2,187,48,1,0,6,179,47,10,0,6,190,44,1,0,7,178,51,0,1,0,12,177,51,0,14,184,44,0,1,0,13,186,44,1,0,11,186,45,0,11,180,50,0,12,182,46,0,14,187,41,0,14,189,44,0,9,192,44,0,6,177,52,0,13,145,95,0,2,0,0,0,0,0,0,0,0,124,76,0,42,
GOLIA,0005,Precinct 31,626,108,0,86,15,0,7,89,16,2,0,0,0,1,84,14,2,0,8,84,16,2,0,6,83,14,3,0,8,82,16,2,0,0,8,83,17,0,8,84,15,0,2,0,7,84,14,1,0,9,84,16,0,8,84,17,0,7,86,13,0,9,87,13,0,8,84,17,0,7,86,12,0,10,83,14,1,10,60,47,0,1,0,0,0,0,0,0,0,0,41,32,0,35,
GOLIA,0006,Precinct 32,658,7,0,5,2,0,0,5,2,0,0,0,0,0,5,2,0,0,0,5,2,0,0,0,5,2,0,0,0,5,2,0,0,0,0,5,2,0,0,5,2,0,0,0,0,5,2,0,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2,2,0,3,
GOLIA,0006,Precinct 32,658,233,1,200,26,0,7,202,26,1,1,1,0,2,196,30,1,0,6,198,25,6,0,4,199,25,1,0,8,201,23,1,0,0,8,197,30,0,6,197,26,4,0,0,6,195,25,6,0,7,202,25,0,6,200,26,0,7,200,26,0,7,203,24,0,6,203,25,0,5,196,25,0,12,200,24,0,9,148,78,0,7,0,0,0,0,0,0,0,0,86,89,0,58,
GOLIA,0006,Precinct 32,658,199,0,181,13,0,5,181,12,2,1,1,1,1,180,11,4,0,4,177,12,8,0,2,178,13,5,0,3,179,16,1,0,0,3,176,17,0,6,176,13,4,3,0,3,175,11,7,0,6,180,11,0,8,179,13,0,7,176,14,0,9,181,11,0,7,177,15,0,7,181,12,0,6,172,16,0,11,135,57,0,7,0,0,0,0,0,0,0,0,73,84,0,42,
GOLIA,0007,Precinct 41,402,11,0,6,5,0,0,6,5,0,0,0,0,0,6,5,0,0,0,6,5,0,0,0,6,5,0,0,0,6,4,0,0,0,1,6,5,0,0,6,5,0,0,0,0,6,5,0,0,0,6,5,0,0,6,5,0,0,6,5,0,0,6,5,0,0,6,5,0,0,6,4,0,1,6,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,6,4,0,1,
GOLIA,0007,Precinct 41,402,124,0,110,12,0,2,110,11,0,2,0,0,1,103,12,5,0,4,106,15,2,0,1,106,11,2,0,5,108,12,0,0,0,4,106,14,0,4,106,10,2,0,1,5,107,12,1,0,4,106,14,0,4,102,13,0,9,104,14,0,6,105,14,0,5,106,13,0,5,110,11,0,3,104,14,0,6,73,50,0,1,0,0,0,0,0,0,0,0,48,43,0,33,
GOLIA,0007,Precinct 41,402,121,0,106,13,0,2,107,13,0,1,0,0,0,106,15,0,0,0,106,14,0,0,1,107,12,0,0,2,106,12,1,0,0,2,105,15,0,1,108,11,0,1,0,1,108,11,0,0,2,105,14,0,2,106,12,0,3,102,14,0,5,106,13,0,2,110,11,0,0,107,13,0,1,103,15,0,3,80,41,0,0,0,0,0,0,0,0,0,0,44,45,0,32,
