COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 23","US Representative, Dist 23","US Representative, Dist 23",Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","State Representative, District 53","State Representative, District 53","Justice, 8th Court of Appeals, Dist, Pl 2","Justice, 8th Court of Appeals, Dist, Pl 2",County Judge,County Commissioner. Pct. 2
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Tony Gonzales,DEM John Lira,IND Frank Lopez Jr,REP Greg Abbott,DEM Beto O'Rourke,LIB Mark Tippetts,GRN Delilah Barrios,REP Dan Patrick,DEM Mike Collier,LIB Shanna Steele,REP Ken Paxton,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Glenn Hegar,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Dawn Buckingham,DEM Jay Kleberg,"GRN Alfred Molison, Jr.",REP Sid Miller,DEM Susan Hays,REP Wayne Christian,DEM Luke Warford,LIB Jaime Andres Diez,GRN Hunter Wayne Crow,REP Debra Lehrmann,DEM Erin A. Nowell,LIB Thomas Edward Oxford,REP Rebeca Huddle,DEM Amanda Reichek,REP Evan Young,DEM Julia Maldonado,REP Scott Walker,DEM Dana Huffman,"REP Jesse F. McClure, III",DEM Robert Johnson,REP Andrew S. Murr,DEM Joe P. Herrera,REP Jeff Alley,DEM Lisa Soto,REP Roy Hodges,REP Dennis Young
CRANE,1,Precinct 1,0,406,0,338,32,14,359,34,3,0,340,40,8,332,42,8,334,33,12,339,34,4,339,41,336,31,9,3,340,32,7,340,36,334,44,343,36,344,38,338,42,331,47,259,0
CRANE,2,Precinct 2,0,331,0,260,36,14,274,45,2,0,257,43,9,260,43,6,260,39,7,259,40,2,259,45,254,39,8,5,254,42,4,254,44,252,48,255,43,263,36,261,44,254,46,213,238
CRANE,3,Precinct 3,0,208,1,143,36,12,152,42,2,5,139,40,7,141,42,4,134,40,11,137,40,5,139,43,138,36,10,0,142,35,6,141,41,134,52,141,42,138,44,138,45,129,52,108,0
CRANE,4,Precinct 4,0,239,0,192,20,10,198,29,1,1,192,20,6,185,32,5,185,21,12,187,23,7,188,29,181,23,9,1,181,29,4,186,27,184,29,185,29,189,28,185,30,184,33,128,0
CRANE,ZZZ,COUNTY TOTALS,0,1184,1,933,124,50,983,150,8,6,928,143,30,918,159,23,913,133,42,922,137,18,925,158,909,129,36,9,917,138,21,921,148,904,173,924,150,934,146,922,161,898,178,708,238
