political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"United States Representative,  District No. 31",John Carter,REP,37,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Greg Abbott,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Beto O'Rourke,DEM,12,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Mark Tippetts,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Delilah Barrios,GRN,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,JACQUELINE ABERNATHY,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,MARK V GOLOBY,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Rejected write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Governor,Unassigned write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Lieutenant Governor,Dan Patrick,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Lieutenant Governor,Mike Collier,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Lieutenant Governor,Shanna Steele,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Attorney General,Ken Paxton,REP,35,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Attorney General,Rochelle Mercedes Garza,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Attorney General,Mark Ash,LIB,3,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Comptroller of Public Accounts,Glenn Hegar,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Comptroller of Public Accounts,Janet T. Dudding,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,Dawn Buckingham,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,Jay Kleberg,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,CARRIE EVELYN MENGER,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,Rejected write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of Agriculture,Sid Miller,REP,37,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Commissioner of Agriculture,Susan Hays,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Railroad Commissioner,Wayne Christian,REP,35,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Railroad Commissioner,Luke Warford,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Railroad Commissioner,Jaime Andres Diez,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,35,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,35,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 9",Evan Young,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,37,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,36,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,11,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Member, State Board of Education, District No. 14",Evelyn Brooks,REP,37,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"Member, State Board of Education, District No. 14",Tracy Fisher,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"State Senator, District No. 24",Pete Flores,REP,37,3
Coryell County,11/8/2022,General Election,9,0,101 - BS2,129,"State Senator, District No. 24",Kathy Jones-Hospod,DEM,10,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,"United States Representative,  District No. 31",John Carter,REP,90,24
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Greg Abbott,REP,90,24
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Beto O'Rourke,DEM,5,2
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Mark Tippetts,LIB,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Delilah Barrios,GRN,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,JACQUELINE ABERNATHY,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,MARK V GOLOBY,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Rejected write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Governor,Unassigned write-ins,,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Lieutenant Governor,Dan Patrick,REP,87,23
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Lieutenant Governor,Mike Collier,DEM,6,2
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Lieutenant Governor,Shanna Steele,LIB,1,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Attorney General,Ken Paxton,REP,85,24
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Attorney General,Rochelle Mercedes Garza,DEM,6,1
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Attorney General,Mark Ash,LIB,4,1
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Comptroller of Public Accounts,Glenn Hegar,REP,88,23
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Comptroller of Public Accounts,Janet T. Dudding,DEM,5,2
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,2,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Commissioner of the General Land Office,Dawn Buckingham,REP,87,24
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Commissioner of the General Land Office,Jay Kleberg,DEM,6,2
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0
Coryell County,11/8/2022,General Election,9,0,101 - BS3,196,Commissioner of the General Land Office,CARRIE EVELYN MENGER,,0,0
