political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
,11/8/2022,General Election,116,29,1,1132,"United States Representative, District No. 23",Tony Gonzales,REP,189,69
,11/8/2022,General Election,116,29,1,1132,"United States Representative, District No. 23",John Lira,DEM,110,38
,11/8/2022,General Election,116,29,1,1132,"United States Representative, District No. 23",Frank Lopez Jr.,IND,27,8
,11/8/2022,General Election,116,29,1,1132,Governor,Greg Abbott,REP,182,69
,11/8/2022,General Election,116,29,1,1132,Governor,Beto O'Rourke,DEM,140,46
,11/8/2022,General Election,116,29,1,1132,Governor,Mark Tippetts,LIB,3,0
,11/8/2022,General Election,116,29,1,1132,Governor,Delilah Barrios,GRN,2,0
,11/8/2022,General Election,116,29,1,1132,Governor,Jacqueline Abernathy,,0,0
,11/8/2022,General Election,116,29,1,1132,Governor,Mark V. Goloby,,0,0
,11/8/2022,General Election,116,29,1,1132,Governor,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,1,1132,Governor,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,1,1132,Lieutenant Governor,Dan Patrick,REP,189,67
,11/8/2022,General Election,116,29,1,1132,Lieutenant Governor,Mike Collier,DEM,134,45
,11/8/2022,General Election,116,29,1,1132,Lieutenant Governor,Shanna Steele,LIB,4,3
,11/8/2022,General Election,116,29,1,1132,Attorney General,Ken Paxton,REP,192,67
,11/8/2022,General Election,116,29,1,1132,Attorney General,Rochelle Mercedes Garza,DEM,125,42
,11/8/2022,General Election,116,29,1,1132,Attorney General,Mark Ash,LIB,7,4
,11/8/2022,General Election,116,29,1,1132,Comptroller of Public Accounts,Glenn Hegar,REP,188,66
,11/8/2022,General Election,116,29,1,1132,Comptroller of Public Accounts,Janet T. Dudding,DEM,124,39
,11/8/2022,General Election,116,29,1,1132,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,8,8
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,Dawn Buckingham,REP,182,65
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,Jay Kleberg,DEM,131,45
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,5,1
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,Rejected write-ins,,0,0
,11/8/2022,General Election,116,29,1,1132,Commissioner of the General Land Office,Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,1,1132,Commissioner of Agriculture,Sid Miller,REP,190,69
,11/8/2022,General Election,116,29,1,1132,Commissioner of Agriculture,Susan Hays,DEM,133,45
,11/8/2022,General Election,116,29,1,1132,Railroad Commissioner,Wayne Christian,REP,188,62
,11/8/2022,General Election,116,29,1,1132,Railroad Commissioner,Luke Warford,DEM,120,39
,11/8/2022,General Election,116,29,1,1132,Railroad Commissioner,Jaime Andres Diez,LIB,10,8
,11/8/2022,General Election,116,29,1,1132,Railroad Commissioner,Hunter Wayne Crow,GRN,2,1
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,189,63
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,127,43
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,4,4
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,185,70
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,132,41
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 9",Evan Young,REP,185,67
,11/8/2022,General Election,116,29,1,1132,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,134,44
,11/8/2022,General Election,116,29,1,1132,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,189,67
,11/8/2022,General Election,116,29,1,1132,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,129,44
,11/8/2022,General Election,116,29,1,1132,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,185,66
,11/8/2022,General Election,116,29,1,1132,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,132,45
,11/8/2022,General Election,116,29,1,1132,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,186,67
,11/8/2022,General Election,116,29,1,1132,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,135,45
,11/8/2022,General Election,116,29,1,1132,"State Senator, District No. 19",Robert Garza,REP,176,66
,11/8/2022,General Election,116,29,1,1132,"State Senator, District No. 19",Roland Gutierrez,DEM,149,51
,11/8/2022,General Election,116,29,1,1132,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,186,67
,11/8/2022,General Election,116,29,1,1132,"Justice, 4th Court of Appeals District, Place No. 6",Irene Rios,DEM,131,42
,11/8/2022,General Election,116,29,1,1132,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,REP,180,68
,11/8/2022,General Election,116,29,1,1132,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term","Rebecca ""Beckie"" Palomo",DEM,133,44
,11/8/2022,General Election,116,29,1,1132,County Judge,Patrick McGrew,REP,123,50
,11/8/2022,General Election,116,29,1,1132,County Judge,Bill Mitchell,DEM,200,65
,11/8/2022,General Election,116,29,1,1132,County Clerk,Donna M. Williams,REP,163,65
,11/8/2022,General Election,116,29,1,1132,County Clerk,Valerie Del Toro Romero,DEM,160,51
,11/8/2022,General Election,116,29,1,1132,"Justice of the Peace,  Precinct No. 1",Steven T. Kennedy,REP,235,87
,11/8/2022,General Election,116,29,1,1132,"Justice of the Peace,  Precinct No. 1",Tina Ann Quintanilla Taylor,,30,5
,11/8/2022,General Election,116,29,1,1132,"Justice of the Peace,  Precinct No. 1",Rejected write-ins,,9,6
,11/8/2022,General Election,116,29,1,1132,"Justice of the Peace,  Precinct No. 1",Unassigned write-ins,,0,0
,11/8/2022,General Election,116,29,2,1467,"United States Representative, District No. 23",Tony Gonzales,REP,127,290
,11/8/2022,General Election,116,29,2,1467,"United States Representative, District No. 23",John Lira,DEM,53,106
,11/8/2022,General Election,116,29,2,1467,"United States Representative, District No. 23",Frank Lopez Jr.,IND,15,40
,11/8/2022,General Election,116,29,2,1467,Governor,Greg Abbott,REP,138,293
,11/8/2022,General Election,116,29,2,1467,Governor,Beto O'Rourke,DEM,56,142
,11/8/2022,General Election,116,29,2,1467,Governor,Mark Tippetts,LIB,0,5
,11/8/2022,General Election,116,29,2,1467,Governor,Delilah Barrios,GRN,2,1
,11/8/2022,General Election,116,29,2,1467,Governor,Jacqueline Abernathy,,0,0
,11/8/2022,General Election,116,29,2,1467,Governor,Mark V. Goloby,,0,0
,11/8/2022,General Election,116,29,2,1467,Governor,Rejected write-ins,,0,0
