,,101,201,202,301,401,402,Totals
"US Representative, Dist 19",REP Jodey C. Arrington,864,271,224,328,399,112,2198
,IND Nathan Lewis,78,31,18,70,53,7,257
Governor,REP Greg Abbott,848,265,219,331,397,107,2167
,DEM Beto O'Rourke,96,55,40,93,83,10,377
,LIB Mark Tippetts,11,1,3,6,3,2,26
,GRN Delilah Barrios,4,1,2,5,6,1,19
,WRITE-IN Jacqueline Abernathy,0,0,0,0,1,0,1
,WRITE-IN Mark V Goloby,0,0,0,0,0,0,0
Lieutenant Governor,REP Dan Patrick,810,250,201,305,358,105,2029
,DEM Mike Collier,114,57,42,87,80,9,389
,LIB Shanna Steele,16,6,11,10,20,3,66
Attorney General,REP Ken Paxton,801,247,203,299,360,104,2014
,DEM Rochelle Mercedes Garza,118,59,44,101,91,10,423
,LIB Mark Ash,20,5,8,8,10,2,53
Comptroller of Public Accounts,REP Glenn Hegar,811,238,199,297,359,107,2011
,DEM Janet T. Dudding,95,54,37,80,64,6,336
,LIB V. Alonzo Echevarria-Garza,23,10,10,18,27,3,91
Comm. General Land Office,REP Dawn Buckingham,814,251,200,293,368,107,2033
,DEM Jay Kleberg,102,51,36,85,70,9,353
,"GRN Alfred Molison, Jr.",9,2,6,12,11,1,41
,WRITE-IN Carrie Evelyn Menger,0,0,0,0,0,0,0
Commissioner of Agriculture,REP Sid Miller,815,250,208,295,366,110,2044
,DEM Susan Hays,122,54,41,96,88,7,408
Railroad Commissioner,REP Wayne Christian,805,246,201,291,362,107,2012
,DEM Luke Warford,89,48,35,81,62,8,323
,LIB Jaime Andres Diez,29,12,7,21,24,1,94
,GRN Hunter Wayne Crow,6,1,3,2,6,1,19
"Justice, Supreme Ct. Pl. 3",REP Debra Lehrmann,804,248,204,285,373,107,2021
,DEM Erin A. Nowell,102,49,38,94,73,8,364
,LIB Thomas Edward Oxford,16,5,4,11,6,2,44
"Justice, Supreme Ct. Pl. 5",REP Rebeca Huddle,809,250,206,297,372,108,2042
,DEM Amanda Reichek,113,51,40,86,84,8,382
"Justice, Supreme Ct. Pl. 9",REP Evan Young,807,239,200,290,365,107,2008
,DEM Julia Maldonado,118,64,50,101,88,8,429
"Judge, Ct of Crim. Appeals, Pl 5",REP Scott Walker,804,246,206,295,365,107,2023
,DEM Dana Huffman,113,56,38,90,84,8,389
"Judge, Ct of Crim. Appeals, Pl 6","REP Jesse F. McClure, III",808,249,200,296,370,109,2032
,DEM Robert Johnson,111,53,45,94,78,7,388
County Judge,REP Tony Serbantez,747,247,208,321,379,98,2000
,DEM Scott Jackson,203,79,57,114,112,13,578
County Commissioner. Pct. 2 Precinct No. 2,REP Ricardo Cavazos,0,264,247,0,0,0,511
,WRITE-IN Edgar Rivera,0,23,13,0,0,0,36
County Commissioner. Pct. 4,REP Ernesto Elizardo,0,0,0,0,384,107,491
,DEM Shorty Martinez,0,0,0,0,99,10,109
