COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,"United States Representative, District 19","United States Representative, District 19",Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Commissioner of General Land Office,Commissioner of General Land Office,Commissioner of General Land Office,Commissioner of General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 5","Justice, Supreme Court, Place 5","Justice, Supreme Court, Place 9","Justice, Supreme Court, Place 9","Judge, Court of Criminal Appeals, Place 5","Judge, Court of Criminal Appeals, Place 5","Judge, Court of Criminal Appeals, Place 6","Judge, Court of Criminal Appeals, Place 6",County Judge,County Judge
,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
,,,Rep Jodey C. Arrington,Ind Nathan Lewis,Rep Greg Abbott,Dem Beto O'Rourke,Lib Mark Tippetts,Grn Delilah Barrios,Write-in,Rep Dan Patrick,Dem Mike Collier,Lib Shanna Steele,Rep Ken Paxton,Dem Rochelle Mercedes Garza,Lib Mark Ash,Rep Glenn Hegar,Dem Janet T. Dudding,Lib V. Alonzo Echevarria-Garza,Rep Dawn Buckingham,Dem Jay Kleberg,"Grn Alfred Molison, Jr.",Write-in,Rep Sid Miller,Dem Susan Hays,Rep Wayne Christian,Dem Luke Warford,Lib Jaime Andres Diez,Grn Hunter Wayne Crow,Rep Debra Lehrmann,Dem Erin A. Nowell,Lib Thomas Edward Oxford,Rep Rebecca Huddle,Dem Amanda Reichek,Rep Evan Young,Dem Julia Maldonado,Rep Scott Walker,Dem Dana Huffman,"Rep Jesse F. McClure, III",Dem Robert Johnson,Rep Randy S. Johnson,Dem Steven Hobbs
114,1,Precinct 11,73,29,70,39,0,3,0,68,40,4,64,44,3,64,38,6,66,40,3,0,67,42,64,36,4,2,67,40,0,66,43,65,45,68,41,64,44,69,40
114,1,Precinct 11,79,44,79,58,1,5,0,77,58,2,76,58,5,77,56,5,77,56,4,0,81,58,74,59,4,1,73,58,5,79,59,78,62,79,60,76,61,83,56
114,1,Precinct 11,10,9,6,18,0,0,0,7,15,1,7,18,0,7,17,0,9,15,0,0,7,18,7,17,1,0,9,15,0,7,15,7,15,8,14,6,16,5,16
114,1,Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,Precinct 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,Precinct 12,33,32,31,39,2,1,0,30,40,2,27,39,3,27,34,7,27,38,6,0,29,41,26,36,6,3,28,43,1,29,42,31,41,26,45,28,43,35,39
114,2,Precinct 12,44,12,40,22,1,0,0,42,21,0,40,21,2,38,20,4,40,21,1,0,41,21,38,21,3,0,39,21,1,39,19,40,22,42,20,39,21,43,22
114,2,Precinct 12,3,2,2,3,0,0,0,2,3,0,2,3,0,2,3,0,2,3,0,0,1,4,2,3,0,0,2,3,0,1,3,2,3,1,3,1,3,2,3
114,2,Precinct 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,Precinct 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3,Precinct 12a,12,5,11,4,1,1,0,13,4,0,13,4,0,13,4,0,12,4,1,0,13,4,12,4,0,1,12,4,1,13,4,13,4,13,4,13,4,12,5
114,3,Precinct 12a,17,2,20,0,0,0,0,19,1,0,18,1,0,17,1,0,17,1,0,0,17,1,17,1,0,0,17,1,0,15,1,19,1,19,1,19,1,20,0
