#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
1,1,Reporting         ,3488,1634,46.85,"United States Representative, District No. 8",3,,Morgan Luttrell,3,REP,1317,0,19,0,37,0,8,0,918,0,6,0,362,0,5,0
1,1,Reporting         ,3488,1634,46.85,"United States Representative, District No. 8",3,,Laura Jones,1,DEM,275,0,19,0,21,0,8,0,181,0,6,0,73,0,5,0
1,1,Reporting         ,3488,1634,46.85,"United States Representative, District No. 8",3,,Roy Eriksen,2,LIB,23,0,19,0,1,0,8,0,12,0,6,0,10,0,5,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Greg Abbott,1,REP,1330,0,6,0,40,0,1,0,922,0,4,0,368,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Beto O'Rourke,2,DEM,274,0,6,0,25,0,1,0,178,0,4,0,71,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Mark Tippetts,4,LIB,20,0,6,0,1,0,1,0,11,0,4,0,8,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Delilah Barrios,3,GRN,4,0,6,0,0,0,1,0,2,0,4,0,2,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Jacqueline Abernathy,0,,0,0,6,0,0,0,1,0,0,0,4,0,0,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Mark V Goloby,0,,0,0,6,0,0,0,1,0,0,0,4,0,0,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Rejected write-ins,0,,0,0,6,0,0,0,1,0,0,0,4,0,0,0,1,0
1,1,Reporting         ,3488,1634,46.85,Governor,14,,Unassigned write-ins,0,,0,0,6,0,0,0,1,0,0,0,4,0,0,0,1,0
1,1,Reporting         ,3488,1634,46.85,Lieutenant Governor,12,,Dan Patrick,2,REP,1298,0,9,0,40,0,1,0,900,0,6,0,358,0,2,0
1,1,Reporting         ,3488,1634,46.85,Lieutenant Governor,12,,Mike Collier,1,DEM,289,0,9,0,23,0,1,0,192,0,6,0,74,0,2,0
1,1,Reporting         ,3488,1634,46.85,Lieutenant Governor,12,,Shanna Steele,3,LIB,38,0,9,0,3,0,1,0,19,0,6,0,16,0,2,0
1,1,Reporting         ,3488,1634,46.85,Attorney General,10,,Ken Paxton,2,REP,1305,0,10,0,40,0,0,0,905,0,7,0,360,0,3,0
1,1,Reporting         ,3488,1634,46.85,Attorney General,10,,Rochelle Mercedes Garza,1,DEM,278,0,10,0,26,0,0,0,177,0,7,0,75,0,3,0
1,1,Reporting         ,3488,1634,46.85,Attorney General,10,,Mark Ash,3,LIB,41,0,10,0,1,0,0,0,28,0,7,0,12,0,3,0
1,1,Reporting         ,3488,1634,46.85,Comptroller of Public Accounts,6,,Glenn Hegar,2,REP,1326,0,18,0,40,0,1,0,925,0,9,0,361,0,8,0
