"COUNTY NUMBER","PRECINCT CODE","PRECINCT NAME","REGISTERED VOTERS - TOTAL","BALLOTS CAST - TOTAL","BALLOTS CAST - BLANK","US Representative, Dist 23","US Representative, Dist 23","US Representative, Dist 23","Governor","Governor","Governor","Governor","Lieutenant Governor","Lieutenant Governor","Lieutenant Governor","Attorney General","Attorney General","Attorney General","Comptroller of Public Accounts","Comptroller of Public Accounts","Comptroller of Public Accounts","Commissioner of the General Land Office","Commissioner of the General Land Office","Commissioner of the General Land Office","Commissioner of Agriculture","Commissioner of Agriculture","Railroad Commissioner","Railroad Commissioner","Railroad Commissioner","Railroad Commissioner","Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 3","Justice, Supreme Court, Place 5","Justice, Supreme Court, Place 5","Justice, Supreme Court, Place 9","Justice, Supreme Court, Place 9","Judge, Court of Criminal Appeals, Place 5","Judge, Court of Criminal Appeals, Place 5","Judge, Court of Criminal Appeals, Place 6","Judge, Court of Criminal Appeals, Place 6","Member, State Board of Education, District 1","Member, State Board of Education, District 1","State Senator, District 29","State Senator, District 29","State Representative, District 74","State Representative, District 74","Justice, 8th Court of Appeals District, Place 2 - Unexpi","Justice, 8th Court of Appeals District, Place 2 - Unexpi","County Clerk","County Clerk",                                                                                                                                                             
                                                                                                  "","","","","","","REP","DEM","IND","REP","DEM","LIB","GRN","REP","DEM","LIB","REP","DEM","LIB","REP","DEM","LIB","REP","DEM","GRN","REP","DEM","REP","DEM","LIB","GRN","REP","DEM","LIB","REP","DEM","REP","DEM","REP","DEM","REP","DEM","REP","DEM","REP","DEM","REP","DEM","REP","DEM","REP","DEM",                                                                                                          
                                                                                                  "","","","VOTERS","BALLOTS CAST","BALLOTS CAST","Tony Gonzales","John Lira","Frank Lopez Jr","Greg Abbott","Beto O'Rourke","Mark Tippetts","Delilah Barrios","Dan Patrick","Mike Collier","Shanna Steele","Ken Paxton","Rochelle Mercedes Garza","Mark Ash","Glenn Hegar","Janet T. Dudding","V. Alonzo Echevarria-Garza","Dawn Buckingham","Jay Kleberg","Alfred Molison, Jr.","Sid Miller","Susan Hays","Wayne Christian","Luke Warford","Jaime Andres Diez","Hunter Wayne Crow","Debra Lehrmann","Erin A. Nowell","Thomas Edward Oxford","Rebeca Huddle","Amanda Reichek","Evan Young","Julia Maldonado","Scott Walker","Dana Huffman","Jesse F. McClure, III","Robert Johnson","Michael (Travis) Stevens","Melissa N. Ortega","Derek L. Zubeldia","César J. Blanco","Katherine Parker","Eddie Morales","Jeff Alley","Lisa Soto","Leslie McNeil Holder","Yvonne Natividad Abila",                                                                                                                                                   
                                                                                                  95,"0001","Box 2",1212,428,6,205,158,19,226,177,2,3,197,173,18,188,189,9,185,155,23,178,167,12,181,188,183,155,24,2,181,168,6,183,177,175,193,183,181,178,183,176,190,259,142,175,204,173,200,133,273,
95,"0002","Box 11",860,197,1,68,102,4,76,109,1,3,61,99,9,53,119,1,50,97,15,58,103,5,56,111,52,95,18,2,57,99,7,59,105,52,117,53,111,55,109,47,123,96,89,48,123,50,119,36,153,
95,"0003","Box 3",1129,385,1,233,105,15,251,114,2,4,222,115,9,210,131,3,210,106,14,217,114,7,207,130,211,112,17,2,213,114,5,215,122,211,134,214,126,215,123,202,147,270,104,212,146,205,139,141,233,
95,"0004","Box 4",100,17,0,11,3,0,14,2,0,0,12,3,0,12,1,0,9,2,1,9,3,0,10,4,10,3,1,0,10,3,0,10,3,12,3,11,3,11,3,11,4,12,4,12,3,11,4,12,4,
95,"0005","Box 5",450,159,0,99,35,18,111,42,1,1,103,44,4,103,44,4,98,38,9,98,45,4,102,49,96,44,9,1,105,42,4,105,46,105,44,103,47,106,45,101,50,114,42,106,50,100,51,96,60,
95,"0006","Box 6",130,31,0,22,5,1,23,6,0,0,22,5,0,20,8,0,22,4,0,19,6,0,20,6,21,6,0,0,19,7,0,21,6,20,7,20,6,20,6,20,8,24,4,18,10,20,6,17,12,
95,"0007","Box 7",1485,500,2,282,156,18,294,179,6,6,262,182,11,257,185,8,256,159,25,259,171,11,260,190,255,163,22,4,265,166,8,259,180,247,203,263,179,261,177,248,199,345,136,256,204,249,201,187,303,
95,"0008","Box 8",685,154,1,91,38,10,96,50,2,0,89,49,2,88,50,2,86,39,11,86,46,3,83,49,83,41,10,1,84,46,2,88,49,81,57,85,49,83,49,81,54,114,35,78,62,78,60,58,89,
95,"0009","Box 10",1431,390,2,230,112,10,250,122,2,2,216,121,12,219,127,3,212,113,11,204,126,7,200,138,205,122,11,0,217,124,1,221,122,207,138,208,126,208,125,204,140,260,112,206,145,201,140,126,247,
95,"ZZZ","COUNTY TOTALS",7482,2261,13,1241,714,95,1341,801,16,19,1184,791,65,1150,854,30,1128,713,109,1128,781,49,1119,865,1116,741,112,12,1151,769,33,1161,810,1110,896,1140,828,1137,820,1090,915,1494,668,1111,947,1087,920,806,1374,
                                                                                                                                                                                     
