COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13","US Representative, Dist 13",Governor,Governor,Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","State Representative, District 87","State Representative, District 87","State Representative, District 87","State Representative, District 87",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Ronny Jackson,DEM Kathleen Brown,OVER VOTES,UNDER VOTES,REP Greg Abbott,DEM Beto O'Rourke,LIB Mark Tippetts,GRN Delilah Barrios,Write-in,OVER VOTES,UNDER VOTES,REP Dan Patrick,DEM Mike Collier,LIB Shanna Steele,OVER VOTES,UNDER VOTES,REP Ken Paxton,DEM Rochelle Mercedes Garza,LIB Mark Ash,OVER VOTES,UNDER VOTES,REP Glenn Hegar,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,OVER VOTES,UNDER VOTES,REP Dawn Buckingham,DEM Jay Kleberg,"GRN Alfred Molison, Jr.",Write-in,OVER VOTES,UNDER VOTES,REP Sid Miller,DEM Susan Hays,OVER VOTES,UNDER VOTES,REP Wayne Christian,DEM Luke Warford,LIB Jaime Andres Diez,GRN Hunter Wayne Crow,OVER VOTES,UNDER VOTES,REP Debra Lehrmann,DEM Erin A. Nowell,LIB Thomas Edward Oxford,OVER VOTES,UNDER VOTES,REP Rebeca Huddle,DEM Amanda Reichek,OVER VOTES,UNDER VOTES,REP Evan Young,DEM Julia Maldonado,OVER VOTES,UNDER VOTES,REP Scott Walker,DEM Dana Huffman,OVER VOTES,UNDER VOTES,"REP Jesse F. McClure, III",DEM Robert Johnson,OVER VOTES,UNDER VOTES,REP Four Price,LIB Nick Hearn,OVER VOTES,UNDER VOTES,
HUTCH,0001,Precinct 11,1791,27,0,25,2,0,0,25,1,0,0,1,0,0,25,2,0,0,0,23,2,2,0,0,25,2,0,0,0,24,3,0,0,0,0,24,3,0,0,25,2,0,0,0,0,25,2,0,0,0,25,2,0,0,25,2,0,0,25,2,0,0,25,2,0,0,25,1,0,1,
HUTCH,0001,Precinct 11,1791,441,0,402,32,0,7,404,32,3,1,0,0,1,394,29,14,0,4,393,32,10,0,6,398,29,7,0,7,402,27,4,0,0,8,404,30,0,7,398,26,6,2,0,9,400,29,6,0,6,406,28,0,7,404,30,0,7,406,29,0,6,403,30,0,8,408,24,0,9,
HUTCH,0001,Precinct 11,1791,402,0,350,49,0,3,349,48,4,0,1,0,0,341,49,10,0,2,341,48,10,0,3,347,41,9,0,5,344,48,3,0,0,7,351,46,0,5,342,43,8,2,0,7,339,45,12,0,6,346,48,0,8,344,50,0,8,349,47,0,6,349,44,0,9,350,43,0,9,
HUTCH,0002,Precinct 14,1805,35,0,27,8,0,0,27,8,0,0,0,0,0,27,8,0,0,0,27,8,0,0,0,27,8,0,0,0,26,9,0,0,0,0,27,8,0,0,27,8,0,0,0,0,25,9,0,0,1,26,9,0,0,27,8,0,0,27,8,0,0,26,9,0,0,30,5,0,0,
HUTCH,0002,Precinct 14,1805,573,0,513,56,0,4,508,57,4,2,0,0,2,501,60,9,0,3,502,60,8,0,3,502,59,5,0,7,502,59,5,0,0,7,512,57,0,4,503,53,9,3,0,5,501,57,9,0,6,512,57,0,4,508,59,0,6,507,61,0,5,504,64,0,5,519,39,0,13,
HUTCH,0002,Precinct 14,1805,400,0,362,34,0,4,358,32,8,0,0,0,2,350,33,13,0,4,350,29,15,0,6,362,25,8,0,5,363,26,4,0,0,7,366,27,0,7,354,25,11,5,0,5,351,31,13,0,5,363,32,0,5,362,31,0,7,361,31,0,8,358,34,0,8,360,32,0,8,
HUTCH,0003,Precinct 21,3322,43,0,34,9,0,0,35,8,0,0,0,0,0,35,8,0,0,0,33,8,2,0,0,35,8,0,0,0,35,8,0,0,0,0,35,8,0,0,35,7,0,1,0,0,34,9,0,0,0,35,8,0,0,35,8,0,0,34,9,0,0,34,9,0,0,40,3,0,0,
HUTCH,0003,Precinct 21,3322,1100,1,1017,70,0,13,1025,58,10,1,0,0,6,1012,65,13,0,10,1007,65,17,0,11,1015,61,9,0,15,1017,64,2,0,0,17,1013,69,0,18,999,62,14,5,0,20,1004,65,16,0,15,1015,64,0,21,1012,64,0,24,1011,66,0,23,1015,60,0,25,1032,53,0,15,
