,,,,,#FormatVersion 1,,,,,,,,
political_subdivison,election_date,election_name,total provisional ballots ,total provisional ballots counted ,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"United States Representative, District No. 1",Nathaniel Moran,REP,2,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"United States Representative, District No. 1",Jrmar (JJ) Jefferson,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Greg Abbott,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Beto O'Rourke,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Mark Tippetts,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Delilah Barrios,GRN,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Jacqueline Abernathy,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Mark V Goloby,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Rejected write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Governor,Unassigned write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Lieutenant Governor,Dan Patrick,REP,2,1,0,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Lieutenant Governor,Mike Collier,DEM,26,4,5,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Lieutenant Governor,Shanna Steele,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Attorney General,Ken Paxton,REP,2,1,0,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Attorney General,Rochelle Mercedes Garza,DEM,25,3,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Attorney General,Mark Ash,LIB,1,1,1,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Comptroller of Public Accounts,Glenn Hegar,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Comptroller of Public Accounts,Janet T. Dudding,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,Dawn Buckingham,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,Jay Kleberg,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,Rejected write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of the General Land Office,Unassigned write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of Agriculture,Sid Miller,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Commissioner of Agriculture,Susan Hays,DEM,24,4,4,20
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Railroad Commissioner,Wayne Christian,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Railroad Commissioner,Luke Warford,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Railroad Commissioner,Jaime Andres Diez,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,3,2,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,25,3,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 9",Evan Young,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,23,3,4,19
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,25,4,4,21
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,24,4,4,20
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Pam Little,REP,3,1,1,2
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Alex Cornwallis,DEM,24,4,4,20
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Christy Mowrey,LIB,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Rosiland Davis,,1,0,0,1
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Rejected write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-1,110,"Member, State Board of Education, District No. 12",Unassigned write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,"United States Representative, District No. 4",Pat Fallon,REP,196,65,12,184
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,"United States Representative, District No. 4",Iro Omere,DEM,11,9,1,10
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,"United States Representative, District No. 4",John Simmons,LIB,2,1,0,2
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Greg Abbott,REP,198,65,12,186
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Beto O'Rourke,DEM,10,9,1,9
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Mark Tippetts,LIB,2,1,0,2
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Delilah Barrios,GRN,1,0,0,1
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Jacqueline Abernathy,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Mark V Goloby,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Rejected write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Governor,Unassigned write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Lieutenant Governor,Dan Patrick,REP,196,63,12,184
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Lieutenant Governor,Mike Collier,DEM,12,8,1,11
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Lieutenant Governor,Shanna Steele,LIB,3,4,0,3
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Attorney General,Ken Paxton,REP,195,63,12,183
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Attorney General,Rochelle Mercedes Garza,DEM,12,8,1,11
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Attorney General,Mark Ash,LIB,2,3,0,2
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Comptroller of Public Accounts,Glenn Hegar,REP,200,64,12,188
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Comptroller of Public Accounts,Janet T. Dudding,DEM,10,9,1,9
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,1,1,0,1
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,Dawn Buckingham,REP,200,67,12,188
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,Jay Kleberg,DEM,10,6,1,9
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,1,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,Rejected write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of the General Land Office,Unassigned write-ins,,0,0,0,0
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of Agriculture,Sid Miller,REP,197,65,12,185
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Commissioner of Agriculture,Susan Hays,DEM,13,9,1,12
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Railroad Commissioner,Wayne Christian,REP,198,64,12,186
RED RIVER,11/8/2022,GENERAL,4,0,2-4,474,Railroad Commissioner,Luke Warford,DEM,11,8,1,10
