Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
101 - SLE,122,"Justice, Supreme Court, Place 3",Erin A. Nowell,16,6,9
101 - SLE,122,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,4,2,2
101 - SLE,122,"Justice, Supreme Court, Place 5",Rebeca Huddle,102,40,57
101 - SLE,122,"Justice, Supreme Court, Place 5",Amanda Reichek,17,7,9
101 - SLE,122,"Justice, Supreme Court, Place 9",Evan Young,102,40,56
101 - SLE,122,"Justice, Supreme Court, Place 9",Julia Maldonado,17,7,10
101 - SLE,122,"Judge, Court of Criminal Appeals Place 5",Scott Walker,101,40,56
101 - SLE,122,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,18,7,10
101 - SLE,122,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",103,40,58
101 - SLE,122,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,16,7,8
101 - SLE,122,"Member, State Board of Education, Disrict 12",Pam Little,98,36,56
101 - SLE,122,"Member, State Board of Education, Disrict 12",Alex Cornwallis,16,8,8
101 - SLE,122,"Member, State Board of Education, Disrict 12",Christy Mowrey,4,2,2
101 - SLE,122,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
101 - SLE,122,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
101 - SLE,122,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
101 - SLE,122,"State Senator, District 8",Angela Paxton,99,38,56
101 - SLE,122,"State Senator, District 8",Jonathan Cocks,21,9,11
101 - SLE,122,"State Senator, District 8",Edward Kless,1,0,1
101 - SLE,122,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,103,40,57
101 - SLE,122,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,16,7,9
101 - SLE,122,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,103,40,57
101 - SLE,122,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,16,7,9
101 - SLE,122,"Hunt County, Proposition A",FOR,110,44,60
101 - SLE,122,"Hunt County, Proposition A",AGAINST,8,2,6
101 - SLE,122,"Leonard Independent School District, Proposition A",FOR,65,22,39
101 - SLE,122,"Leonard Independent School District, Proposition A",AGAINST,55,24,29
102,310,"United States Representative, District 3",Keith Self,264,108,144
102,310,"United States Representative, District 3",Sandeep Srivastava,38,16,17
102,310,"United States Representative, District 3",Christopher Claytor,7,4,3
102,310,Governor,Greg Abbott,258,105,141
102,310,Governor,Beto O'Rourke,45,21,20
102,310,Governor,Mark Tippetts,4,1,3
102,310,Governor,Delilah Barrios,1,1,0
102,310,Governor,Jacqueline Abernathy,0,0,0
102,310,Governor,Mark V. Goloby,0,0,0
102,310,Governor,Rejected write-ins,0,0,0
102,310,Governor,Unassigned write-ins,0,0,0
102,310,Lieutenant Governor,Dan Patrick,250,100,138
102,310,Lieutenant Governor,Mike Collier,49,23,22
102,310,Lieutenant Governor,Shanna Steele,6,3,3
102,310,Attorney General,Ken Paxton,244,99,135
102,310,Attorney General,Rochelle Mercedes Garza,44,21,18
102,310,Attorney General,Mark Ash,15,6,9
102,310,Comptroller of Public Accounts,Glenn Hegar,257,106,140
102,310,Comptroller of Public Accounts,Janet T. Dudding,41,19,19
102,310,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,4,1,3
102,310,Commissioner of the General Land Office,Dawn Buckingham,257,104,143
102,310,Commissioner of the General Land Office,Jay Kleberg,42,20,19
102,310,Commissioner of the General Land Office,"Alfred Molison, Jr.",3,1,2
102,310,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
102,310,Commissioner of the General Land Office,Rejected write-ins,0,0,0
102,310,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
102,310,Commissioner of Agriculture,Sid Miller,258,104,143
102,310,Commissioner of Agriculture,Susan Hays,44,21,19
102,310,Railroad Commissioner,Wayne Christian,255,103,141
102,310,Railroad Commissioner,Luke Warford,39,19,17
102,310,Railroad Commissioner,Jaime Andres Diez,3,1,2
102,310,Railroad Commissioner,Hunter Wayne Crow,4,2,2
102,310,"Justice, Supreme Court, Place 3",Debra Lehrmann,254,103,140
102,310,"Justice, Supreme Court, Place 3",Erin A. Nowell,39,18,18
102,310,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,9,4,5
102,310,"Justice, Supreme Court, Place 5",Rebeca Huddle,259,106,143
102,310,"Justice, Supreme Court, Place 5",Amanda Reichek,41,19,19
102,310,"Justice, Supreme Court, Place 9",Evan Young,256,104,142
102,310,"Justice, Supreme Court, Place 9",Julia Maldonado,45,21,20
102,310,"Judge, Court of Criminal Appeals Place 5",Scott Walker,259,105,143
102,310,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,42,20,19
102,310,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",259,105,143
102,310,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,42,20,19
102,310,"Member, State Board of Education, Disrict 12",Pam Little,252,105,138
102,310,"Member, State Board of Education, Disrict 12",Alex Cornwallis,39,17,18
102,310,"Member, State Board of Education, Disrict 12",Christy Mowrey,6,2,4
102,310,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
102,310,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
102,310,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
102,310,"State Senator, District 8",Angela Paxton,249,102,138
102,310,"State Senator, District 8",Jonathan Cocks,43,19,20
102,310,"State Senator, District 8",Edward Kless,7,3,4
102,310,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,254,105,139
102,310,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,41,19,19
102,310,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,257,105,143
102,310,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,40,19,17
102,310,"Hunt County, Proposition A",FOR,279,118,147
102,310,"Hunt County, Proposition A",AGAINST,21,9,12
103,417,"United States Representative, District 3",Keith Self,356,137,203
103,417,"United States Representative, District 3",Sandeep Srivastava,49,25,21
103,417,"United States Representative, District 3",Christopher Claytor,9,3,6
103,417,Governor,Greg Abbott,356,139,201
103,417,Governor,Beto O'Rourke,58,26,29
103,417,Governor,Mark Tippetts,2,0,2
103,417,Governor,Delilah Barrios,1,1,0
103,417,Governor,Jacqueline Abernathy,0,0,0
103,417,Governor,Mark V. Goloby,0,0,0
103,417,Governor,Rejected write-ins,0,0,0
103,417,Governor,Unassigned write-ins,0,0,0
103,417,Lieutenant Governor,Dan Patrick,350,136,198
103,417,Lieutenant Governor,Mike Collier,58,27,28
103,417,Lieutenant Governor,Shanna Steele,7,2,5
103,417,Attorney General,Ken Paxton,346,135,197
103,417,Attorney General,Rochelle Mercedes Garza,56,25,27
103,417,Attorney General,Mark Ash,13,5,8
103,417,Comptroller of Public Accounts,Glenn Hegar,357,137,203
103,417,Comptroller of Public Accounts,Janet T. Dudding,48,24,22
103,417,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,7,2,5
103,417,Commissioner of the General Land Office,Dawn Buckingham,353,137,199
103,417,Commissioner of the General Land Office,Jay Kleberg,53,24,27
103,417,Commissioner of the General Land Office,"Alfred Molison, Jr.",3,2,1
103,417,Commissioner of the General Land Office,Carrie Evelyn Menger,1,0,1
103,417,Commissioner of the General Land Office,Rejected write-ins,0,0,0
103,417,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
103,417,Commissioner of Agriculture,Sid Miller,357,138,202
103,417,Commissioner of Agriculture,Susan Hays,54,24,28
103,417,Railroad Commissioner,Wayne Christian,353,136,200
103,417,Railroad Commissioner,Luke Warford,50,25,23
103,417,Railroad Commissioner,Jaime Andres Diez,6,2,4
103,417,Railroad Commissioner,Hunter Wayne Crow,1,1,0
103,417,"Justice, Supreme Court, Place 3",Debra Lehrmann,351,138,197
103,417,"Justice, Supreme Court, Place 3",Erin A. Nowell,53,24,26
103,417,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,6,3,3
103,417,"Justice, Supreme Court, Place 5",Rebeca Huddle,352,137,199
103,417,"Justice, Supreme Court, Place 5",Amanda Reichek,55,25,27
103,417,"Justice, Supreme Court, Place 9",Evan Young,354,139,199
103,417,"Justice, Supreme Court, Place 9",Julia Maldonado,54,24,27
103,417,"Judge, Court of Criminal Appeals Place 5",Scott Walker,358,138,203
103,417,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,50,24,24
103,417,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",357,138,203
103,417,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,51,24,24
103,417,"Member, State Board of Education, Disrict 12",Pam Little,351,136,199
103,417,"Member, State Board of Education, Disrict 12",Alex Cornwallis,51,24,24
103,417,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,4,5
103,417,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
103,417,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
103,417,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
103,417,"State Senator, District 8",Angela Paxton,344,132,196
103,417,"State Senator, District 8",Jonathan Cocks,55,25,27
103,417,"State Senator, District 8",Edward Kless,10,6,4
103,417,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,359,138,204
103,417,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,49,24,23
103,417,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,356,138,202
103,417,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,52,25,24
103,417,"Hunt County, Proposition A",FOR,368,147,205
103,417,"Hunt County, Proposition A",AGAINST,35,12,21
104,275,"United States Representative, District 3",Keith Self,248,142,98
104,275,"United States Representative, District 3",Sandeep Srivastava,21,9,10
104,275,"United States Representative, District 3",Christopher Claytor,0,0,0
104,275,Governor,Greg Abbott,252,146,98
104,275,Governor,Beto O'Rourke,21,8,10
104,275,Governor,Mark Tippetts,2,1,1
104,275,Governor,Delilah Barrios,0,0,0
104,275,Governor,Jacqueline Abernathy,0,0,0
104,275,Governor,Mark V. Goloby,0,0,0
104,275,Governor,Rejected write-ins,0,0,0
104,275,Governor,Unassigned write-ins,0,0,0
104,275,Lieutenant Governor,Dan Patrick,247,143,96
104,275,Lieutenant Governor,Mike Collier,21,9,10
104,275,Lieutenant Governor,Shanna Steele,4,2,2
104,275,Attorney General,Ken Paxton,247,143,96
104,275,Attorney General,Rochelle Mercedes Garza,24,10,11
104,275,Attorney General,Mark Ash,3,1,2
104,275,Comptroller of Public Accounts,Glenn Hegar,249,145,96
104,275,Comptroller of Public Accounts,Janet T. Dudding,22,9,10
104,275,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,1,0,1
104,275,Commissioner of the General Land Office,Dawn Buckingham,249,145,96
104,275,Commissioner of the General Land Office,Jay Kleberg,20,8,10
104,275,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,1,1
104,275,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
104,275,Commissioner of the General Land Office,Rejected write-ins,0,0,0
104,275,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
104,275,Commissioner of Agriculture,Sid Miller,247,145,94
104,275,Commissioner of Agriculture,Susan Hays,25,9,13
104,275,Railroad Commissioner,Wayne Christian,246,145,93
104,275,Railroad Commissioner,Luke Warford,20,9,9
104,275,Railroad Commissioner,Jaime Andres Diez,3,0,3
104,275,Railroad Commissioner,Hunter Wayne Crow,1,0,1
104,275,"Justice, Supreme Court, Place 3",Debra Lehrmann,251,145,98
104,275,"Justice, Supreme Court, Place 3",Erin A. Nowell,19,8,9
104,275,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,3,1,2
104,275,"Justice, Supreme Court, Place 5",Rebeca Huddle,250,145,97
104,275,"Justice, Supreme Court, Place 5",Amanda Reichek,22,8,11
104,275,"Justice, Supreme Court, Place 9",Evan Young,250,145,97
104,275,"Justice, Supreme Court, Place 9",Julia Maldonado,23,9,11
104,275,"Judge, Court of Criminal Appeals Place 5",Scott Walker,249,145,96
104,275,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,24,9,12
104,275,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",250,144,98
104,275,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,21,9,10
104,275,"Member, State Board of Education, Disrict 12",Pam Little,244,141,95
104,275,"Member, State Board of Education, Disrict 12",Alex Cornwallis,19,8,9
104,275,"Member, State Board of Education, Disrict 12",Christy Mowrey,5,3,2
104,275,"Member, State Board of Education, Disrict 12",Rosiland Davis,1,0,1
104,275,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
104,275,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
104,275,"State Senator, District 8",Angela Paxton,247,142,98
104,275,"State Senator, District 8",Jonathan Cocks,20,8,10
104,275,"State Senator, District 8",Edward Kless,2,1,1
104,275,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,247,145,95
104,275,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,20,7,10
104,275,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,245,142,96
104,275,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,22,9,10
104,275,"Hunt County, Proposition A",FOR,240,136,95
104,275,"Hunt County, Proposition A",AGAINST,16,9,6
104 - SGR,313,"United States Representative, District 3",Keith Self,255,127,114
104 - SGR,313,"United States Representative, District 3",Sandeep Srivastava,47,32,14
104 - SGR,313,"United States Representative, District 3",Christopher Claytor,5,4,0
104 - SGR,313,Governor,Greg Abbott,256,131,111
104 - SGR,313,Governor,Beto O'Rourke,53,32,19
104 - SGR,313,Governor,Mark Tippetts,4,2,2
104 - SGR,313,Governor,Delilah Barrios,0,0,0
104 - SGR,313,Governor,Jacqueline Abernathy,0,0,0
104 - SGR,313,Governor,Mark V. Goloby,0,0,0
104 - SGR,313,Governor,Rejected write-ins,0,0,0
104 - SGR,313,Governor,Unassigned write-ins,0,0,0
104 - SGR,313,Lieutenant Governor,Dan Patrick,250,125,112
104 - SGR,313,Lieutenant Governor,Mike Collier,52,34,16
104 - SGR,313,Lieutenant Governor,Shanna Steele,8,4,4
104 - SGR,313,Attorney General,Ken Paxton,243,126,106
104 - SGR,313,Attorney General,Rochelle Mercedes Garza,59,35,20
104 - SGR,313,Attorney General,Mark Ash,6,3,3
104 - SGR,313,Comptroller of Public Accounts,Glenn Hegar,256,128,114
104 - SGR,313,Comptroller of Public Accounts,Janet T. Dudding,48,32,14
104 - SGR,313,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,4,3,1
104 - SGR,313,Commissioner of the General Land Office,Dawn Buckingham,254,127,113
104 - SGR,313,Commissioner of the General Land Office,Jay Kleberg,50,31,17
104 - SGR,313,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,4,0
104 - SGR,313,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
104 - SGR,313,Commissioner of the General Land Office,Rejected write-ins,0,0,0
104 - SGR,313,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
104 - SGR,313,Commissioner of Agriculture,Sid Miller,257,130,113
104 - SGR,313,Commissioner of Agriculture,Susan Hays,51,33,16
104 - SGR,313,Railroad Commissioner,Wayne Christian,253,126,113
104 - SGR,313,Railroad Commissioner,Luke Warford,44,30,12
104 - SGR,313,Railroad Commissioner,Jaime Andres Diez,6,5,1
104 - SGR,313,Railroad Commissioner,Hunter Wayne Crow,4,2,2
104 - SGR,313,"Justice, Supreme Court, Place 3",Debra Lehrmann,257,128,115
104 - SGR,313,"Justice, Supreme Court, Place 3",Erin A. Nowell,48,31,15
104 - SGR,313,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,3,3,0
104 - SGR,313,"Justice, Supreme Court, Place 5",Rebeca Huddle,258,130,114
104 - SGR,313,"Justice, Supreme Court, Place 5",Amanda Reichek,49,32,15
104 - SGR,313,"Justice, Supreme Court, Place 9",Evan Young,257,130,113
104 - SGR,313,"Justice, Supreme Court, Place 9",Julia Maldonado,50,33,15
104 - SGR,313,"Judge, Court of Criminal Appeals Place 5",Scott Walker,258,131,113
104 - SGR,313,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,49,32,15
104 - SGR,313,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",257,129,114
104 - SGR,313,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,51,34,15
104 - SGR,313,"Member, State Board of Education, Disrict 12",Pam Little,246,125,108
104 - SGR,313,"Member, State Board of Education, Disrict 12",Alex Cornwallis,45,29,14
104 - SGR,313,"Member, State Board of Education, Disrict 12",Christy Mowrey,7,5,2
104 - SGR,313,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
104 - SGR,313,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,1,0
104 - SGR,313,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
104 - SGR,313,"State Senator, District 8",Angela Paxton,243,125,107
104 - SGR,313,"State Senator, District 8",Jonathan Cocks,50,32,14
104 - SGR,313,"State Senator, District 8",Edward Kless,4,3,1
104 - SGR,313,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,252,130,109
104 - SGR,313,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,46,30,14
104 - SGR,313,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,248,125,110
104 - SGR,313,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,51,34,15
104 - SGR,313,"Hunt County, Proposition A",FOR,272,147,109
104 - SGR,313,"Hunt County, Proposition A",AGAINST,29,15,14
104 - SGR,313,"GREENVILLE ISD, PROPOSITION A",FOR,126,70,51
104 - SGR,313,"GREENVILLE ISD, PROPOSITION A",AGAINST,177,90,76
105,1,"United States Representative, District 3",Keith Self,1,0,1
105,1,"United States Representative, District 3",Sandeep Srivastava,0,0,0
105,1,"United States Representative, District 3",Christopher Claytor,0,0,0
105,1,Governor,Greg Abbott,1,0,1
105,1,Governor,Beto O'Rourke,0,0,0
105,1,Governor,Mark Tippetts,0,0,0
105,1,Governor,Delilah Barrios,0,0,0
105,1,Governor,Jacqueline Abernathy,0,0,0
105,1,Governor,Mark V. Goloby,0,0,0
105,1,Governor,Rejected write-ins,0,0,0
105,1,Governor,Unassigned write-ins,0,0,0
105,1,Lieutenant Governor,Dan Patrick,1,0,1
105,1,Lieutenant Governor,Mike Collier,0,0,0
105,1,Lieutenant Governor,Shanna Steele,0,0,0
105,1,Attorney General,Ken Paxton,1,0,1
105,1,Attorney General,Rochelle Mercedes Garza,0,0,0
105,1,Attorney General,Mark Ash,0,0,0
105,1,Comptroller of Public Accounts,Glenn Hegar,1,0,1
105,1,Comptroller of Public Accounts,Janet T. Dudding,0,0,0
105,1,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
105,1,Commissioner of the General Land Office,Dawn Buckingham,1,0,1
105,1,Commissioner of the General Land Office,Jay Kleberg,0,0,0
105,1,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
105,1,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
105,1,Commissioner of the General Land Office,Rejected write-ins,0,0,0
105,1,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
105,1,Commissioner of Agriculture,Sid Miller,1,0,1
105,1,Commissioner of Agriculture,Susan Hays,0,0,0
105,1,Railroad Commissioner,Wayne Christian,1,0,1
105,1,Railroad Commissioner,Luke Warford,0,0,0
105,1,Railroad Commissioner,Jaime Andres Diez,0,0,0
105,1,Railroad Commissioner,Hunter Wayne Crow,0,0,0
105,1,"Justice, Supreme Court, Place 3",Debra Lehrmann,1,0,1
105,1,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,0
105,1,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
105,1,"Justice, Supreme Court, Place 5",Rebeca Huddle,1,0,1
105,1,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0
105,1,"Justice, Supreme Court, Place 9",Evan Young,1,0,1
105,1,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0
105,1,"Judge, Court of Criminal Appeals Place 5",Scott Walker,1,0,1
105,1,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,0,0,0
105,1,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",1,0,1
105,1,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,0,0,0
105,1,"Member, State Board of Education, Disrict 12",Pam Little,1,0,1
105,1,"Member, State Board of Education, Disrict 12",Alex Cornwallis,0,0,0
105,1,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
105,1,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
105,1,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
105,1,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
105,1,"State Senator, District 8",Angela Paxton,1,0,1
105,1,"State Senator, District 8",Jonathan Cocks,0,0,0
105,1,"State Senator, District 8",Edward Kless,0,0,0
105,1,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,1,0,1
105,1,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,0,0,0
105,1,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,1,0,1
105,1,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,0,0,0
105,1,"Hunt County, Proposition A",FOR,1,0,1
105,1,"Hunt County, Proposition A",AGAINST,0,0,0
105 - SGR,300,"United States Representative, District 3",Keith Self,218,126,86
