Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
Total Number of Registered Voters,,64334,,,,
Total Provisional Ballots,,205,,,,
Total Provisional Ballots Counted,,19,,,,
#Precinct,Ballots Cast,Contest Title,Choice Name,Total Votes,Early Voting Votes,Election Day Voting Votes
101,618,"United States Representative, District 3",Keith Self,539,179,354
101,618,"United States Representative, District 3",Sandeep Srivastava,67,26,37
101,618,"United States Representative, District 3",Christopher Claytor,6,1,5
101,618,Governor,Greg Abbott,539,181,350
101,618,Governor,Beto O'Rourke,76,26,47
101,618,Governor,Mark Tippetts,2,1,1
101,618,Governor,Delilah Barrios,1,0,1
101,618,Governor,Jacqueline Abernathy,0,0,0
101,618,Governor,Mark V. Goloby,0,0,0
101,618,Governor,Rejected write-ins,0,0,0
101,618,Governor,Unassigned write-ins,0,0,0
101,618,Lieutenant Governor,Dan Patrick,533,178,349
101,618,Lieutenant Governor,Mike Collier,75,28,43
101,618,Lieutenant Governor,Shanna Steele,7,1,5
101,618,Attorney General,Ken Paxton,522,175,341
101,618,Attorney General,Rochelle Mercedes Garza,76,29,43
101,618,Attorney General,Mark Ash,11,2,8
101,618,Comptroller of Public Accounts,Glenn Hegar,533,176,350
101,618,Comptroller of Public Accounts,Janet T. Dudding,71,28,39
101,618,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,4,2,2
101,618,Commissioner of the General Land Office,Dawn Buckingham,541,178,356
101,618,Commissioner of the General Land Office,Jay Kleberg,67,25,38
101,618,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,3,1
101,618,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
101,618,Commissioner of the General Land Office,Rejected write-ins,0,0,0
101,618,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
101,618,Commissioner of Agriculture,Sid Miller,538,180,352
101,618,Commissioner of Agriculture,Susan Hays,77,28,44
101,618,Railroad Commissioner,Wayne Christian,529,175,347
101,618,Railroad Commissioner,Luke Warford,69,25,40
101,618,Railroad Commissioner,Jaime Andres Diez,8,4,4
101,618,Railroad Commissioner,Hunter Wayne Crow,4,1,3
101,618,"Justice, Supreme Court, Place 3",Debra Lehrmann,531,178,346
101,618,"Justice, Supreme Court, Place 3",Erin A. Nowell,75,27,44
101,618,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,6,1,5
101,618,"Justice, Supreme Court, Place 5",Rebeca Huddle,535,180,348
101,618,"Justice, Supreme Court, Place 5",Amanda Reichek,74,26,44
101,618,"Justice, Supreme Court, Place 9",Evan Young,533,179,347
101,618,"Justice, Supreme Court, Place 9",Julia Maldonado,78,26,48
101,618,"Judge, Court of Criminal Appeals Place 5",Scott Walker,534,177,350
101,618,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,76,27,45
101,618,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",536,178,351
101,618,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,74,26,44
101,618,"Member, State Board of Education, Disrict 12",Pam Little,525,174,344
101,618,"Member, State Board of Education, Disrict 12",Alex Cornwallis,74,25,45
101,618,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,3,6
101,618,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
101,618,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
101,618,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
101,618,"State Senator, District 8",Angela Paxton,527,174,346
101,618,"State Senator, District 8",Jonathan Cocks,70,26,40
101,618,"State Senator, District 8",Edward Kless,10,3,7
101,618,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,535,179,349
101,618,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,73,24,45
101,618,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,531,177,347
101,618,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,74,26,44
101,618,"Hunt County, Proposition A",FOR,559,182,367
101,618,"Hunt County, Proposition A",AGAINST,37,14,23
101 - SLE,122,"United States Representative, District 3",Keith Self,102,38,58
101 - SLE,122,"United States Representative, District 3",Sandeep Srivastava,16,6,10
101 - SLE,122,"United States Representative, District 3",Christopher Claytor,0,0,0
101 - SLE,122,Governor,Greg Abbott,101,38,58
101 - SLE,122,Governor,Beto O'Rourke,20,9,11
101 - SLE,122,Governor,Mark Tippetts,0,0,0
101 - SLE,122,Governor,Delilah Barrios,0,0,0
101 - SLE,122,Governor,Jacqueline Abernathy,0,0,0
101 - SLE,122,Governor,Mark V. Goloby,0,0,0
101 - SLE,122,Governor,Rejected write-ins,0,0,0
101 - SLE,122,Governor,Unassigned write-ins,0,0,0
101 - SLE,122,Lieutenant Governor,Dan Patrick,100,38,57
101 - SLE,122,Lieutenant Governor,Mike Collier,20,8,11
101 - SLE,122,Lieutenant Governor,Shanna Steele,1,1,0
101 - SLE,122,Attorney General,Ken Paxton,100,38,57
101 - SLE,122,Attorney General,Rochelle Mercedes Garza,18,8,10
101 - SLE,122,Attorney General,Mark Ash,2,1,0
101 - SLE,122,Comptroller of Public Accounts,Glenn Hegar,103,39,58
101 - SLE,122,Comptroller of Public Accounts,Janet T. Dudding,14,6,8
101 - SLE,122,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,1,1,0
101 - SLE,122,Commissioner of the General Land Office,Dawn Buckingham,102,38,59
101 - SLE,122,Commissioner of the General Land Office,Jay Kleberg,17,8,8
101 - SLE,122,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
101 - SLE,122,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
101 - SLE,122,Commissioner of the General Land Office,Rejected write-ins,0,0,0
101 - SLE,122,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
101 - SLE,122,Commissioner of Agriculture,Sid Miller,103,39,58
101 - SLE,122,Commissioner of Agriculture,Susan Hays,17,7,10
101 - SLE,122,Railroad Commissioner,Wayne Christian,100,39,56
101 - SLE,122,Railroad Commissioner,Luke Warford,16,6,9
101 - SLE,122,Railroad Commissioner,Jaime Andres Diez,2,0,2
101 - SLE,122,Railroad Commissioner,Hunter Wayne Crow,1,1,0
101 - SLE,122,"Justice, Supreme Court, Place 3",Debra Lehrmann,98,38,55
