COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 13","US Representative, Dist 13",Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Ronny Jackson,DEM Kathleen Brown,REP Greg Abbott,DEM Beto O'Rourke,LIB Mark Tippetts,GRN Delilah Barrios,REP Dan Patrick,DEM Mike Collier,LIB Shanna Steele,REP Ken Paxton,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Glenn Hegar,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Dawn Buckingham,DEM Jay Kleberg,"GRN Alfred Molison, Jr.",REP Sid Miller,DEM Susan Hays,REP Wayne Christian,DEM Luke Warford,LIB Jaime Andres Diez,GRN Hunter Wayne Crow,REP Debra Lehrmann,DEM Erin A. Nowell,LIB Thomas Edward Oxford,REP Rebeca Huddle,DEM Amanda Reichek,REP Evan Young,DEM Julia Maldonado,REP Scott Walker,DEM Dana Huffman,"REP Jesse F. McClure, III",DEM Robert Johnson,
DALLA,0001,Precinct 1,358,18,0,14,3,15,3,0,0,15,3,0,15,3,0,13,3,0,14,4,0,15,3,13,3,0,0,13,3,0,13,3,12,3,12,3,12,3,
DALLA,0001,Precinct 1,358,23,0,21,1,20,0,3,0,20,1,2,20,1,2,19,1,2,22,0,0,21,1,21,0,2,0,20,1,2,21,1,21,1,21,1,20,1,
DALLA,0001,Precinct 1,358,136,0,129,6,128,5,3,0,126,6,2,126,5,4,131,3,2,131,5,0,129,6,126,4,3,0,128,5,2,129,6,129,6,128,7,130,5,
DALLA,0002,Precinct 2,85,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0,2,0,
DALLA,0002,Precinct 2,85,30,0,30,0,30,0,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,29,1,0,0,30,0,0,30,0,29,1,30,0,30,0,
DALLA,0002,Precinct 2,85,13,0,12,1,11,1,0,1,11,2,0,11,2,0,11,2,0,11,2,0,12,1,11,1,1,0,12,1,0,10,2,11,2,11,2,11,2,
DALLA,0003,Precinct 3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DALLA,0003,Precinct 3,24,7,0,7,0,6,0,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,0,7,0,0,0,7,0,0,7,0,7,0,7,0,7,0,
DALLA,0003,Precinct 3,24,11,0,11,0,11,0,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,11,0,0,0,11,0,0,11,0,10,0,11,0,11,0,
DALLA,0004,Precinct 4,41,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,
DALLA,0004,Precinct 4,41,9,0,9,0,9,0,0,0,7,0,0,8,0,0,9,0,0,8,0,0,9,0,9,0,0,0,8,0,0,8,0,8,0,8,0,9,0,
DALLA,0004,Precinct 4,41,12,0,12,0,12,0,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,12,0,0,0,12,0,0,12,0,12,0,12,0,12,0,
DALLA,0005,Precinct 5,34,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,2,0,2,0,2,0,
DALLA,0005,Precinct 5,34,10,0,9,1,9,1,0,0,9,1,0,9,1,0,9,1,0,9,1,0,9,1,9,1,0,0,9,1,0,9,1,9,1,9,1,9,1,
DALLA,0005,Precinct 5,34,5,0,5,0,5,0,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,5,0,0,0,5,0,0,5,0,5,0,5,0,5,0,
DALLA,0006,Precinct 6,374,8,0,8,0,8,0,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,8,0,0,0,8,0,0,8,0,8,0,8,0,8,0,
DALLA,0006,Precinct 6,374,55,0,50,5,50,5,0,0,48,5,2,49,5,0,51,4,0,50,4,1,49,6,50,4,1,0,45,5,3,49,6,49,5,51,4,51,4,
DALLA,0006,Precinct 6,374,60,0,54,4,55,5,0,0,51,6,1,56,4,0,52,4,1,54,3,1,52,6,52,4,1,0,53,4,0,52,5,54,3,53,4,53,5,
DALLA,0007,Precinct 7,676,12,0,6,4,9,3,0,0,9,3,0,8,2,0,9,3,0,9,3,0,8,3,8,4,0,0,9,2,0,8,4,8,2,8,3,6,4,
DALLA,0007,Precinct 7,676,86,0,75,9,76,10,0,0,75,9,1,73,12,0,72,11,2,75,10,0,72,10,71,11,1,0,72,11,0,72,10,73,10,71,12,73,10,
DALLA,0007,Precinct 7,676,112,0,97,12,98,13,1,0,96,13,2,97,13,1,96,12,2,94,12,3,96,13,93,10,4,2,97,11,3,97,14,98,13,97,13,98,12,
DALLA,0008,Precinct 8,725,21,0,17,3,18,3,0,0,17,3,1,18,3,0,18,3,0,18,3,0,18,3,18,3,0,0,18,3,0,18,3,18,3,18,3,18,3,
DALLA,0008,Precinct 8,725,117,0,105,10,105,8,2,2,100,12,4,100,12,3,105,8,1,105,10,0,104,11,101,10,2,2,104,11,1,105,10,105,11,105,10,105,9,
DALLA,0008,Precinct 8,725,115,0,106,9,109,6,0,0,101,9,3,106,6,3,107,6,1,105,7,1,109,6,106,4,2,2,104,7,2,106,8,106,6,105,7,106,6,
DALLA,0009,Precinct 9,573,11,0,11,0,11,0,0,0,11,0,0,11,0,0,10,0,1,11,0,0,11,0,11,0,0,0,11,0,0,11,0,10,1,11,0,11,0,
DALLA,0009,Precinct 9,573,72,0,62,10,62,10,0,0,61,10,1,61,10,1,63,8,1,62,10,0,62,9,62,7,2,0,62,9,0,62,9,62,9,61,10,62,9,
DALLA,0009,Precinct 9,573,103,0,96,7,96,5,0,2,90,10,2,93,10,0,94,7,2,95,7,1,94,8,94,6,1,1,93,9,0,93,9,93,9,94,8,92,9,
DALLA,ZZZ,COUNTY TOTALS,2890,1051,0,951,85,958,78,9,5,925,93,21,939,89,14,947,76,15,951,81,7,948,87,932,73,20,7,936,83,13,941,91,942,86,941,88,944,83,
