political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"United State Representative, District No. 11",AUGUST PFLUGER,REP,144,47
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,GREG ABBOTT,REP,141,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,BETO O'ROURKE,DEM,26,8
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,MARK TIPPETTS,LIB,3,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,DELILAH BARRIOS,GRN,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,JAQUELINE ABERNATHY,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,MARK V GOLOBY,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,Rejected write-ins,,1,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Governor,Unassigned write-ins,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Lieutenant Governor,DAN PATRICK,REP,137,42
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Lieutenant Governor,MIKE COLLIER,DEM,30,9
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Lieutenant Governor,SHANNA STEELE,LIB,4,2
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Attorney General,KEN PAXTON,REP,136,43
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Attorney General,ROCHELLE MERCEDES GARZA,DEM,29,10
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Attorney General,MARK ASH,LIB,5,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Comptroller of Public Accounts,GLENN HEGAR,REP,141,46
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Comptroller of Public Accounts,JANET T. DUDDING,DEM,29,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Comptroller of Public Accounts,V. ALONZO ECHEVARRIA-GARZA,LIB,1,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,DAWN BUCKINGHAM,REP,138,46
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,JAY KLEBERG,DEM,30,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,ALFRED MOLISON JR.,GRN,1,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,CARRIE EVELYN MENGER,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,Rejected write-ins,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of Agriculture,SID MILLER,REP,140,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Commissioner of Agriculture,SUSAN HAYS,DEM,29,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Railroad Commissioner,WAYNE CHRISTIAN,REP,138,46
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Railroad Commissioner,LUKE WARFORD,DEM,30,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Railroad Commissioner,JAIME ANDRES DIEZ,LIB,1,1
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,Railroad Commissioner,HUNTER WAYNE CROW,GRN,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 3",DEBRA LEHRMANN,REP,139,46
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 3",ERIN A NOWELL,DEM,29,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 3",THOMAS EDWARD OXFORD,LIB,2,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 5",REBECA HUDDLE,REP,140,46
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 5",AMANDA REICHEK,DEM,30,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 9",EVAN YOUNG,REP,140,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, Supreme Court, Place 9",JULIA MALDONADO,DEM,30,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Judge, Court of Criminal Appeals, Place 5",SCOTT WALKER,REP,140,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Judge, Court of Criminal Appeals, Place 5",DANA HUFFMAN,DEM,30,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Judge, Court of Criminal Appeals, Place 6","JESSE F. MCCLURE , III",REP,140,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Judge, Court of Criminal Appeals, Place 6",ROBERT JOHNSON,DEM,30,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"State Senator, District No. 24",PETE FLORES,REP,142,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"State Senator, District No. 24",KATHY JONES-HOSPOD,DEM,29,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"State Representative, District No. 53",ANDREW S. MURR,REP,143,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"State Representative, District No. 53",JOE P. HERRERA,DEM,28,7
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, 3rd Court of Appeals District, Place No. 4",LESLI R. FITZPATRICK,REP,141,45
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,"Justice, 3rd Court of Appeals District, Place No. 4",ROSA LOPEZ THEOFANIS,DEM,28,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,County Treasurer,CHERYL REGMUND,REP,142,49
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,101,310,County Treasurer,JOE BURNES,LIB,19,3
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,"United State Representative, District No. 11",AUGUST PFLUGER,REP,179,69
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,GREG ABBOTT,REP,164,59
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,BETO O'ROURKE,DEM,66,25
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,MARK TIPPETTS,LIB,1,3
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,DELILAH BARRIOS,GRN,1,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,JAQUELINE ABERNATHY,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,MARK V GOLOBY,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,Rejected write-ins,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Governor,Unassigned write-ins,,0,0
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Lieutenant Governor,DAN PATRICK,REP,159,57
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Lieutenant Governor,MIKE COLLIER,DEM,70,24
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Lieutenant Governor,SHANNA STEELE,LIB,4,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Attorney General,KEN PAXTON,REP,157,56
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Attorney General,ROCHELLE MERCEDES GARZA,DEM,73,25
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Attorney General,MARK ASH,LIB,4,6
Llano County,11/8/2022,"November 8, 2022 General Election",61,24,102,437,Comptroller of Public Accounts,GLENN HEGAR,REP,175,63
