,,,,,#FormatVersion 1,,,,,,
political_ subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Reagan,11/8/2022,General Election,1,0,1,0,"United States Representative, District No. 23",Tony Gonzales,REP,10,7
Reagan,11/8/2022,General Election,1,0,1,0,"United States Representative, District No. 23",John Lira,DEM,2,5
Reagan,11/8/2022,General Election,1,0,1,0,"United States Representative, District No. 23",Frank Lopez Jr,IND,3,2
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Greg Abbott,REP,13,8
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Beto O'Rourke,DEM,2,6
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Mark Tippetts,LIB,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Delilah Barrios,GRN,1,0
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Rejected write-ins,,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Governor,Unassigned write-ins,,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Lieutenant Governor,Dan Patrick,REP,12,7
Reagan,11/8/2022,General Election,1,0,1,0,Lieutenant Governor,Mike Collier,DEM,3,7
Reagan,11/8/2022,General Election,1,0,1,0,Lieutenant Governor,Shanna Steele,LIB,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Attorney General,Ken Paxton,REP,11,8
Reagan,11/8/2022,General Election,1,0,1,0,Attorney General,Rochelle Mercedes Garza,DEM,3,6
Reagan,11/8/2022,General Election,1,0,1,0,Attorney General,Mark Ash,LIB,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Comptroller of Public Accounts,Glenn Hegar,REP,11,9
Reagan,11/8/2022,General Election,1,0,1,0,Comptroller of Public Accounts,Janet T. Dudding,DEM,1,4
Reagan,11/8/2022,General Election,1,0,1,0,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,1,1
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of the General Land Office,Dawn Buckingham,REP,12,9
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of the General Land Office,Jay Kleberg,DEM,2,4
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,1,0
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of the General Land Office,Rejected write-ins,,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of Agriculture,Sid Miller,REP,13,7
Reagan,11/8/2022,General Election,1,0,1,0,Commissioner of Agriculture,Susan Hays,DEM,2,7
Reagan,11/8/2022,General Election,1,0,1,0,Railroad Commissioner,Wayne Christian,REP,13,8
Reagan,11/8/2022,General Election,1,0,1,0,Railroad Commissioner,Luke Warford,DEM,1,3
Reagan,11/8/2022,General Election,1,0,1,0,Railroad Commissioner,Jaime Andres Diez,LIB,1,2
Reagan,11/8/2022,General Election,1,0,1,0,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,10,10
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,3,4
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,9,7
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,5,7
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 9",Evan Young,REP,9,7
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,4,7
Reagan,11/8/2022,General Election,1,0,1,0,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,11,10
Reagan,11/8/2022,General Election,1,0,1,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,3,4
Reagan,11/8/2022,General Election,1,0,1,0,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,11,8
Reagan,11/8/2022,General Election,1,0,1,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,2,5
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, 8th Court of Appeals District, Place No. 2 Unexpired Term",Jeff Alley,REP,10,7
Reagan,11/8/2022,General Election,1,0,1,0,"Justice, 8th Court of Appeals District, Place No. 2 Unexpired Term",Lisa Soto,DEM,3,6
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION A,FOR,,8,12
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION A,AGAINST,,5,1
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION B,FOR,,8,10
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION B,AGAINST,,5,3
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION C,FOR,,9,11
Reagan,11/8/2022,General Election,1,0,1,0,REAGAN COUNTY INDEPENDENT SCHOOL DISTRICT PROPOSITION C,AGAINST,,4,2
Reagan,11/8/2022,General Election,,,1 - ISD1,0,"United States Representative, District No. 23",Tony Gonzales,REP,15,16
Reagan,11/8/2022,General Election,,,1 - ISD1,0,"United States Representative, District No. 23",John Lira,DEM,6,2
Reagan,11/8/2022,General Election,,,1 - ISD1,0,"United States Representative, District No. 23",Frank Lopez Jr,IND,3,7
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Greg Abbott,REP,16,21
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Beto O'Rourke,DEM,7,4
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Mark Tippetts,LIB,0,1
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Delilah Barrios,GRN,1,0
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Rejected write-ins,,0,0
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Governor,Unassigned write-ins,,0,0
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Lieutenant Governor,Dan Patrick,REP,15,22
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Lieutenant Governor,Mike Collier,DEM,6,3
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Lieutenant Governor,Shanna Steele,LIB,2,0
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Attorney General,Ken Paxton,REP,14,21
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Attorney General,Rochelle Mercedes Garza,DEM,8,3
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Attorney General,Mark Ash,LIB,1,0
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Comptroller of Public Accounts,Glenn Hegar,REP,15,21
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Comptroller of Public Accounts,Janet T. Dudding,DEM,7,4
Reagan,11/8/2022,General Election,,,1 - ISD1,0,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,1,0
