political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidatee_name,party code,early_votes,election_votes
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,"United States Representative, District No. 13",Ronny Jackson,REP,55,44
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,"United States Representative, District No. 13",Kathleen Brown,DEM,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Greg Abbott,REP,53,44
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Beto O'Rourke,DEM,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Mark Tippetts,LIB,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Delilah Barrios,GRN,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Jacqueline Abernathy,,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Mark V Goloby,,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Rejected write-ins,,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Governor,Unassigned write-ins,,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Lieutenant Governor,Dan Patrick,REP,50,42
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Lieutenant Governor,Mike Collier,DEM,4,1
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Lieutenant Governor,Shanna Steele,LIB,1,1
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Attorney General,Ken Paxton,REP,55,44
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Attorney General,Rochelle Mercedes Garza,DEM,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Attorney General,Mark Ash,LIB,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Comptroller of Public Accounts,Glenn Hegar,REP,53,43
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Comptroller of Public Accounts,Janet T. Dudding,DEM,2,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,1
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,Dawn Buckingham,REP,52,44
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,Jay Kleberg,DEM,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,Carrie Evelyn Menger,,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,Rejected write-ins,,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of Agriculture,Sid Miller,REP,54,44
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Commissioner of Agriculture,Susan Hays,DEM,1,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Railroad Commissioner,Wayne Christian,REP,52,43
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Railroad Commissioner,Luke Warford,DEM,2,0
Roberts County,11/8/2022,General Election,1,0,1 - MISD,166,Railroad Commissioner,Jaime Andres Diez,LIB,0,1
