,,,#FormatVersion 1,,,,,,,
political_subdivision,election_date,election_name,#Precinct,Registered Voters,Contest Title,Choice Name,total provisional ballots,total provisional ballots counted,Early Voting Votes,Election Day Voting Votes
WHEELER COUNTY,11/8/2022,General,101,871,"United States Representative, District No. 13",Ronny Jackson,0,0,256,215
WHEELER COUNTY,11/8/2022,General,101,871,"United States Representative, District No. 13",Kathleen Brown,0,0,6,10
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Greg Abbott,0,0,256,214
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Beto O'Rourke,0,0,5,9
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Mark Tippetts,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Delilah Barrios,0,0,1,0
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Rejected write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Governor,Unassigned write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Lieutenant Governor,Dan Patrick,0,0,249,208
WHEELER COUNTY,11/8/2022,General,101,871,Lieutenant Governor,Mike Collier,0,0,8,16
WHEELER COUNTY,11/8/2022,General,101,871,Lieutenant Governor,Shanna Steele,0,0,4,0
WHEELER COUNTY,11/8/2022,General,101,871,Attorney General,Ken Paxton,0,0,250,208
WHEELER COUNTY,11/8/2022,General,101,871,Attorney General,Rochelle Mercedes Garza,0,0,6,11
WHEELER COUNTY,11/8/2022,General,101,871,Attorney General,Mark Ash,0,0,2,4
WHEELER COUNTY,11/8/2022,General,101,871,Comptroller of Public Accounts,Glenn Hegar,0,0,248,211
WHEELER COUNTY,11/8/2022,General,101,871,Comptroller of Public Accounts,Janet T. Dudding,0,0,7,10
WHEELER COUNTY,11/8/2022,General,101,871,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,0,0,4,0
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of the General Land Office,Dawn Buckingham,0,0,252,213
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of the General Land Office,Jay Kleberg,0,0,7,9
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of Agriculture,Sid Miller,0,0,254,214
WHEELER COUNTY,11/8/2022,General,101,871,Commissioner of Agriculture,Susan Hays,0,0,6,10
WHEELER COUNTY,11/8/2022,General,101,871,Railroad Commissioner,Wayne Christian,0,0,251,212
WHEELER COUNTY,11/8/2022,General,101,871,Railroad Commissioner,Luke Warford,0,0,5,10
WHEELER COUNTY,11/8/2022,General,101,871,Railroad Commissioner,Jaime Andres Diez,0,0,4,0
WHEELER COUNTY,11/8/2022,General,101,871,Railroad Commissioner,Hunter Wayne Crow,0,0,0,0
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 3",Debra Lehrmann,0,0,252,209
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,5,12
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,4,0
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 5",Rebeca Huddle,0,0,254,210
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,6,12
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 9",Evan Young,0,0,254,209
WHEELER COUNTY,11/8/2022,General,101,871,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,6,12
WHEELER COUNTY,11/8/2022,General,101,871,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,0,0,253,212
WHEELER COUNTY,11/8/2022,General,101,871,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,6,10
WHEELER COUNTY,11/8/2022,General,101,871,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,0,0,249,211
WHEELER COUNTY,11/8/2022,General,101,871,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,7,10
WHEELER COUNTY,11/8/2022,General,201,740,"United States Representative, District No. 13",Ronny Jackson,0,0,189,165
WHEELER COUNTY,11/8/2022,General,201,740,"United States Representative, District No. 13",Kathleen Brown,0,0,12,12
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Greg Abbott,0,0,190,161
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Beto O'Rourke,0,0,12,13
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Mark Tippetts,0,0,1,3
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Delilah Barrios,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Rejected write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,Governor,Unassigned write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,Lieutenant Governor,Dan Patrick,0,0,188,159
WHEELER COUNTY,11/8/2022,General,201,740,Lieutenant Governor,Mike Collier,0,0,13,16
WHEELER COUNTY,11/8/2022,General,201,740,Lieutenant Governor,Shanna Steele,0,0,0,2
WHEELER COUNTY,11/8/2022,General,201,740,Attorney General,Ken Paxton,0,0,186,159
WHEELER COUNTY,11/8/2022,General,201,740,Attorney General,Rochelle Mercedes Garza,0,0,12,14
WHEELER COUNTY,11/8/2022,General,201,740,Attorney General,Mark Ash,0,0,2,3
WHEELER COUNTY,11/8/2022,General,201,740,Comptroller of Public Accounts,Glenn Hegar,0,0,187,160
WHEELER COUNTY,11/8/2022,General,201,740,Comptroller of Public Accounts,Janet T. Dudding,0,0,12,12
WHEELER COUNTY,11/8/2022,General,201,740,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,0,0,1,3
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of the General Land Office,Dawn Buckingham,0,0,189,163
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of the General Land Office,Jay Kleberg,0,0,12,10
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0,1
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of Agriculture,Sid Miller,0,0,187,164
WHEELER COUNTY,11/8/2022,General,201,740,Commissioner of Agriculture,Susan Hays,0,0,12,13
WHEELER COUNTY,11/8/2022,General,201,740,Railroad Commissioner,Wayne Christian,0,0,187,161
WHEELER COUNTY,11/8/2022,General,201,740,Railroad Commissioner,Luke Warford,0,0,12,10
WHEELER COUNTY,11/8/2022,General,201,740,Railroad Commissioner,Jaime Andres Diez,0,0,1,3
WHEELER COUNTY,11/8/2022,General,201,740,Railroad Commissioner,Hunter Wayne Crow,0,0,0,0
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 3",Debra Lehrmann,0,0,188,159
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,12,13
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0,3
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 5",Rebeca Huddle,0,0,189,163
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,12,12
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 9",Evan Young,0,0,189,163
WHEELER COUNTY,11/8/2022,General,201,740,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,12,12
WHEELER COUNTY,11/8/2022,General,201,740,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,0,0,189,162
WHEELER COUNTY,11/8/2022,General,201,740,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,12,13
WHEELER COUNTY,11/8/2022,General,201,740,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,0,0,188,163
WHEELER COUNTY,11/8/2022,General,201,740,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,12,12
WHEELER COUNTY,11/8/2022,General,301,877,"United States Representative, District No. 13",Ronny Jackson,1,0,170,158
WHEELER COUNTY,11/8/2022,General,301,877,"United States Representative, District No. 13",Kathleen Brown,1,0,8,18
WHEELER COUNTY,11/8/2022,General,301,877,Governor,Greg Abbott,1,0,172,160
WHEELER COUNTY,11/8/2022,General,301,877,Governor,Beto O'Rourke,1,0,8,17
WHEELER COUNTY,11/8/2022,General,301,877,Governor,Mark Tippetts,1,0,2,2
WHEELER COUNTY,11/8/2022,General,301,877,Governor,Delilah Barrios,1,0,0,0
