political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election votes
Floyd County,11/8/2022,November General,0,0,1,916,"United States Representative, District No. 19",Jodey C. Arrington,REP,325,139
Floyd County,11/8/2022,November General,0,0,1,916,"United States Representative, District No. 19",Nathan Lewis,IND,29,26
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Greg Abbott,REP,319,139
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Beto O'Rourke,DEM,32,25
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Mark Tippetts,LIB,3,2
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Delilah Barrios,GRN,0,0
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Rejected write-ins,,1,0
Floyd County,11/8/2022,November General,0,0,1,916,Governor,Unassigned write-ins,,0,0
Floyd County,11/8/2022,November General,0,0,1,916,Lieutenant Governor,Dan Patrick,REP,310,135
Floyd County,11/8/2022,November General,0,0,1,916,Lieutenant Governor,Mike Collier,DEM,37,25
Floyd County,11/8/2022,November General,0,0,1,916,Lieutenant Governor,Shanna Steele,LIB,7,3
Floyd County,11/8/2022,November General,0,0,1,916,Attorney General,Ken Paxton,REP,307,137
Floyd County,11/8/2022,November General,0,0,1,916,Attorney General,Rochelle Mercedes Garza,DEM,34,25
Floyd County,11/8/2022,November General,0,0,1,916,Attorney General,Mark Ash,LIB,10,2
Floyd County,11/8/2022,November General,0,0,1,916,Comptroller of Public Accounts,Glenn Hegar,REP,312,138
Floyd County,11/8/2022,November General,0,0,1,916,Comptroller of Public Accounts,Janet T. Dudding,DEM,35,21
Floyd County,11/8/2022,November General,0,0,1,916,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,4,5
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of the General Land Office,Dawn Buckingham,REP,312,138
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of the General Land Office,Jay Kleberg,DEM,34,25
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,2,1
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of the General Land Office,Rejected write-ins,,0,0
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of Agriculture,Sid Miller,REP,316,137
Floyd County,11/8/2022,November General,0,0,1,916,Commissioner of Agriculture,Susan Hays,DEM,36,27
Floyd County,11/8/2022,November General,0,0,1,916,Railroad Commissioner,Wayne Christian,REP,313,135
Floyd County,11/8/2022,November General,0,0,1,916,Railroad Commissioner,Luke Warford,DEM,32,23
Floyd County,11/8/2022,November General,0,0,1,916,Railroad Commissioner,Jaime Andres Diez,LIB,7,4
Floyd County,11/8/2022,November General,0,0,1,916,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
