,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,#Provisional Ballots,# Provisional Ballots Counted,#Precinct,Precinct ID,Registered Voters,Contest Title,Choice Name,Total Votes,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of the General Land Office,Dawn Buckingham,143,2,71,70
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of the General Land Office,Jay Kleberg,10,2,4,4
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of the General Land Office,"Alfred Molison, Jr.",2,0,2,0
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of Agriculture,Sid Miller,146,2,73,71
Throckmorton,11/22/2022,General,3,3,2,4,308,Commissioner of Agriculture,Susan Hays,13,2,5,6
Throckmorton,11/22/2022,General,3,3,2,4,308,Railroad Commissioner,Wayne Christian,142,2,70,70
Throckmorton,11/22/2022,General,3,3,2,4,308,Railroad Commissioner,Luke Warford,11,2,4,5
Throckmorton,11/22/2022,General,3,3,2,4,308,Railroad Commissioner,Jaime Andres Diez,1,0,1,0
Throckmorton,11/22/2022,General,3,3,2,4,308,Railroad Commissioner,Hunter Wayne Crow,3,0,2,1
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 3",Debra Lehrmann,143,2,71,70
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 3",Erin A. Nowell,10,2,4,4
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,1,1
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 5",Rebeca Huddle,143,2,71,70
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 5",Amanda Reichek,12,2,6,4
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 9",Evan Young,143,2,71,70
Throckmorton,11/22/2022,General,3,3,2,4,308,"Justice, Supreme Court, Place 9",Julia Maldonado,12,2,6,4
Throckmorton,11/22/2022,General,3,3,2,4,308,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,143,2,71,70
Throckmorton,11/22/2022,General,3,3,2,4,308,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,13,2,6,5
Throckmorton,11/22/2022,General,3,3,2,4,308,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,141,2,70,69
Throckmorton,11/22/2022,General,3,3,2,4,308,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,13,2,6,5
Throckmorton,11/22/2022,General,3,3,3003,2,308,"United States Representative, District No. 19",Jodey C. Arrington,155,5,31,119
Throckmorton,11/22/2022,General,3,3,3003,2,325,"United States Representative, District No. 19",Nathan Lewis,21,0,5,16
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Greg Abbott,158,4,32,122
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Beto O'Rourke,15,0,4,11
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Mark Tippetts,2,1,0,1
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Delilah Barrios,0,0,0,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Governor,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Lieutenant Governor,Dan Patrick,146,4,29,113
Throckmorton,11/22/2022,General,3,3,3003,2,325,Lieutenant Governor,Mike Collier,28,1,5,22
Throckmorton,11/22/2022,General,3,3,3003,2,325,Lieutenant Governor,Shanna Steele,1,0,1,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Attorney General,Ken Paxton,150,4,28,118
Throckmorton,11/22/2022,General,3,3,3003,2,325,Attorney General,Rochelle Mercedes Garza,21,1,6,14
Throckmorton,11/22/2022,General,3,3,3003,2,325,Attorney General,Mark Ash,3,0,1,2
Throckmorton,11/22/2022,General,3,3,3003,2,325,Comptroller of Public Accounts,Glenn Hegar,150,5,30,115
Throckmorton,11/22/2022,General,3,3,3003,2,325,Comptroller of Public Accounts,Janet T. Dudding,19,0,5,14
Throckmorton,11/22/2022,General,3,3,3003,2,325,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,1,0,1,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of the General Land Office,Dawn Buckingham,154,4,31,119
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of the General Land Office,Jay Kleberg,17,0,4,13
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of the General Land Office,"Alfred Molison, Jr.",1,0,1,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of Agriculture,Sid Miller,153,4,30,119
Throckmorton,11/22/2022,General,3,3,3003,2,325,Commissioner of Agriculture,Susan Hays,21,1,6,14
Throckmorton,11/22/2022,General,3,3,3003,2,325,Railroad Commissioner,Wayne Christian,150,4,30,116
Throckmorton,11/22/2022,General,3,3,3003,2,325,Railroad Commissioner,Luke Warford,18,1,4,13
Throckmorton,11/22/2022,General,3,3,3003,2,325,Railroad Commissioner,Jaime Andres Diez,6,0,2,4
Throckmorton,11/22/2022,General,3,3,3003,2,325,Railroad Commissioner,Hunter Wayne Crow,1,0,0,1
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 3",Debra Lehrmann,151,5,28,118
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 3",Erin A. Nowell,19,0,4,15
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,1,1
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 5",Rebeca Huddle,153,5,29,119
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 5",Amanda Reichek,21,0,6,15
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 9",Evan Young,151,5,29,117
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Justice, Supreme Court, Place 9",Julia Maldonado,19,0,5,14
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,155,5,30,120
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,19,0,5,14
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,152,5,29,118
Throckmorton,11/22/2022,General,3,3,3003,2,325,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,20,0,5,15
Throckmorton,11/22/2022,General,3,3,4005,3,69,"United States Representative, District No. 19",Jodey C. Arrington,34,2,7,25
Throckmorton,11/22/2022,General,3,3,4005,3,69,"United States Representative, District No. 19",Nathan Lewis,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Greg Abbott,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Beto O'Rourke,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Mark Tippetts,1,0,0,1
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Delilah Barrios,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Governor,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Lieutenant Governor,Dan Patrick,34,2,7,25
Throckmorton,11/22/2022,General,3,3,4005,3,69,Lieutenant Governor,Mike Collier,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,Lieutenant Governor,Shanna Steele,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Attorney General,Ken Paxton,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,Attorney General,Rochelle Mercedes Garza,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,Attorney General,Mark Ash,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Comptroller of Public Accounts,Glenn Hegar,34,2,7,25
Throckmorton,11/22/2022,General,3,3,4005,3,69,Comptroller of Public Accounts,Janet T. Dudding,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of the General Land Office,Dawn Buckingham,34,2,7,25
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of the General Land Office,Jay Kleberg,10,1,1,8
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of Agriculture,Sid Miller,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,Commissioner of Agriculture,Susan Hays,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,Railroad Commissioner,Wayne Christian,33,2,7,24
Throckmorton,11/22/2022,General,3,3,4005,3,69,Railroad Commissioner,Luke Warford,11,1,1,9
Throckmorton,11/22/2022,General,3,3,4005,3,69,Railroad Commissioner,Jaime Andres Diez,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4005,3,69,Railroad Commissioner,Hunter Wayne Crow,0,0,0,0
