political_subdivision,election_date,election _name,total_provisionals,total_provisionals counted,precinct-number,precinct_split,Registered Voters,Ballots Cast,race_name,candidate_name,party_code,early_votes,election_votes,,,absentee_votes,early_vote total,,total_votes
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,"United States Representative, District No. 19",Jodey C. Arrington,REP,242,168,,,4,246,,414
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,"United States Representative, District No. 19",Nathan Lewis,IND,7,7,,,1,8,,15
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Greg Abbott,REP,240,169,,,4,244,,413
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Beto O'Rourke,DEM,9,7,,,1,10,,17
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Mark Tippetts,LIB,0,0,,,0,0,,0
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Delilah Barrios,GRN,0,1,,,0,0,,1
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Rejected write-ins,,0,0,,,0,0,,0
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Governor,Unassigned write-ins,,0,0,,,0,0,,0
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Lieutenant Governor,Dan Patrick,REP,235,165,,,4,239,,404
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Lieutenant Governor,Mike Collier,DEM,11,8,,,1,12,,20
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Lieutenant Governor,Shanna Steele,LIB,3,2,,,0,3,,5
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Attorney General,Ken Paxton,REP,232,166,,,4,236,,402
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Attorney General,Rochelle Mercedes Garza,DEM,13,9,,,1,14,,23
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Attorney General,Mark Ash,LIB,3,1,,,0,3,,4
Gaines County,11/8/2022,General Election,5,1,2,2,9933,432,Comptroller of Public Accounts,Glenn Hegar,REP,233,164,,,4,237,,401
