#FormatVersion 1
#Precinct,Precinct ID,Precinct Reporting,"Registered Voters","Ballots Cast","Turnout Percentage",Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,"Absentee Voting Votes","Absentee Voting Overvotes","Absentee Voting Undervotes","Absentee Voting Invalid Votes","Early Voting Votes","Early Voting Overvotes","Early Voting Undervotes","Early Voting Invalid Votes","Election Day Voting Votes","Election Day Voting Overvotes","Election Day Voting Undervotes","Election Day Voting Invalid Votes"
"1 - 02",122,Partially Reporting,1356,488,35.99,"United States Representative, District 27",27,"","Michael Cloud",2,"REP",236,0,6,0,28,0,5,0,130,0,1,0,78,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"United States Representative, District 27",27,"","Maclovio Perez Jr.",1,"DEM",246,0,6,0,28,0,5,0,147,0,1,0,71,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Governor",66,"","Greg Abbott",2,"REP",245,0,5,0,33,0,4,0,135,0,1,0,77,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Governor",66,"","Beto O'Rourke",3,"DEM",231,0,5,0,23,0,4,0,138,0,1,0,70,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Governor",66,"","Mark Tippetts",1,"LIB",4,0,5,0,0,0,4,0,3,0,1,0,1,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Governor",66,"","Delilah Barrios",4,"GRN",3,0,5,0,1,0,4,0,1,0,1,0,1,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Lieutenant Governor",65,"","Dan Patrick",2,"REP",234,0,5,0,29,0,3,0,130,0,2,0,75,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Lieutenant Governor",65,"","Mike Collier",1,"DEM",238,0,5,0,28,0,3,0,142,0,2,0,68,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Lieutenant Governor",65,"","Shanna Steele",3,"LIB",11,0,5,0,1,0,3,0,4,0,2,0,6,0,0,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Attorney General",45,"","Ken Paxton",2,"REP",224,0,7,0,29,0,4,0,123,0,2,0,72,0,1,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Attorney General",45,"","Rochelle Mercedes Garza",3,"DEM",244,0,7,0,28,0,4,0,150,0,2,0,66,0,1,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Attorney General",45,"","Mark Ash",1,"LIB",13,0,7,0,0,0,4,0,3,0,2,0,10,0,1,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Comptroller of Public Accounts",3,"","Glenn Hegar",3,"REP",241,0,9,0,33,0,2,0,131,0,5,0,77,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Comptroller of Public Accounts",3,"","Janet T. Dudding",2,"DEM",221,0,9,0,25,0,2,0,133,0,5,0,63,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Comptroller of Public Accounts",3,"","V. Alonzo Echevarria-Garza",1,"LIB",17,0,9,0,1,0,2,0,9,0,5,0,7,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Commissioner of the General Land Office",41,"","Dawn Buckingham",2,"REP",231,0,9,0,32,0,3,0,125,0,4,0,74,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Commissioner of the General Land Office",41,"","Jay Kleberg",3,"DEM",238,0,9,0,25,0,3,0,145,0,4,0,68,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Commissioner of the General Land Office",41,"","Alfred Molison, Jr",1,"GRN",10,0,9,0,1,0,3,0,4,0,4,0,5,0,2,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Commissioner of Agriculture",69,"","Sid Miller",1,"REP",238,0,19,0,33,0,4,0,134,0,6,0,71,0,9,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Commissioner of Agriculture",69,"","Susan Hays",2,"DEM",231,0,19,0,24,0,4,0,138,0,6,0,69,0,9,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Railroad Commissioner",55,"","Wayne Christian",2,"REP",241,0,17,0,33,0,5,0,134,0,5,0,74,0,7,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Railroad Commissioner",55,"","Luke Warford",3,"DEM",210,0,17,0,22,0,5,0,129,0,5,0,59,0,7,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Railroad Commissioner",55,"","Jaime Andres Diez",1,"LIB",15,0,17,0,1,0,5,0,7,0,5,0,7,0,7,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Railroad Commissioner",55,"","Hunter Wayne Crow",4,"GRN",5,0,17,0,0,0,5,0,3,0,5,0,2,0,7,0
"1 - 02",122,Partially Reporting,1356,488,35.99,"Justice, Supreme Court, Place 3",39,"","Debra Lehrmann",3,"REP",242,0,16,0,32,0,4,0,136,0,4,0,74,0,8,0
