political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,Election Day Votes
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,U. S. Representative District 14,Randy Weber,REP,942,299
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,U. S. Representative District 14,Mikal Williams,DEM,358,131
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Greg Abbott,REP,921,280
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Beto O'Rourke,DEM,368,138
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Mark Tippetts,LIB,11,12
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Delilah Barrios,GRE,7,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Jacqueline Abernathy,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Mark V Goloby,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Rejected write-ins,,2,1
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Governor,Unassigned write-ins,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Lieutenant Governor,Dan Patrick,REP,901,279
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Lieutenant Governor,Mike Collier,DEM,368,136
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Lieutenant Governor,Shanna Steele,LIB,31,14
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Attorney General,Ken Paxton,REP,883,281
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Attorney General,Rochelle Mercedes Garza,DEM,369,131
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Attorney General,Mark Ash,LIB,41,16
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Comptroller of Public Accounts,Glenn Hegar,REP,912,293
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Comptroller of Public Accounts,Janet T. Dudding,DEM,340,121
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,34,14
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,Dawn Buckingham,REP,916,287
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,Jay Kleberg,DEM,353,130
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRE,14,8
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,Rejected write-ins,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of the General Land Office,Unassigned write-ins,,0,0
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of Agriculture,Sid Miller,REP,919,293
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Commissioner of Agriculture,Susan Hays,DEM,369,133
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Railroad Commissioner,Wayne Christian,REP,904,284
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Railroad Commissioner,Luke Warford,DEM,339,120
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Railroad Commissioner,Jaime Andres Diez,LIB,34,15
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,Railroad Commissioner,Hunter Wayne Crow,GRE,12,6
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,919,284
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,350,125
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,18,16
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,926,292
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,359,136
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 9",Evan Young,REP,910,286
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,367,139
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,917,292
BRAZORIA COUNTY,11/8/2022,General Election,,,1 - AISD,4602,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,368,133
