political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Beto O'Rourke,DEM,229,64
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Mark Tippetts,LIB,12,7
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Delilah Barrios,GRN,1,1
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Jacqueline Abernathy,,0,0
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Mark V Goloby,,0,0
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Rejected write-ins,,0,1
Bandera County,11/8/2022,General Election,12,3,102,2843,Governor,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,12,3,102,2843,Lieutenant Governor,Dan Patrick,REP,920,445
Bandera County,11/8/2022,General Election,12,3,102,2843,Lieutenant Governor,Mike Collier,DEM,234,64
Bandera County,11/8/2022,General Election,12,3,102,2843,Lieutenant Governor,Shanna Steele,LIB,20,19
Bandera County,11/8/2022,General Election,12,3,102,2843,Attorney General,Ken Paxton,REP,917,439
Bandera County,11/8/2022,General Election,12,3,102,2843,Attorney General,Rochelle Mercedes Garza,DEM,231,67
Bandera County,11/8/2022,General Election,12,3,102,2843,Attorney General,Mark Ash,LIB,26,20
Bandera County,11/8/2022,General Election,12,3,102,2843,Comptroller of Public Accounts,Glenn Hegar,REP,932,448
Bandera County,11/8/2022,General Election,12,3,102,2843,Comptroller of Public Accounts,Janet T. Dudding,DEM,220,57
Bandera County,11/8/2022,General Election,12,3,102,2843,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,17,17
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,Dawn Buckingham,REP,941,459
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,Jay Kleberg,DEM,218,57
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,10,6
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,Rejected write-ins,,0,1
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of Agriculture,Sid Miller,REP,938,457
Bandera County,11/8/2022,General Election,12,3,102,2843,Commissioner of Agriculture,Susan Hays,DEM,234,67
Bandera County,11/8/2022,General Election,12,3,102,2843,Railroad Commissioner,Wayne Christian,REP,924,440
Bandera County,11/8/2022,General Election,12,3,102,2843,Railroad Commissioner,Luke Warford,DEM,212,57
Bandera County,11/8/2022,General Election,12,3,102,2843,Railroad Commissioner,Jaime Andres Diez,LIB,25,22
Bandera County,11/8/2022,General Election,12,3,102,2843,Railroad Commissioner,Hunter Wayne Crow,GRN,8,5
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,926,451
Bandera County,11/8/2022,General Election,12,3,102,2843,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,216,57
