political_subdivision,election_date,election_name,Total Provsional ballots,total provisionals ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,Absentee Voting Votes,Early Voting Votes,early_votes,election_votes
Palo Pinto County,11/8/2022,General ,127,43,1,0,"United States Representative, District No. 25",Roger Williams,REP,23,165,188,108
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Greg Abbott,REP,28,159,187,99
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Beto O'Rourke,DEM,4,27,31,16
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Mark Tippetts,LIB,0,1,1,3
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Delilah Barrios,GRN,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Rejected write-ins,,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,1,0,Governor,Unassigned write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,1,0,Lieutenant Governor,Dan Patrick,REP,28,155,183,100
Palo Pinto County,11/8/2022,General ,,,1,0,Lieutenant Governor,Mike Collier,DEM,4,31,35,15
Palo Pinto County,11/8/2022,General ,,,1,0,Lieutenant Governor,Shanna Steele,LIB,0,1,1,4
Palo Pinto County,11/8/2022,General ,,,1,0,Attorney General,Ken Paxton,REP,28,156,184,99
Palo Pinto County,11/8/2022,General ,,,1,0,Attorney General,Rochelle Mercedes Garza,DEM,4,26,30,16
Palo Pinto County,11/8/2022,General ,,,1,0,Attorney General,Mark Ash,LIB,0,5,5,4
Palo Pinto County,11/8/2022,General ,,,1,0,Comptroller of Public Accounts,Glenn Hegar,REP,28,158,186,99
Palo Pinto County,11/8/2022,General ,,,1,0,Comptroller of Public Accounts,Janet T. Dudding,DEM,4,28,32,16
Palo Pinto County,11/8/2022,General ,,,1,0,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,1,1,4
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of the General Land Office,Dawn Buckingham,REP,28,160,188,100
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of the General Land Office,Jay Kleberg,DEM,4,25,29,17
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,1,1,0
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of the General Land Office,Rejected write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of the General Land Office,Unassigned write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of Agriculture,Sid Miller,REP,28,159,187,99
Palo Pinto County,11/8/2022,General ,,,1,0,Commissioner of Agriculture,Susan Hays,DEM,4,27,31,18
Palo Pinto County,11/8/2022,General ,,,1,0,Railroad Commissioner,Wayne Christian,REP,28,159,187,98
Palo Pinto County,11/8/2022,General ,,,1,0,Railroad Commissioner,Luke Warford,DEM,4,25,29,16
Palo Pinto County,11/8/2022,General ,,,1,0,Railroad Commissioner,Jaime Andres Diez,LIB,0,0,0,3
Palo Pinto County,11/8/2022,General ,,,1,0,Railroad Commissioner,Hunter Wayne Crow,GRN,0,2,2,0
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,28,159,187,99
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,4,27,31,14
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0,0,5
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,28,159,187,102
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,4,28,32,15
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 9",Evan Young,REP,28,161,189,98
Palo Pinto County,11/8/2022,General ,,,1,0,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,4,26,30,19
Palo Pinto County,11/8/2022,General ,,,1,0,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,28,160,188,99
Palo Pinto County,11/8/2022,General ,,,1,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,4,25,29,17
Palo Pinto County,11/8/2022,General ,,,1,0,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,26,159,185,100
Palo Pinto County,11/8/2022,General ,,,1,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,4,28,32,16
Palo Pinto County,11/8/2022,General ,,,1,0,"Member, State Board of Education, District No. 14",Evelyn Brooks,REP,24,159,183,99
Palo Pinto County,11/8/2022,General ,,,1,0,"Member, State Board of Education, District No. 14",Tracy Fisher,DEM,4,28,32,18
Palo Pinto County,11/8/2022,General ,,,2,0,"United States Representative, District No. 25",Roger Williams,REP,0,5,5,8
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Greg Abbott,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Beto O'Rourke,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Mark Tippetts,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Delilah Barrios,GRN,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Rejected write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Governor,Unassigned write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Lieutenant Governor,Dan Patrick,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Lieutenant Governor,Mike Collier,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Lieutenant Governor,Shanna Steele,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Attorney General,Ken Paxton,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Attorney General,Rochelle Mercedes Garza,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Attorney General,Mark Ash,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Comptroller of Public Accounts,Glenn Hegar,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Comptroller of Public Accounts,Janet T. Dudding,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of the General Land Office,Dawn Buckingham,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of the General Land Office,Jay Kleberg,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of the General Land Office,Rejected write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of the General Land Office,Unassigned write-ins,,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of Agriculture,Sid Miller,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Commissioner of Agriculture,Susan Hays,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Railroad Commissioner,Wayne Christian,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,Railroad Commissioner,Luke Warford,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,Railroad Commissioner,Jaime Andres Diez,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0,0,0
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 9",Evan Young,REP,0,5,5,7
Palo Pinto County,11/8/2022,General ,,,2,0,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,0,4,4,7
Palo Pinto County,11/8/2022,General ,,,2,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,0,4,4,7
Palo Pinto County,11/8/2022,General ,,,2,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,0,0,0,1
Palo Pinto County,11/8/2022,General ,,,2,0,"Member, State Board of Education, District No. 14",Evelyn Brooks,REP,0,5,5,7
