political_subdivision,election_date,election_name,total prov ballots,total prov counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
San Patricio County,11/8/2022,General Election,39,13,101,489,"United States Representative, District No. 27",Michael Cloud,Rep,66,55
San Patricio County,11/8/2022,General Election,,,101,489,"United States Representative, District No. 27","Maclovio Perez, Jr.",Dem,25,60
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Greg Abbott,Rep,67,53
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Beto O'Rourke,Dem,26,59
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Mark Tippetts,Lib,0,2
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Delilah Barrios,Grn,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Jacqueline Abernathy,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Mark V. Goloby,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Rejected write-ins,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Governor,Unassigned write-ins,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Lieutenant Governor,Dan Patrick,Rep,68,50
San Patricio County,11/8/2022,General Election,,,101,489,Lieutenant Governor,Mike Collier,Dem,24,56
San Patricio County,11/8/2022,General Election,,,101,489,Lieutenant Governor,Shanna Steele,Lib,1,7
San Patricio County,11/8/2022,General Election,,,101,489,Attorney General,Ken Paxton,Rep,67,51
San Patricio County,11/8/2022,General Election,,,101,489,Attorney General,Rochelle Mercedes Garza,Dem,25,56
San Patricio County,11/8/2022,General Election,,,101,489,Attorney General,Mark Ash,Lib,1,6
San Patricio County,11/8/2022,General Election,,,101,489,Comptroller of Public Accounts,Glenn Hegar,Rep,67,52
San Patricio County,11/8/2022,General Election,,,101,489,Comptroller of Public Accounts,Janet T. Dudding,Dem,24,56
San Patricio County,11/8/2022,General Election,,,101,489,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,Lib,2,6
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,Dawn Buckingham,Rep,65,54
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,Jay Kleberg,Dem,27,57
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,"Alfred Molison, Jr.",Grn,0,1
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,Rejected write-ins,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of the General Land Office,Unassigned write-ins,,0,0
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of Agriculture,Sid Miller,Rep,66,55
San Patricio County,11/8/2022,General Election,,,101,489,Commissioner of Agriculture,Susan Hays,Dem,24,57
San Patricio County,11/8/2022,General Election,,,101,489,Railroad Commissioner,Wayne Christian,Rep,65,51
San Patricio County,11/8/2022,General Election,,,101,489,Railroad Commissioner,Luke Warford,Dem,24,53
San Patricio County,11/8/2022,General Election,,,101,489,Railroad Commissioner,Jaime Andres Diez,Lib,3,8
San Patricio County,11/8/2022,General Election,,,101,489,Railroad Commissioner,Hunter Wayne Crow,Grn,0,1
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 3",Debra Lehrmann,Rep,68,53
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 3",Erin A. Nowell,Dem,24,55
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,Lib,1,4
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 5",Rebeca Huddle,Rep,67,57
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 5",Amanda Reichek,Dem,24,56
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 9",Evan Young,Rep,67,53
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, Supreme Court, Place 9",Julia Maldonado,Dem,25,60
San Patricio County,11/8/2022,General Election,,,101,489,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,Rep,68,55
San Patricio County,11/8/2022,General Election,,,101,489,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,Dem,24,56
San Patricio County,11/8/2022,General Election,,,101,489,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",Rep,68,56
San Patricio County,11/8/2022,General Election,,,101,489,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,Dem,25,56
San Patricio County,11/8/2022,General Election,,,101,489,"Member, State Board of Education, District No. 2",LJ Francis,Rep,67,51
San Patricio County,11/8/2022,General Election,,,101,489,"Member, State Board of Education, District No. 2",Victor Perez,Dem,24,61
San Patricio County,11/8/2022,General Election,,,101,489,"State Senator, District No. 27",Adam Hinojosa,Rep,68,61
San Patricio County,11/8/2022,General Election,,,101,489,"State Senator, District No. 27",Morgan Lamantia,Dem,23,51
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, 13th Court of Appeals District, Place No. 3",Aaron Peña,Rep,64,53
San Patricio County,11/8/2022,General Election,,,101,489,"Justice, 13th Court of Appeals District, Place No. 3",Leticia Hinojosa,Dem,25,61
